#Device,NGU201,,,
#Device Name,RS-NGU201-00000.local,,,
#Format,LOG,,,
#Date,20/11/2025,,,
#Version,04.013 0092C027A93,,,
#Serial No.,101322,,,
#Logging Interval[s],1,,,
#Mode,Unlimited,,,
#Start Time,10:44:25,,,
#Stop Time,XX:XX:XX,,,
#Actual Count,0000000000,,,
#Calibration Ch1,factory,,,
#Calibration Date Ch1,none,,,
Timestamp,U1[V],I1[A],P1[W],DVM1[V]
44:26.0,nan,nan,nan,nan
44:27.0,nan,nan,nan,nan
44:28.0,nan,nan,nan,nan
44:29.0,nan,nan,nan,nan
44:30.0,nan,nan,nan,nan
44:31.0,nan,nan,nan,nan
44:32.0,nan,nan,nan,nan
44:33.0,nan,nan,nan,nan
44:34.0,nan,nan,nan,nan
44:35.0,nan,nan,nan,nan
44:36.0,nan,nan,nan,nan
44:37.0,nan,nan,nan,nan
44:38.0,nan,nan,nan,nan
44:39.0,nan,nan,nan,nan
44:40.0,nan,nan,nan,nan
44:41.0,nan,nan,nan,nan
44:42.0,nan,nan,nan,nan
44:43.0,nan,nan,nan,nan
44:44.0,nan,nan,nan,nan
44:45.0,nan,nan,nan,nan
44:46.0,nan,nan,nan,nan
44:47.0,nan,nan,nan,nan
44:48.0,nan,nan,nan,nan
44:49.0,nan,nan,nan,nan
44:50.0,nan,nan,nan,nan
44:51.0,nan,nan,nan,nan
44:52.0,nan,nan,nan,nan
44:53.0,nan,nan,nan,nan
44:54.0,nan,nan,nan,nan
44:55.0,nan,nan,nan,nan
44:56.0,nan,nan,nan,nan
44:57.0,nan,nan,nan,nan
44:58.0,nan,nan,nan,nan
44:59.0,nan,nan,nan,nan
45:00.0,nan,nan,nan,nan
45:01.0,nan,nan,nan,nan
45:02.0,nan,nan,nan,nan
45:03.0,nan,nan,nan,nan
45:04.0,nan,nan,nan,nan
45:05.0,nan,nan,nan,nan
45:06.0,nan,nan,nan,nan
45:07.0,nan,nan,nan,nan
45:08.0,nan,nan,nan,nan
45:09.0,nan,nan,nan,nan
45:10.0,nan,nan,nan,nan
45:11.0,nan,nan,nan,nan
45:12.0,nan,nan,nan,nan
45:13.0,nan,nan,nan,nan
45:14.0,nan,nan,nan,nan
45:15.0,nan,nan,nan,nan
45:16.0,nan,nan,nan,nan
45:17.0,nan,nan,nan,nan
45:18.0,nan,nan,nan,nan
45:19.0,2.904226E+00,1.019842E+00,2.961852E+00,nan
45:20.0,2.926743E+00,1.019837E+00,2.984801E+00,nan
45:21.0,2.935033E+00,1.019841E+00,2.993267E+00,nan
45:22.0,2.941436E+00,1.019836E+00,2.999782E+00,nan
45:23.0,2.947111E+00,1.019841E+00,3.005584E+00,nan
45:24.0,2.952310E+00,1.019835E+00,3.010868E+00,nan
45:25.0,2.957187E+00,1.019838E+00,3.015853E+00,nan
45:26.0,2.961808E+00,1.019838E+00,3.020566E+00,nan
45:27.0,2.966205E+00,1.019838E+00,3.025050E+00,nan
45:28.0,2.970426E+00,1.019841E+00,3.029362E+00,nan
45:29.0,2.974493E+00,1.019845E+00,3.033521E+00,nan
45:30.0,2.978374E+00,1.019845E+00,3.037479E+00,nan
45:31.0,2.982141E+00,1.019845E+00,3.041321E+00,nan
45:32.0,2.985787E+00,1.019841E+00,3.045028E+00,nan
45:33.0,2.989347E+00,1.019842E+00,3.048662E+00,nan
45:34.0,2.992790E+00,1.019842E+00,3.052173E+00,nan
45:35.0,2.996143E+00,1.019837E+00,3.055578E+00,nan
45:36.0,2.999425E+00,1.019841E+00,3.058937E+00,nan
45:37.0,3.002623E+00,1.019845E+00,3.062209E+00,nan
45:38.0,3.005734E+00,1.019851E+00,3.065401E+00,nan
45:39.0,3.008810E+00,1.019841E+00,3.068508E+00,nan
45:40.0,3.011792E+00,1.019837E+00,3.071538E+00,nan
45:41.0,3.014720E+00,1.019837E+00,3.074523E+00,nan
45:42.0,3.017593E+00,1.019840E+00,3.077461E+00,nan
45:43.0,3.020404E+00,1.019842E+00,3.080336E+00,nan
45:44.0,3.023169E+00,1.019836E+00,3.083136E+00,nan
45:45.0,3.025893E+00,1.019837E+00,3.085918E+00,nan
45:46.0,3.028546E+00,1.019841E+00,3.088635E+00,nan
45:47.0,3.031176E+00,1.019838E+00,3.091310E+00,nan
45:48.0,3.033775E+00,1.019842E+00,3.093972E+00,nan
45:49.0,3.036304E+00,1.019846E+00,3.096562E+00,nan
45:50.0,3.038813E+00,1.019846E+00,3.099121E+00,nan
45:51.0,3.041262E+00,1.019840E+00,3.101600E+00,nan
45:52.0,3.043692E+00,1.019847E+00,3.104101E+00,nan
45:53.0,3.046080E+00,1.019840E+00,3.106513E+00,nan
45:54.0,3.048438E+00,1.019841E+00,3.108922E+00,nan
45:55.0,3.050756E+00,1.019838E+00,3.111278E+00,nan
45:56.0,3.053040E+00,1.019846E+00,3.113630E+00,nan
45:57.0,3.055306E+00,1.019842E+00,3.115930E+00,nan
45:58.0,3.057538E+00,1.019843E+00,3.118210E+00,nan
45:59.0,3.059735E+00,1.019838E+00,3.120435E+00,nan
46:00.0,3.061917E+00,1.019843E+00,3.122676E+00,nan
46:01.0,3.064067E+00,1.019838E+00,3.124853E+00,nan
46:02.0,3.066182E+00,1.019840E+00,3.127014E+00,nan
46:03.0,3.068283E+00,1.019842E+00,3.129164E+00,nan
46:04.0,3.070343E+00,1.019849E+00,3.131285E+00,nan
46:05.0,3.072379E+00,1.019843E+00,3.133346E+00,nan
46:06.0,3.074398E+00,1.019840E+00,3.135393E+00,nan
46:07.0,3.076399E+00,1.019846E+00,3.137453E+00,nan
46:08.0,3.078373E+00,1.019838E+00,3.139444E+00,nan
46:09.0,3.080318E+00,1.019840E+00,3.141430E+00,nan
46:10.0,3.082252E+00,1.019840E+00,3.143403E+00,nan
46:11.0,3.084150E+00,1.019850E+00,3.145369E+00,nan
46:12.0,3.086062E+00,1.019847E+00,3.147312E+00,nan
46:13.0,3.087902E+00,1.019846E+00,3.149184E+00,nan
46:14.0,3.089772E+00,1.019847E+00,3.151096E+00,nan
46:15.0,3.091590E+00,1.019840E+00,3.152926E+00,nan
46:16.0,3.093398E+00,1.019846E+00,3.154790E+00,nan
46:17.0,3.095189E+00,1.019842E+00,3.156605E+00,nan
46:18.0,3.096972E+00,1.019837E+00,3.158408E+00,nan
46:19.0,3.098724E+00,1.019845E+00,3.160217E+00,nan
46:20.0,3.100457E+00,1.019847E+00,3.161993E+00,nan
46:21.0,3.102184E+00,1.019837E+00,3.163722E+00,nan
46:22.0,3.103888E+00,1.019837E+00,3.165460E+00,nan
46:23.0,3.105565E+00,1.019841E+00,3.167182E+00,nan
46:24.0,3.107244E+00,1.019838E+00,3.168887E+00,nan
46:25.0,3.108899E+00,1.019836E+00,3.170566E+00,nan
46:26.0,3.110551E+00,1.019843E+00,3.172275E+00,nan
46:27.0,3.112185E+00,1.019846E+00,3.173950E+00,nan
46:28.0,3.113778E+00,1.019842E+00,3.175563E+00,nan
46:29.0,3.115393E+00,1.019847E+00,3.177225E+00,nan
46:30.0,3.116973E+00,1.019843E+00,3.178825E+00,nan
46:31.0,3.118556E+00,1.019850E+00,3.180459E+00,nan
46:32.0,3.120107E+00,1.019841E+00,3.182013E+00,nan
46:33.0,3.121642E+00,1.019846E+00,3.183594E+00,nan
46:34.0,3.123171E+00,1.019840E+00,3.185133E+00,nan
46:35.0,3.124704E+00,1.019845E+00,3.186713E+00,nan
46:36.0,3.126217E+00,1.019842E+00,3.188248E+00,nan
46:37.0,3.127696E+00,1.019843E+00,3.189760E+00,nan
46:38.0,3.129172E+00,1.019837E+00,3.191246E+00,nan
46:39.0,3.130653E+00,1.019833E+00,3.192744E+00,nan
46:40.0,3.132124E+00,1.019838E+00,3.194261E+00,nan
46:41.0,3.133571E+00,1.019835E+00,3.195724E+00,nan
46:42.0,3.135000E+00,1.019835E+00,3.197182E+00,nan
46:43.0,3.136422E+00,1.019828E+00,3.198612E+00,nan
46:44.0,3.137844E+00,1.019842E+00,3.200106E+00,nan
46:45.0,3.139246E+00,1.019836E+00,3.201515E+00,nan
46:46.0,3.140645E+00,1.019837E+00,3.202946E+00,nan
46:47.0,3.142037E+00,1.019838E+00,3.204370E+00,nan
46:48.0,3.143407E+00,1.019851E+00,3.205807E+00,nan
46:49.0,3.144764E+00,1.019842E+00,3.207163E+00,nan
46:50.0,3.146114E+00,1.019841E+00,3.208536E+00,nan
46:51.0,3.147464E+00,1.019843E+00,3.209920E+00,nan
46:52.0,3.148796E+00,1.019841E+00,3.211271E+00,nan
46:53.0,3.150112E+00,1.019847E+00,3.212633E+00,nan
46:54.0,3.151427E+00,1.019840E+00,3.213950E+00,nan
46:55.0,3.152737E+00,1.019842E+00,3.215295E+00,nan
46:56.0,3.154042E+00,1.019841E+00,3.216622E+00,nan
46:57.0,3.155323E+00,1.019841E+00,3.217928E+00,nan
46:58.0,3.156621E+00,1.019847E+00,3.219271E+00,nan
46:59.0,3.157892E+00,1.019841E+00,3.220547E+00,nan
47:00.0,3.159152E+00,1.019846E+00,3.221849E+00,nan
47:01.0,3.160420E+00,1.019842E+00,3.223130E+00,nan
47:02.0,3.161656E+00,1.019841E+00,3.224387E+00,nan
47:03.0,3.162885E+00,1.019832E+00,3.225612E+00,nan
47:04.0,3.164136E+00,1.019840E+00,3.226911E+00,nan
47:05.0,3.165357E+00,1.019841E+00,3.228161E+00,nan
47:06.0,3.166566E+00,1.019850E+00,3.229421E+00,nan
47:07.0,3.167799E+00,1.019836E+00,3.230635E+00,nan
