condition,kappa,tau_label,CC_time_min,Q_at_CC_end_mAh,Q80_in_CV
0.1+0.9C 1τ,9.0,1τ,489.25099998503003,4056.8283228950454,True
0.1+0.2C 1τ,2.0,1τ,573.1266645853066,4771.798243177504,False
0.2+0.3C 1τ,1.4999999999999998,1τ,272.4151946783851,4533.268051884155,False
0.2+0.3C 10τ,1.4999999999999998,10τ,264.9690837752752,4365.138355818448,False
0.2+0.3C 34.8τ,1.4999999999999998,34.8τ,272.7073951911722,4342.206844719742,False
0.2+0.8C 0.1τ,4.0,0.1τ,243.90873902306257,4054.749596677138,True
0.2+0.8C 1τ,4.0,1τ,239.82779908607617,3981.6604069677123,True
0.2+0.8C 10τ,4.0,10τ,230.15081991449995,3710.1933462328984,True
0.3+0.7C 0.1τ,2.3333333333333335,0.1τ,159.17656695577315,3970.149927167423,True
0.3+0.7C 1τ,2.3333333333333335,1τ,157.0584586850369,3912.4312421035734,True
0.3+0.7C 10τ,2.3333333333333335,10τ,149.1257354639012,3649.446939262072,True
0.3+0.4C 0.1τ,1.3333333333333337,0.1τ,166.52065485561695,4156.462329781138,False
0.3+0.4C 1τ,1.3333333333333337,1τ,165.20273251822672,4120.813526025977,False
0.3+0.4C 10τ,1.3333333333333337,10τ,160.24463105975056,3944.740136384566,True
0.4+0.6C 0.5τ,1.4999999999999998,0.5τ,116.41381598669278,3872.4425690527455,True
0.4+0.5C 1.67τ,1.25,1.67τ,115.87441240276293,3850.936390456859,True
0.4+0.6C 1.67τ,1.4999999999999998,1.67τ,115.73539121643344,3837.6973910774773,True
0.4+0.6C 5τ,1.4999999999999998,5τ,114.78851152695394,3764.4516437310976,True
0.4+0.6C 10τ,1.4999999999999998,10τ,113.28564192499334,3665.195109646213,True
0.5+0.5C 1τ,1.0,1τ,90.6675858653685,3770.5366434219595,True
0.9+0.1C 16.7τ,0.1111111111111111,16.7τ,49.081846121562336,3630.475150379469,True
0.9+0.1C 1.67τ,0.1111111111111111,1.67τ,47.856639363752045,3585.9303629759615,True
0.9+0.1C 10τ,0.1111111111111111,10τ,50.136597334578966,3739.6220303939554,True
0.9+0.1C 1τ,0.1111111111111111,1τ,48.43916933941736,3629.8938224226777,True
