condition,DC,AC,f_Hz,ablation,Q_CC_end_mAh
DC_0.1C,0.1,0.0,0.0,PE_A1a,4919.192344975631
DC_0.2C,0.2,0.0,0.0,PE_A1a,4780.184517037176
DC_0.3C,0.3,0.0,0.0,PE_A1a,4642.918803323228
DC_0.4C,0.4,0.0,0.0,PE_A1a,4496.3479774447305
DC_0.5C,0.5,0.0,0.0,PE_A1a,4313.029488189115
DC_0.9C,0.9,0.0,0.0,PE_A1a,3634.6083620606787
0.1+0.9C 1τ,0.1,0.9,0.0143,PE_A1a,4059.099471364343
0.1+0.2C 1τ,0.1,0.2,0.0143,PE_A1a,4772.065743791968
0.2+0.3C 1τ,0.2,0.3,0.0143,PE_A1a,4533.257277091811
0.2+0.3C 10τ,0.2,0.3,0.00143,PE_A1a,4365.650345145
0.2+0.3C 34.8τ,0.2,0.3,0.00041,PE_A1a,4342.031129383773
0.2+0.8C 0.1τ,0.2,0.8,0.143,PE_A1a,4054.956252914252
0.2+0.8C 1τ,0.2,0.8,0.0143,PE_A1a,3980.5575965004846
0.2+0.8C 10τ,0.2,0.8,0.00143,PE_A1a,3685.3863934568813
0.3+0.7C 0.1τ,0.3,0.7,0.143,PE_A1a,3967.170118904883
0.3+0.7C 1τ,0.3,0.7,0.0143,PE_A1a,3911.90425211591
0.3+0.7C 10τ,0.3,0.7,0.00143,PE_A1a,3599.0688968794307
0.3+0.4C 0.1τ,0.3,0.4,0.143,PE_A1a,4168.195972659798
0.3+0.4C 1τ,0.3,0.4,0.0143,PE_A1a,4121.129404504807
0.3+0.4C 10τ,0.3,0.4,0.00143,PE_A1a,3944.3773371360317
0.4+0.6C 0.5τ,0.4,0.6,0.0286,PE_A1a,3872.186816833194
0.4+0.5C 1.67τ,0.4,0.5,0.0086,PE_A1a,3850.831214330609
0.4+0.6C 1.67τ,0.4,0.6,0.0086,PE_A1a,3783.2113226046863
0.4+0.6C 5τ,0.4,0.6,0.00286,PE_A1a,3761.5008751010614
0.4+0.6C 10τ,0.4,0.6,0.00143,PE_A1a,3648.6333463834444
0.5+0.5C 1τ,0.5,0.5,0.0143,PE_A1a,3768.5857392618373
0.9+0.1C 16.7τ,0.9,0.1,0.00086,PE_A1a,3629.3502002596297
0.9+0.1C 1.67τ,0.9,0.1,0.0086,PE_A1a,3584.939000316002
0.9+0.1C 10τ,0.9,0.1,0.00143,PE_A1a,3739.9618996523177
0.9+0.1C 1τ,0.9,0.1,0.0143,PE_A1a,3629.8202263158582
DC_0.1C,0.1,0.0,0.0,PE_A2a,4919.174278646061
DC_0.2C,0.2,0.0,0.0,PE_A2a,4780.069854762052
DC_0.3C,0.3,0.0,0.0,PE_A2a,4642.812898309066
DC_0.4C,0.4,0.0,0.0,PE_A2a,4496.511979159688
DC_0.5C,0.5,0.0,0.0,PE_A2a,4313.572835564773
DC_0.9C,0.9,0.0,0.0,PE_A2a,3636.458749561489
0.1+0.9C 1τ,0.1,0.9,0.0143,PE_A2a,4056.807365761156
0.1+0.2C 1τ,0.1,0.2,0.0143,PE_A2a,4771.504822966861
0.2+0.3C 1τ,0.2,0.3,0.0143,PE_A2a,4533.836753466119
0.2+0.3C 10τ,0.2,0.3,0.00143,PE_A2a,4365.864675601168
0.2+0.3C 34.8τ,0.2,0.3,0.00041,PE_A2a,4342.274828729722
0.2+0.8C 0.1τ,0.2,0.8,0.143,PE_A2a,4054.884002790922
0.2+0.8C 1τ,0.2,0.8,0.0143,PE_A2a,3980.6379886813475
0.2+0.8C 10τ,0.2,0.8,0.00143,PE_A2a,3708.590423297161
0.3+0.7C 0.1τ,0.3,0.7,0.143,PE_A2a,3970.295842301914
0.3+0.7C 1τ,0.3,0.7,0.0143,PE_A2a,3911.377225474559
0.3+0.7C 10τ,0.3,0.7,0.00143,PE_A2a,3652.5004149456176
0.3+0.4C 0.1τ,0.3,0.4,0.143,PE_A2a,4168.340180964844
0.3+0.4C 1τ,0.3,0.4,0.0143,PE_A2a,4121.139435107658
0.3+0.4C 10τ,0.3,0.4,0.00143,PE_A2a,3943.8445481643657
0.4+0.6C 0.5τ,0.4,0.6,0.0286,PE_A2a,3889.9235517182688
0.4+0.5C 1.67τ,0.4,0.5,0.0086,PE_A2a,3850.840610154994
0.4+0.6C 1.67τ,0.4,0.6,0.0086,PE_A2a,3838.335844729573
0.4+0.6C 5τ,0.4,0.6,0.00286,PE_A2a,3764.4824776991054
0.4+0.6C 10τ,0.4,0.6,0.00143,PE_A2a,3665.500341256189
0.5+0.5C 1τ,0.5,0.5,0.0143,PE_A2a,3811.624134533151
0.9+0.1C 16.7τ,0.9,0.1,0.00086,PE_A2a,3630.711516166187
0.9+0.1C 1.67τ,0.9,0.1,0.0086,PE_A2a,3585.6745562267847
0.9+0.1C 10τ,0.9,0.1,0.00143,PE_A2a,3739.4458105846193
0.9+0.1C 1τ,0.9,0.1,0.0143,PE_A2a,3630.03281095143
DC_0.1C,0.1,0.0,0.0,B_Dsn_up,4919.4444482465715
DC_0.2C,0.2,0.0,0.0,B_Dsn_up,4781.050302388269
DC_0.3C,0.3,0.0,0.0,B_Dsn_up,4644.465033764261
DC_0.4C,0.4,0.0,0.0,B_Dsn_up,4499.440258328882
DC_0.5C,0.5,0.0,0.0,B_Dsn_up,4319.392058111132
DC_0.9C,0.9,0.0,0.0,B_Dsn_up,3650.050807018117
0.1+0.9C 1τ,0.1,0.9,0.0143,B_Dsn_up,4057.969855215443
0.1+0.2C 1τ,0.1,0.2,0.0143,B_Dsn_up,4771.484950490026
