condition,baseline_Q_hi,baseline_Q_CC_min,Q_CC_end_PE_A1a,Q_CC_end_PE_A2a,Q_CC_end_B_Dsn_up,Q_CC_end_B_Dsn_down,Q_CC_end_C_alpha_up,Q_CC_end_C_alpha_down,min_ablation_Q_CC_end,strict_Q_hi_raw,strict_Q_hi,Q_hi_reduction_mAh,strict_window_flag,safeguard_active,failed_in_pre_run
0.1+0.9C 1τ,4006.8283228950454,4056.8283228950454,4059.099471364343,4056.807365761156,4057.969855215443,4058.3781335450553,4056.8283228950454,4056.8283228950454,4056.807365761156,4006.807365761156,4006.807365761156,0.0209571338896239,True,False,
0.1+0.2C 1τ,4101.0,4771.798243177504,4772.065743791968,4771.504822966861,4771.484950490026,4771.39708085404,4771.798243177504,4771.798243177504,4771.39708085404,4101.0,4101.0,0.0,False,False,
0.2+0.3C 1τ,4101.0,4533.268051884155,4533.257277091811,4533.836753466119,4532.899242309989,4515.165941951657,4533.268051884155,4533.268051884155,4515.165941951657,4101.0,4101.0,0.0,False,False,
0.2+0.3C 10τ,4101.0,4365.138355818448,4365.650345145,4365.864675601168,4369.836935261852,4360.38338863674,4365.138355818448,4365.138355818448,4360.38338863674,4101.0,4101.0,0.0,False,False,
0.2+0.3C 34.8τ,4101.0,4342.206844719742,4342.031129383773,4342.274828729722,4345.707848535975,4330.735253784911,4342.206844719742,4342.206844719742,4330.735253784911,4101.0,4101.0,0.0,False,False,
0.2+0.8C 0.1τ,4004.749596677138,4054.749596677138,4054.956252914252,4054.884002790922,4054.9133684492726,4052.844023047586,4054.749596677138,4054.749596677138,4052.844023047586,4002.844023047586,4002.844023047586,1.9055736295526913,True,False,
0.2+0.8C 1τ,3931.660406967712,3981.660406967712,3980.5575965004846,3980.637988681347,3982.774157833507,3979.613504077171,3981.660406967712,3981.660406967712,3979.613504077171,3929.613504077171,3929.613504077171,2.046902890540423,True,False,
0.2+0.8C 10τ,3660.1933462328984,3710.1933462328984,3685.3863934568817,3708.590423297161,3710.347479888901,,3710.1933462328984,3710.1933462328984,3685.3863934568817,3635.3863934568817,3635.3863934568817,24.80695277601717,True,False,B_Dsn_down
0.3+0.7C 0.1τ,3920.149927167423,3970.149927167423,3967.170118904883,3970.295842301914,3970.177440146709,3964.3645162661296,3970.149927167423,3970.149927167423,3964.3645162661296,3914.3645162661296,3914.3645162661296,5.7854109012932895,True,False,
0.3+0.7C 1τ,3862.431242103574,3912.431242103574,3911.90425211591,3911.377225474559,3911.863941872651,3911.189961016593,3912.431242103574,3912.431242103574,3911.189961016593,3861.189961016593,3861.189961016593,1.2412810869809618,True,False,
0.3+0.7C 10τ,3599.446939262072,3649.446939262072,3599.0688968794307,3652.5004149456176,3661.543802195527,3638.2111431058847,3649.446939262072,3649.446939262072,3599.0688968794307,3549.0688968794307,3549.0688968794307,50.37804238264152,True,False,
0.3+0.4C 0.1τ,4101.0,4156.462329781138,4168.195972659798,4168.340180964844,4170.926585443201,4159.479649601977,4156.462329781138,4156.462329781138,4156.462329781138,4101.0,4101.0,0.0,False,False,
0.3+0.4C 1τ,4070.813526025977,4120.813526025977,4121.129404504807,4121.139435107658,4121.438459824672,4120.976592491906,4120.813526025977,4120.813526025977,4120.813526025977,4070.813526025977,4070.813526025977,0.0,False,False,
0.3+0.4C 10τ,3894.740136384566,3944.740136384566,3944.377337136032,3943.8445481643657,3947.655738608668,3938.995870253131,3944.740136384566,3944.740136384566,3938.995870253131,3888.995870253131,3888.995870253131,5.7442661314353245,True,False,
0.4+0.6C 0.5τ,3822.4425690527455,3872.4425690527455,3872.186816833194,3889.9235517182688,3889.7365499522225,3871.800318654056,3872.4425690527455,3872.4425690527455,3871.800318654056,3821.800318654056,3821.800318654056,0.642250398689157,True,False,
0.4+0.5C 1.67τ,3800.936390456859,3850.936390456859,3850.831214330609,3850.840610154994,3904.823470475337,3848.7754028010454,3850.936390456859,3850.936390456859,3848.7754028010454,3798.7754028010454,3798.7754028010454,2.160987655813642,True,False,
0.4+0.6C 1.67τ,3787.6973910774777,3837.6973910774777,3783.2113226046863,3838.335844729573,3838.3869710511863,3783.735242817312,3837.6973910774777,3837.6973910774777,3783.2113226046863,3733.2113226046863,3733.2113226046863,54.48606847279143,True,False,
0.4+0.6C 5τ,3714.4516437310976,3764.4516437310976,3761.5008751010614,3764.4824776991054,3765.810618767038,3762.8729469740624,3764.4516437310976,3764.4516437310976,3761.5008751010614,3711.5008751010614,3711.5008751010614,2.950768630036237,True,False,
0.4+0.6C 10τ,3615.195109646213,3665.195109646213,3648.633346383445,3665.500341256189,3668.770176318653,3662.30771558936,3665.195109646213,3665.195109646213,3648.633346383445,3598.6333463834444,3598.6333463834444,16.561763262768636,True,False,
0.5+0.5C 1τ,3720.536643421959,3770.536643421959,3768.5857392618377,3811.624134533151,3811.9224549470114,3768.187383695517,3770.536643421959,3770.536643421959,3768.187383695517,3718.187383695517,3718.187383695517,2.349259726442142,True,False,
0.9+0.1C 16.7τ,3580.475150379469,3630.475150379469,3629.3502002596297,3630.711516166187,3639.4363936142113,3608.1352151060455,3630.475150379469,3630.475150379469,3608.1352151060455,3558.1352151060455,3558.1352151060455,22.33993527342363,True,False,
0.9+0.1C 1.67τ,3535.9303629759615,3585.9303629759615,3584.939000316002,3585.6745562267847,3590.9986983459717,3574.0382778453027,3585.9303629759615,3585.9303629759615,3574.0382778453027,3524.0382778453027,3524.0382778453027,11.89208513065887,True,False,
0.9+0.1C 10τ,3586.513843670099,3636.513843670099,3739.9618996523177,3739.4458105846193,3751.830244713528,3707.482459912252,3739.6220303939554,3739.6220303939554,3707.482459912252,3586.513843670099,3586.513843670099,0.0,False,False,
0.9+0.1C 1τ,3579.8938224226777,3629.8938224226777,3629.8202263158582,3630.03281095143,3632.913067103844,3555.4531197588058,3629.8938224226777,3629.8938224226777,3555.4531197588058,3505.4531197588058,3505.4531197588058,74.44070266387189,True,False,
