condition,ablation,L2_rel,MARD,sign_concordance,max_abs_dev_min,mard_valid_n,sign_grid_n,baseline_max_abs,baseline_norm,status
0.1+0.2C 1τ,B_Dsn_down,0.24271655703977413,0.21588689773096764,1.0,0.6634260776997811,80.0,80.0,0.7415847307277242,3.841306673575576,ok
0.1+0.2C 1τ,B_Dsn_up,0.027360209213489226,0.06293108828546252,1.0,0.022643709322013206,80.0,80.0,0.7415847307277242,3.841306673575576,ok
0.1+0.2C 1τ,PE_A1a,0.2447783226249059,0.10109293800812483,1.0,0.6741565531102122,80.0,80.0,0.7415847307277242,3.841306673575576,ok
0.1+0.2C 1τ,PE_A2a,0.24284753684880503,0.19682900647338625,1.0,0.6656534118549947,80.0,80.0,0.7415847307277242,3.841306673575576,ok
0.1+0.9C 1τ,B_Dsn_down,0.2175532494077717,0.05118708913449667,1.0,1.0149639512912474,80.0,80.0,1.8734922070128353,10.195307828680004,ok
0.1+0.9C 1τ,B_Dsn_up,0.13548481109660074,0.023923096201501674,1.0,0.9851767394749308,80.0,80.0,1.8734922070128353,10.195307828680004,ok
0.1+0.9C 1τ,PE_A1a,0.13359416394435014,0.05632076859449904,1.0,0.9625734624180343,80.0,80.0,1.8734922070128353,10.195307828680004,ok
0.1+0.9C 1τ,PE_A2a,0.1352167099244494,0.032496199338442236,1.0,0.9838855924570453,80.0,80.0,1.8734922070128353,10.195307828680004,ok
0.2+0.3C 10τ,B_Dsn_down,0.003532141005822705,0.010429170488747828,1.0,0.03532614983109861,78.0,80.0,5.433691771545303,30.465999653575526,ok
0.2+0.3C 10τ,B_Dsn_up,0.006802423886232349,0.01689912036496192,1.0,0.06366412511169983,78.0,80.0,5.433691771545303,30.465999653575526,ok
0.2+0.3C 10τ,PE_A1a,0.0028503245640891114,0.007940959992761664,1.0,0.02961173038847864,78.0,80.0,5.433691771545303,30.465999653575526,ok
0.2+0.3C 10τ,PE_A2a,0.004417492408500686,0.010977369362717104,1.0,0.04054122266634297,78.0,80.0,5.433691771545303,30.465999653575526,ok
0.2+0.3C 1τ,B_Dsn_down,0.15457823336590315,0.1081485508619819,1.0,0.5166668700147663,80.0,80.0,0.6252347888329496,3.3679142926933743,ok
0.2+0.3C 1τ,B_Dsn_up,0.3663431279007178,0.44559760546831095,1.0,0.5520537505888268,80.0,80.0,0.6252347888329496,3.3679142926933743,ok
0.2+0.3C 1τ,PE_A1a,0.3138138136353831,0.11029585337539549,1.0,0.5460424509418773,80.0,80.0,0.6252347888329496,3.3679142926933743,ok
0.2+0.3C 1τ,PE_A2a,0.15295151125822393,0.06547314445777311,1.0,0.508315700421675,80.0,80.0,0.6252347888329496,3.3679142926933743,ok
0.2+0.3C 34.8τ,B_Dsn_down,0.0025249978721775526,0.0028980197293895092,1.0,0.17905475400590776,68.0,80.0,19.13049502466859,92.51183171955047,ok
0.2+0.3C 34.8τ,B_Dsn_up,0.007971341199715766,0.008542173247745082,0.9875,0.6504089993002711,68.0,80.0,19.13049502466859,92.51183171955047,ok
0.2+0.3C 34.8τ,PE_A1a,0.005966511239551336,0.006665965613820081,1.0,0.4940643312261275,68.0,80.0,19.13049502466859,92.51183171955047,ok
0.2+0.3C 34.8τ,PE_A2a,0.006936579391700539,0.007103365203691243,1.0,0.5727508601570968,68.0,80.0,19.13049502466859,92.51183171955047,ok
0.2+0.8C 0.1τ,B_Dsn_down,0.049321508988055845,0.011256339885058643,1.0,0.08844594896906233,80.0,80.0,0.596324895543512,3.5117966673804437,ok
0.2+0.8C 0.1τ,B_Dsn_up,0.04228039279362053,0.00824607608638983,1.0,0.08820706983885135,80.0,80.0,0.596324895543512,3.5117966673804437,ok
0.2+0.8C 0.1τ,PE_A1a,0.07777141001438427,0.0261257276850689,1.0,0.09549531813718215,80.0,80.0,0.596324895543512,3.5117966673804437,ok
0.2+0.8C 0.1τ,PE_A2a,0.04955731222347449,0.013332216754446149,1.0,0.08896811853437614,80.0,80.0,0.596324895543512,3.5117966673804437,ok
0.2+0.8C 10τ,B_Dsn_down,,,,,,,,,missing_ablation
0.2+0.8C 10τ,B_Dsn_up,0.29757039649618655,0.011306987315219423,0.9625,8.37081276846302,71.0,80.0,8.14356889049756,39.42414317824563,ok
0.2+0.8C 10τ,PE_A1a,0.003926388364154683,0.0026574054003811404,0.975,0.1268526721364347,71.0,80.0,8.14356889049756,39.42414317824563,ok
0.2+0.8C 10τ,PE_A2a,0.20818814416274375,0.005642886645362897,0.9625,8.203076584249537,71.0,80.0,8.14356889049756,39.42414317824563,ok
0.2+0.8C 1τ,B_Dsn_down,0.30903080772268343,0.15469209363808084,1.0,0.8860218196277552,80.0,80.0,1.0566728300011468,5.482522688164653,ok
0.2+0.8C 1τ,B_Dsn_up,0.2101835769753237,0.05576445972930947,1.0,0.8190581901834777,80.0,80.0,1.0566728300011468,5.482522688164653,ok
0.2+0.8C 1τ,PE_A1a,0.2634567632892014,0.1107203254701351,1.0,0.8396988119350832,80.0,80.0,1.0566728300011468,5.482522688164653,ok
0.2+0.8C 1τ,PE_A2a,0.2126205778419944,0.061160159131280575,1.0,0.8244622548148073,80.0,80.0,1.0566728300011468,5.482522688164653,ok
0.3+0.4C 0.1τ,B_Dsn_down,0.07705355922679792,0.03216846798725763,1.0,0.0588328763753756,80.0,80.0,0.2808469842112269,1.6385324867891014,ok
0.3+0.4C 0.1τ,B_Dsn_up,0.05689320481116867,0.021343147643077525,1.0,0.054998824011560504,80.0,80.0,0.2808469842112269,1.6385324867891014,ok
0.3+0.4C 0.1τ,PE_A1a,0.04618444703869455,0.014092199404229181,1.0,0.053003994162221096,80.0,80.0,0.2808469842112269,1.6385324867891014,ok
0.3+0.4C 0.1τ,PE_A2a,0.08786886420076713,0.037874180609139795,1.0,0.059857149746297494,80.0,80.0,0.2808469842112269,1.6385324867891014,ok
0.3+0.4C 10τ,B_Dsn_down,0.008403843861573668,0.014260398970608896,0.975,0.05960224805843,70.0,80.0,4.892320123508913,25.971057694350325,ok
0.3+0.4C 10τ,B_Dsn_up,0.002572799108833887,0.0027637940760909573,0.9375,0.033619753154395304,70.0,80.0,4.892320123508913,25.971057694350325,ok
0.3+0.4C 10τ,PE_A1a,0.0027704586237813087,0.0034848623117151303,0.9625,0.034608558822249696,70.0,80.0,4.892320123508913,25.971057694350325,ok
0.3+0.4C 10τ,PE_A2a,0.005843393065122565,0.008571865226789219,0.975,0.059523113743171104,70.0,80.0,4.892320123508913,25.971057694350325,ok
0.3+0.4C 1τ,B_Dsn_down,0.03723010376437867,0.0665077569706499,1.0,0.0352336099752998,80.0,80.0,0.5835581540077631,3.0866463511221034,ok
0.3+0.4C 1τ,B_Dsn_up,0.14751387126045246,0.09230791862993212,1.0,0.45256266709137283,80.0,80.0,0.5835581540077631,3.0866463511221034,ok
0.3+0.4C 1τ,PE_A1a,0.023347743302311572,0.02993776196222287,1.0,0.026926059478440303,80.0,80.0,0.5835581540077631,3.0866463511221034,ok
0.3+0.4C 1τ,PE_A2a,0.1461483384131074,0.08138567773920544,1.0,0.4496843559477459,80.0,80.0,0.5835581540077631,3.0866463511221034,ok
0.3+0.7C 0.1τ,B_Dsn_down,0.0690388658245206,0.02772300025255729,1.0,0.07630392859590149,80.0,80.0,0.3807782023217745,2.189722458419836,ok
0.3+0.7C 0.1τ,B_Dsn_up,0.07654532130373631,0.030324718004945128,1.0,0.07767989749839521,80.0,80.0,0.3807782023217745,2.189722458419836,ok
0.3+0.7C 0.1τ,PE_A1a,0.06637093243342156,0.0214617556881568,1.0,0.07515926524850641,80.0,80.0,0.3807782023217745,2.189722458419836,ok
0.3+0.7C 0.1τ,PE_A2a,0.09303218814957903,0.04519398896786156,1.0,0.07889797220905159,80.0,80.0,0.3807782023217745,2.189722458419836,ok
0.3+0.7C 10τ,B_Dsn_down,0.0035309598632061374,0.0044420659670554585,1.0,0.0678794106328193,70.0,80.0,7.023212987747456,34.41558087665658,ok
0.3+0.7C 10τ,B_Dsn_up,0.0021767078651212576,0.0022192419508794024,1.0,0.03508107328407278,70.0,80.0,7.023212987747456,34.41558087665658,ok
0.3+0.7C 10τ,PE_A1a,0.0016163101400401992,0.002340668637538395,1.0,0.0224059213428972,70.0,80.0,7.023212987747456,34.41558087665658,ok
0.3+0.7C 10τ,PE_A2a,0.0024673476219070636,0.0020130249696756015,1.0,0.053307264279965294,70.0,80.0,7.023212987747456,34.41558087665658,ok
