model,alpha,Q_target_mAh,status,t_rel,V,eta_n,i_n
SymBV_alpha0p5,,1500.0,ok,2675.2863801430963,3.7712924138484043,-0.09185645704413495,-1.2820331572084946
SymBV_alpha0p5,,2500.0,ok,4483.469258764976,3.9536557866959146,-0.09310468401364548,-1.465367643860501
SymBV_alpha0p5,,3500.0,ok,6291.862381063733,4.134228244342165,-0.09501847677895198,-1.4609817366337465
AsymBV_alpha0p5,0.5,1500.0,ok,2675.6314439804883,3.7703269241510493,-0.09116651548089376,-1.2624603901927969
AsymBV_alpha0p5,0.5,2500.0,ok,4483.575151281828,3.952948229760201,-0.0927895141571553,-1.4558791714449326
AsymBV_alpha0p5,0.5,3500.0,ok,6292.237124388155,4.13506298763179,-0.09526418763240016,-1.4658335608740591
AsymBV_alpha0p4,0.4,1500.0,ok,2675.2922792690756,3.7575040251847716,-0.07753114950131307,-1.2839352798591523
AsymBV_alpha0p4,0.4,2500.0,ok,4483.377587030661,3.9392851187090656,-0.07837612154521438,-1.4676336058817732
AsymBV_alpha0p4,0.4,3500.0,ok,6291.804075991338,4.11913456174056,-0.08000782702943457,-1.4635648520371638
AsymBV_alpha0p6,0.6,1500.0,ok,2675.6147770139582,3.7921923728634637,-0.11332894781183536,-1.267943330262694
AsymBV_alpha0p6,0.6,2500.0,ok,4483.912611860883,3.974947950206831,-0.11504469808158005,-1.4490212788141197
AsymBV_alpha0p6,0.6,3500.0,ok,6292.497983237843,4.158835273414375,-0.11869936864410954,-1.4744474682716069
