case_idx,condition,DC_C,AC_C,f_Hz,alpha,Q_CC_end_mAh,Q_net_peak_mAh,t_end_s,V_init,V_end,status,err_msg
0,0.1+0.9C 1τ,0.1,0.9,0.0143,0.5,3993.0572516315087,3998.083004358089,28690.017787802975,2.82063263446123,4.200000000000001,ok_Vmax,
0,0.1+0.9C 1τ,0.1,0.9,0.0143,0.6,3870.7133316115815,3874.811516419548,27781.57988692638,2.82063263446123,4.200000000000498,ok_Vmax,
0,0.1+0.9C 1τ,0.1,0.9,0.0143,0.4,4076.8750146637094,4081.876909470766,29319.394774664823,2.82063263446123,4.199999999999999,ok_Vmax,
1,0.1+0.2C 1τ,0.1,0.2,0.0143,0.5,4764.281317077386,4764.281317077386,34284.29122301886,2.82063263446123,4.200000000000001,ok_Vmax,
1,0.1+0.2C 1τ,0.1,0.2,0.0143,0.6,4724.2993957530225,4724.2993957530225,34003.13902796783,2.82063263446123,4.200000000000258,ok_Vmax,
1,0.1+0.2C 1τ,0.1,0.2,0.0143,0.4,4791.5419554636455,4791.5419554636455,34493.11836133824,2.82063263446123,4.200000000000001,ok_Vmax,
2,0.2+0.3C 1τ,0.2,0.3,0.0143,0.5,4493.934583731501,4493.934583731501,16170.77594702836,2.82063263446123,4.20000000000015,ok_Vmax,
2,0.2+0.3C 1τ,0.2,0.3,0.0143,0.6,4261.091900233366,4261.091900233366,15332.039111440541,2.82063263446123,4.2,ok_Vmax,
2,0.2+0.3C 1τ,0.2,0.3,0.0143,0.4,4589.336457058664,4589.336457058664,16519.447062796728,2.82063263446123,4.200000000000002,ok_Vmax,
3,0.2+0.3C 10τ,0.2,0.3,0.00143,0.5,4349.956079915125,4349.956079915125,15531.650752507183,2.82063263446123,4.200000000000006,ok_Vmax,
3,0.2+0.3C 10τ,0.2,0.3,0.00143,0.6,4151.903466592502,4151.903466592502,14826.685758898326,2.82063263446123,4.200000000000001,ok_Vmax,
3,0.2+0.3C 10τ,0.2,0.3,0.00143,0.4,4530.176608448252,4530.176608448252,16209.36558224602,2.82063263446123,4.200000000000088,ok_Vmax,
4,0.2+0.3C 34.8τ,0.2,0.3,0.000412,0.5,4297.727887849963,4297.727887849963,15057.501908660317,2.82063263446123,4.2,ok_Vmax,
4,0.2+0.3C 34.8τ,0.2,0.3,0.000412,0.6,4217.174530511654,4217.174530511654,14934.230329389948,2.82063263446123,4.200000000000026,ok_Vmax,
4,0.2+0.3C 34.8τ,0.2,0.3,0.000412,0.4,4382.618069391028,4382.618069391028,15181.337081993832,2.82063263446123,4.200000000000013,ok_Vmax,
5,0.2+0.8C 0.1τ,0.2,0.8,0.143,0.5,4000.588771260156,4000.588771260156,14428.296063599437,2.82063263446123,4.200000000000004,ok_Vmax,
5,0.2+0.8C 0.1τ,0.2,0.8,0.143,0.6,3880.765470806131,3880.765470806131,13987.70514255855,2.82063263446123,4.2000000000014355,ok_Vmax,
5,0.2+0.8C 0.1τ,0.2,0.8,0.143,0.4,4092.3482445396435,4092.3482445396435,14770.921989318154,2.82063263446123,4.200000000000003,ok_Vmax,
6,0.2+0.8C 1τ,0.2,0.8,0.0143,0.5,3918.7120637478192,3918.7120637478192,14075.349703508899,2.82063263446123,4.200000000000104,ok_Vmax,
6,0.2+0.8C 1τ,0.2,0.8,0.0143,0.6,3802.695090527607,3802.695090527607,13655.15009432038,2.82063263446123,4.199999999999999,ok_Vmax,
6,0.2+0.8C 1τ,0.2,0.8,0.0143,0.4,4013.370044973691,4013.370044973691,14423.790476992814,2.82063263446123,4.200000000000001,ok_Vmax,
7,0.2+0.8C 10τ,0.2,0.8,0.00143,0.5,3657.465702018471,3657.465702018471,12754.66240080936,2.82063263446123,4.200000000000004,ok_Vmax,
7,0.2+0.8C 10τ,0.2,0.8,0.00143,0.6,3502.509526999588,3502.509526999588,12083.854587354695,2.82063263446123,4.200000000000028,ok_Vmax,
7,0.2+0.8C 10τ,0.2,0.8,0.00143,0.4,3705.1490881045597,3705.1490881045597,12789.08448521064,2.82063263446123,4.199999999999999,ok_Vmax,
8,0.3+0.7C 0.1τ,0.3,0.7,0.143,0.5,3913.0839364302187,3913.0839364302187,9407.225221753148,2.82063263446123,4.2,ok_Vmax,
8,0.3+0.7C 0.1τ,0.3,0.7,0.143,0.6,3800.8892276586907,3800.8892276586907,9134.509043928449,2.82063263446123,4.200000000000006,ok_Vmax,
8,0.3+0.7C 0.1τ,0.3,0.7,0.143,0.4,4002.424844992028,4002.424844992028,9624.057033346739,2.82063263446123,4.200000000000301,ok_Vmax,
9,0.3+0.7C 1τ,0.3,0.7,0.0143,0.5,3859.459381383692,3859.459381383692,9248.115051074592,2.82063263446123,4.200000000000141,ok_Vmax,
9,0.3+0.7C 1τ,0.3,0.7,0.0143,0.6,3743.211163379876,3743.211163379876,8968.213307350621,2.82063263446123,4.200000000000031,ok_Vmax,
9,0.3+0.7C 1τ,0.3,0.7,0.0143,0.4,3946.54624474736,3946.54624474736,9457.86871388868,2.82063263446123,4.200000000000001,ok_Vmax,
10,0.3+0.7C 10τ,0.3,0.7,0.00143,0.5,3649.3417123988706,3649.3417123988706,8546.276392329524,2.82063263446123,4.2000000000001165,ok_Vmax,
10,0.3+0.7C 10τ,0.3,0.7,0.00143,0.6,3612.969847463074,3612.969847463074,8519.080952596547,2.82063263446123,4.200000000000001,ok_Vmax,
10,0.3+0.7C 10τ,0.3,0.7,0.00143,0.4,3684.627547023761,3684.627547023761,8572.347561838364,2.82063263446123,4.200000000000021,ok_Vmax,
11,0.3+0.4C 0.1τ,0.3,0.4,0.143,0.5,4112.238457075094,4112.238457075094,9882.74393488703,2.82063263446123,4.2000000000000055,ok_Vmax,
11,0.3+0.4C 0.1τ,0.3,0.4,0.143,0.6,3971.0465837054267,3971.0465837054267,9540.195815411495,2.82063263446123,4.200000000000001,ok_Vmax,
11,0.3+0.4C 0.1τ,0.3,0.4,0.143,0.4,4253.260689368998,4253.260689368998,10225.44865262506,2.82063263446123,4.2,ok_Vmax,
12,0.3+0.4C 1τ,0.3,0.4,0.0143,0.5,4061.9588161001566,4061.9588161001566,9738.689777329084,2.82063263446123,4.200000000000017,ok_Vmax,
12,0.3+0.4C 1τ,0.3,0.4,0.0143,0.6,3943.2829513856896,3943.2829513856896,9457.424887133182,2.82063263446123,4.200000000000156,ok_Vmax,
12,0.3+0.4C 1τ,0.3,0.4,0.0143,0.4,4206.48277168392,4206.48277168392,10086.537149706968,2.82063263446123,4.2,ok_Vmax,
13,0.3+0.4C 10τ,0.3,0.4,0.00143,0.5,3911.6760410689603,3911.6760410689603,9254.513745631795,2.82063263446123,4.20000000000007,ok_Vmax,
13,0.3+0.4C 10τ,0.3,0.4,0.00143,0.6,3874.1814917073507,3874.1814917073507,9215.549656157797,2.82063263446123,4.200000000000057,ok_Vmax,
13,0.3+0.4C 10τ,0.3,0.4,0.00143,0.4,4154.278567916735,4154.278567916735,9900.819903525906,2.82063263446123,4.200000000000001,ok_Vmax,
14,0.4+0.6C 0.5τ,0.4,0.6,0.0286,0.5,3812.792783681776,3812.792783681776,6862.265128247378,2.82063263446123,4.200000000000025,ok_Vmax,
14,0.4+0.6C 0.5τ,0.4,0.6,0.0286,0.6,3695.4537309884363,3695.4537309884363,6652.353823512477,2.82063263446123,4.200000000000138,ok_Vmax,
14,0.4+0.6C 0.5τ,0.4,0.6,0.0286,0.4,3908.6492907006714,3908.6492907006714,7036.227978311736,2.82063263446123,4.20000000000022,ok_Vmax,
15,0.4+0.5C 1.67τ,0.4,0.5,0.0086,0.5,3835.462992555697,3835.462992555697,6886.342131264811,2.82063263446123,4.200000000000001,ok_Vmax,
15,0.4+0.5C 1.67τ,0.4,0.5,0.0086,0.6,3706.5592896542844,3706.5592896542844,6655.248673944876,2.82063263446123,4.2,ok_Vmax,
15,0.4+0.5C 1.67τ,0.4,0.5,0.0086,0.4,3902.6988518466806,3902.6988518466806,7005.123331673514,2.82063263446123,4.2,ok_Vmax,
16,0.4+0.6C 1.67τ,0.4,0.6,0.0086,0.5,3773.065882646214,3773.065882646214,6770.550793582474,2.82063263446123,4.200000000000001,ok_Vmax,
16,0.4+0.6C 1.67τ,0.4,0.6,0.0086,0.6,3644.24837983337,3644.24837983337,6539.102278217094,2.82063263446123,4.199999999999999,ok_Vmax,
16,0.4+0.6C 1.67τ,0.4,0.6,0.0086,0.4,3839.963657383859,3839.963657383859,6888.88314736211,2.82063263446123,4.200000000000001,ok_Vmax,
17,0.4+0.6C 5τ,0.4,0.6,0.00286,0.5,3749.927853429018,3749.927853429018,6705.021351799403,2.82063263446123,4.200000000000003,ok_Vmax,
17,0.4+0.6C 5τ,0.4,0.6,0.00286,0.6,3572.046270826804,3572.046270826804,6367.321047493621,2.82063263446123,4.200000000000086,ok_Vmax,
17,0.4+0.6C 5τ,0.4,0.6,0.00286,0.4,3766.6328161111805,3766.6328161111805,6717.672234510964,2.82063263446123,4.200000000000001,ok_Vmax,
18,0.4+0.6C 10τ,0.4,0.6,0.00143,0.5,3640.6695425152534,3640.6695425152534,6435.01019918542,2.82063263446123,4.2,ok_Vmax,
18,0.4+0.6C 10τ,0.4,0.6,0.00143,0.6,3605.8473813653713,3605.8473813653713,6408.780242206539,2.82063263446123,4.2,ok_Vmax,
18,0.4+0.6C 10τ,0.4,0.6,0.00143,0.4,3674.2282314418458,3674.2282314418458,6459.231780015832,2.82063263446123,4.200000000000021,ok_Vmax,
19,0.5+0.5C 1τ,0.5,0.5,0.0143,0.5,3711.3834704686446,3711.3834704686446,5333.673581819638,2.82063263446123,4.199999999999999,ok_Vmax,
19,0.5+0.5C 1τ,0.5,0.5,0.0143,0.6,3610.1708550015237,3610.1708550015237,5191.54351687146,2.82063263446123,4.2,ok_Vmax,
19,0.5+0.5C 1τ,0.5,0.5,0.0143,0.4,3805.3351082975137,3805.3351082975137,5471.401831412672,2.82063263446123,4.2000000000000055,ok_Vmax,
20,0.9+0.1C 16.7τ,0.9,0.1,0.00086,0.5,3425.243545205313,3425.243545205313,2709.6673240218424,2.82063263446123,4.200000000000002,ok_Vmax,
20,0.9+0.1C 16.7τ,0.9,0.1,0.00086,0.6,3309.5366790945372,3309.5366790945372,2625.974583812561,2.82063263446123,4.2,ok_Vmax,
20,0.9+0.1C 16.7τ,0.9,0.1,0.00086,0.4,3518.5245050803705,3518.5245050803705,2778.5530382075813,2.82063263446123,4.199999999999999,ok_Vmax,
21,0.9+0.1C 1.67τ,0.9,0.1,0.0086,0.5,3501.75552675815,3501.75552675815,2801.002339649308,2.82063263446123,4.200000000000001,ok_Vmax,
21,0.9+0.1C 1.67τ,0.9,0.1,0.0086,0.6,3368.2435265540253,3368.2435265540253,2693.4586544686194,2.82063263446123,4.200000000000001,ok_Vmax,
21,0.9+0.1C 1.67τ,0.9,0.1,0.0086,0.4,3532.2213417183248,3532.2213417183248,2823.3152372880404,2.82063263446123,4.2,ok_Vmax,
22,0.9+0.1C 10τ,0.9,0.1,0.00143,0.5,3521.465634119917,3521.465634119917,2816.88255488125,2.82063263446123,4.2000000000000135,ok_Vmax,
22,0.9+0.1C 10τ,0.9,0.1,0.00143,0.6,3456.971155292992,3456.971155292992,2765.0373792697283,2.82063263446123,4.200000000000001,ok_Vmax,
22,0.9+0.1C 10τ,0.9,0.1,0.00143,0.4,3568.5553515627134,3568.5553515627134,2853.0756062675,2.82063263446123,4.199999999999999,ok_Vmax,
23,0.9+0.1C 1τ,0.9,0.1,0.0143,0.5,3503.7371526129236,3503.7371526129236,2802.95280931567,2.82063263446123,4.200000000000001,ok_Vmax,
23,0.9+0.1C 1τ,0.9,0.1,0.0143,0.6,3412.4152295500216,3412.4152295500216,2729.881423409135,2.82063263446123,4.200000000000037,ok_Vmax,
23,0.9+0.1C 1τ,0.9,0.1,0.0143,0.4,3588.674217526493,3588.674217526493,2870.8093533884607,2.82063263446123,4.200000000000039,ok_Vmax,
