condition,Q_CC_end_min_xalpha,Q_hi_raw,Q_hi,Q_low,width,Q_hi_capped,binding_alpha,DC_C,AC_C,f_Hz
0.1+0.2C 1τ,4724.3,4674.3,4101.0,1025.0,3076.0,True,0.6,0.1,0.2,0.0143
0.1+0.9C 1τ,3870.71,3820.71,3820.71,1025.0,2795.71,False,0.6,0.1,0.9,0.0143
0.2+0.3C 10τ,4151.9,4101.9,4101.0,1025.0,3076.0,True,0.6,0.2,0.3,0.00143
0.2+0.3C 1τ,4261.09,4211.09,4101.0,1025.0,3076.0,True,0.6,0.2,0.3,0.0143
0.2+0.3C 34.8τ,4217.17,4167.17,4101.0,1025.0,3076.0,True,0.6,0.2,0.3,0.000412
0.2+0.8C 0.1τ,3880.77,3830.77,3830.77,1025.0,2805.77,False,0.6,0.2,0.8,0.143
0.2+0.8C 10τ,3502.51,3452.51,3452.51,1025.0,2427.51,False,0.6,0.2,0.8,0.00143
0.2+0.8C 1τ,3802.7,3752.7,3752.7,1025.0,2727.7,False,0.6,0.2,0.8,0.0143
0.3+0.4C 0.1τ,3971.05,3921.05,3921.05,1025.0,2896.05,False,0.6,0.3,0.4,0.143
0.3+0.4C 10τ,3874.18,3824.18,3824.18,1025.0,2799.18,False,0.6,0.3,0.4,0.00143
0.3+0.4C 1τ,3943.28,3893.28,3893.28,1025.0,2868.28,False,0.6,0.3,0.4,0.0143
0.3+0.7C 0.1τ,3800.89,3750.89,3750.89,1025.0,2725.89,False,0.6,0.3,0.7,0.143
0.3+0.7C 10τ,3612.97,3562.97,3562.97,1025.0,2537.97,False,0.6,0.3,0.7,0.00143
0.3+0.7C 1τ,3743.21,3693.21,3693.21,1025.0,2668.21,False,0.6,0.3,0.7,0.0143
0.4+0.5C 1.67τ,3706.56,3656.56,3656.56,1025.0,2631.56,False,0.6,0.4,0.5,0.0086
0.4+0.6C 0.5τ,3695.45,3645.45,3645.45,1025.0,2620.45,False,0.6,0.4,0.6,0.0286
0.4+0.6C 1.67τ,3644.25,3594.25,3594.25,1025.0,2569.25,False,0.6,0.4,0.6,0.0086
0.4+0.6C 10τ,3605.85,3555.85,3555.85,1025.0,2530.85,False,0.6,0.4,0.6,0.00143
0.4+0.6C 5τ,3572.05,3522.05,3522.05,1025.0,2497.05,False,0.6,0.4,0.6,0.00286
0.5+0.5C 1τ,3610.17,3560.17,3560.17,1025.0,2535.17,False,0.6,0.5,0.5,0.0143
0.9+0.1C 1.67τ,3368.24,3318.24,3318.24,1025.0,2293.24,False,0.6,0.9,0.1,0.0086
0.9+0.1C 10τ,3456.97,3406.97,3406.97,1025.0,2381.97,False,0.6,0.9,0.1,0.00143
0.9+0.1C 16.7τ,3309.54,3259.54,3259.54,1025.0,2234.54,False,0.6,0.9,0.1,0.00086
0.9+0.1C 1τ,3412.42,3362.42,3362.42,1025.0,2337.42,False,0.6,0.9,0.1,0.0143
