condition,ablation,alpha,alpha_direction,DC_C,AC_C,f_Hz,Q_mAh,t_DC_min,t_DCAC_min,delta_t_min,Q_window_lo,Q_window_hi,Q_CC_end_DCAC,Q_CC_end_DC,status
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1025.0,123.00000000000001,123.32562002584626,-0.3256200258462485,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1063.9367088607596,127.67240506329114,127.99144356896724,-0.3190385056761045,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1102.873417721519,132.34481012658227,132.65676832377923,-0.31195819719695805,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1141.8101265822784,137.0172151898734,137.3236540068797,-0.3064388170062955,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1180.746835443038,141.68962025316458,141.988649416753,-0.2990291635884148,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1219.6835443037976,146.3620253164557,146.65326378682263,-0.2912384703669204,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1258.620253164557,151.03443037974685,151.31952352657606,-0.2850931468292117,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1297.5569620253164,155.70683544303796,155.9842834516259,-0.27744800858795315,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1336.493670886076,160.37924050632913,160.6502951791773,-0.2710546728481802,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1375.4303797468356,165.05164556962026,165.31803624599723,-0.26639067637697167,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1414.367088607595,169.7240506329114,169.983247447587,-0.2591968146755903,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1453.3037974683543,174.3964556962025,174.64893324908934,-0.2524775528868304,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1492.240506329114,179.0688607594937,179.31545321829708,-0.2465924588033772,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1531.1772151898736,183.74126582278484,183.97982686712047,-0.23856104433562564,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1570.113924050633,188.41367088607595,188.64535189725427,-0.23168101117832407,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1609.0506329113923,193.08607594936709,193.30967976540646,-0.22360381603937185,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1647.987341772152,197.75848101265825,197.97552744138957,-0.2170464287313223,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1686.9240506329115,202.4308860759494,202.6410660704633,-0.2101799945139078,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1725.860759493671,207.10329113924053,207.30633962490143,-0.20304848566090072,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1764.7974683544303,211.7756962025316,211.97223900046828,-0.1965427979366723,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1803.73417721519,216.44810126582283,216.6381753940038,-0.19007412818098146,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1842.6708860759495,221.12050632911397,221.3032606797868,-0.18275435067283752,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1881.607594936709,225.7929113924051,225.96899016671333,-0.17607877430822327,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1920.5443037974683,230.4653164556962,230.6369188268769,-0.17160237118068267,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1959.4810126582279,235.13772151898738,235.30509222751414,-0.16737070852676084,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1998.4177215189875,239.81012658227849,239.9690195616225,-0.15889297934401725,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2037.3544303797469,244.48253164556962,244.63518237438146,-0.15265072881183528,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2076.2911392405063,249.15493670886073,249.30372432998513,-0.14878762112439858,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2115.227848101266,253.82734177215193,253.96871745846494,-0.14137568631301178,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2154.1645569620255,258.4997468354431,258.6359897029368,-0.1362428674937064,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2193.1012658227846,263.17215189873417,263.30329038193224,-0.13113848319807175,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2232.0379746835442,267.8445569620253,267.97252726287354,-0.1279703008482329,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2270.974683544304,272.51696202531645,272.63957877906944,-0.12261675375299319,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2309.9113924050635,277.1893670886076,277.3092390485344,-0.11987195992679744,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2348.848101265823,281.8617721518988,281.9758463885164,-0.1140742366176255,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2387.784810126582,286.53417721518986,286.64132435234563,-0.10714713715577773,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2426.721518987342,291.20658227848105,291.3094196949427,-0.10283741646162525,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2465.6582278481014,295.8789873417722,295.9816193248275,-0.10263198305528931,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2504.5949367088606,300.5513924050632,300.6517103934018,-0.1003179883385883,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2543.53164556962,305.22379746835446,305.32041335333025,-0.09661588497579032,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2582.46835443038,309.89620253164566,309.99126005216846,-0.09505752052280059,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2621.4050632911394,314.56860759493674,314.66572766829023,-0.09712007335349426,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2660.341772151899,319.2410126582279,319.3372261638112,-0.09621350558330732,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2699.278481012658,323.913417721519,324.01311738596127,-0.0996996644422552,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2738.215189873418,328.5858227848101,328.6881972500435,-0.10237446523342442,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2777.1518987341774,333.2582278481013,333.36816083321,-0.10993298510874183,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2816.0886075949365,337.93063291139237,338.046423694528,-0.11579078313565105,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2855.025316455696,342.60303797468356,343.3637825608301,-0.7607445861465294,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2893.9620253164558,347.2754430379747,348.03179935824267,-0.7563563202679688,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2932.8987341772154,351.94784810126583,352.69809118334314,-0.7502430820773043,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,2971.835443037975,356.62025316455697,357.36591918330777,-0.7456660187507964,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,3010.772151898734,361.2926582278481,362.0336041115849,-0.7409458837367993,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,3049.7088607594937,365.96506329113924,366.6990608436161,-0.7339975524768647,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,3088.6455696202534,370.6374683544304,371.36450960211255,-0.7270412476821662,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,3127.5822784810125,375.3098734177216,376.03192361412516,-0.7220501964035861,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,3166.518987341772,379.9822784810127,380.7003137269206,-0.7180352459079131,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,3205.4556962025317,384.6546835443038,385.3676406624381,-0.712957118134284,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,3244.3924050632913,389.327088607595,390.03151939760005,-0.7044307900050626,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,3283.329113924051,393.99949367088607,394.69782296787514,-0.6983292969890726,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,3322.26582278481,398.67189873417726,399.3639370131988,-0.6920382790215172,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,3361.2025316455697,403.3443037974684,404.032243045648,-0.687939248179589,1025.0,4101.0,4771.2928024755465,4918.440540933074,ok
