condition,ablation,alpha,alpha_direction,DC_C,AC_C,f_Hz,Q_mAh,t_DC_min,t_DCAC_min,delta_t_min,Q_window_lo,Q_window_hi,Q_CC_end_DCAC,Q_CC_end_DC,status
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1025.0,123.00000000000001,122.67298078021061,0.3270192197894062,1025.0,4101.0,4764.281317077386,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1063.9367088607596,127.67240506329114,127.33850655067019,0.33389851262094794,1025.0,4101.0,4764.281317077386,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1102.873417721519,132.34481012658227,132.0030517691313,0.3417583574509706,1025.0,4101.0,4764.281317077386,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1141.8101265822784,137.0172151898734,136.66842679962375,0.34878839024966624,1025.0,4101.0,4764.281317077386,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1180.746835443038,141.68962025316458,141.3333408405997,0.3562794125648736,1025.0,4101.0,4764.281317077386,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1219.6835443037976,146.3620253164557,145.99902306500812,0.3630022514475968,1025.0,4101.0,4764.281317077386,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1258.620253164557,151.03443037974685,150.66425743905148,0.3701729406953689,1025.0,4101.0,4764.281317077386,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1297.5569620253164,155.70683544303796,155.32942432226108,0.377411120776884,1025.0,4101.0,4764.281317077386,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1336.493670886076,160.37924050632913,159.99482853212558,0.38441197420354456,1025.0,4101.0,4764.281317077386,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1375.4303797468356,165.05164556962026,164.65983812136474,0.39180744825551983,1025.0,4101.0,4764.281317077386,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1414.367088607595,169.7240506329114,169.32494742493253,0.3991032079788681,1025.0,4101.0,4764.281317077386,4918.440540933074,ok
0.1+0.2C 1τ,baseline_AsymBV_alpha0p5_v2,0.5,baseline,0.1,0.2,0.0143,1453.3037974683543,174.3964556962025,173.9897957376409,0.40665995856161885,1025.0,4101.0,4764.281317077386,4918.440540933074,ok
