condition,ablation,valid_grid_n,valid_grid_total,L2_rel,MARD,sign_concordance,max_abs_dev_min,mard_valid_n,sign_grid_n,baseline_max_abs,baseline_norm,status
0.1+0.2C 1τ,asymBV_alpha_up_v2,80,80,0.3429306298131107,0.45600718954577635,1.0,0.7056290252119766,80,80,0.7607445861465294,4.0880595561827775,ok
0.1+0.2C 1τ,asymBV_alpha_down_v2,80,80,0.5459032796775584,0.9911843960935565,1.0,0.7611084697792876,80,80,0.7607445861465294,4.0880595561827775,ok
0.1+0.9C 1τ,asymBV_alpha_up_v2,80,80,0.45671232982496973,0.2091395187250006,1.0,1.046695565964967,80,80,1.6971504558068204,9.752462911068394,ok
0.1+0.9C 1τ,asymBV_alpha_down_v2,80,80,0.39173429460014947,0.27256729568348864,1.0,1.0488462775677476,80,80,1.6971504558068204,9.752462911068394,ok
0.2+0.3C 10τ,asymBV_alpha_up_v2,80,80,0.002637578927866562,0.005599771199131105,1.0,0.027527649264186493,77,80,5.444718227308044,30.456759123321078,ok
0.2+0.3C 10τ,asymBV_alpha_down_v2,80,80,0.00415844123166342,0.010344477548011722,1.0,0.04127728424776933,77,80,5.444718227308044,30.456759123321078,ok
0.2+0.3C 1τ,asymBV_alpha_up_v2,80,80,0.1388407473905926,0.081587759680005,1.0,0.5251215285806268,80,80,0.6552523705056785,3.80647043514047,ok
0.2+0.3C 1τ,asymBV_alpha_down_v2,80,80,0.2469017122669341,0.2029084320399217,1.0,0.5474596478932768,80,80,0.6552523705056785,3.80647043514047,ok
0.2+0.3C 34.8τ,asymBV_alpha_up_v2,80,80,0.0014042877852121348,0.0014137541102757396,1.0,0.05439167109010161,67,80,19.06448871035255,93.20822560134712,ok
0.2+0.3C 34.8τ,asymBV_alpha_down_v2,80,80,0.0027232638264743938,0.0034766023690257454,1.0,0.127588489696592,67,80,19.06448871035255,93.20822560134712,ok
0.2+0.8C 0.1τ,asymBV_alpha_up_v2,80,80,0.2690664369511557,0.2476526335848397,1.0,0.12230789515311358,80,80,0.5459878216513516,3.2452620849232963,ok
0.2+0.8C 0.1τ,asymBV_alpha_down_v2,80,80,0.3422026070060669,0.30016194846640404,1.0,0.22144609755085298,80,80,0.5459878216513516,3.2452620849232963,ok
0.2+0.8C 10τ,asymBV_alpha_up_v2,80,80,0.1948741772291657,0.02442180687728558,1.0,8.147076235120451,74,80,8.330128053397857,41.82980762944403,ok
0.2+0.8C 10τ,asymBV_alpha_down_v2,80,80,0.19317598661582644,0.02118258038615418,1.0,8.078195577578768,74,80,8.330128053397857,41.82980762944403,ok
0.2+0.8C 1τ,asymBV_alpha_up_v2,80,80,0.21658344512446925,0.06789769468272364,1.0,0.8621686197171388,80,80,1.045566508940453,5.672119618663789,ok
0.2+0.8C 1τ,asymBV_alpha_down_v2,80,80,0.20253228055043698,0.09099074995832451,1.0,0.8157071290415556,80,80,1.045566508940453,5.672119618663789,ok
0.3+0.4C 0.1τ,asymBV_alpha_up_v2,80,80,0.2077299569992903,0.1171098263467141,1.0,0.0863446937870549,80,80,0.2786277278915179,1.6355213860605167,ok
0.3+0.4C 0.1τ,asymBV_alpha_down_v2,80,80,0.2061301532927418,0.14489451953324478,1.0,0.0874118971621271,80,80,0.2786277278915179,1.6355213860605167,ok
0.3+0.4C 10τ,asymBV_alpha_up_v2,80,80,0.007860238233661651,0.011852613132089712,1.0,0.1515741700064553,69,80,4.950305866535189,25.53754741961377,ok
0.3+0.4C 10τ,asymBV_alpha_down_v2,80,80,0.004763161391622181,0.007078774896966514,1.0,0.0406393878408266,69,80,4.950305866535189,25.53754741961377,ok
0.3+0.4C 1τ,asymBV_alpha_up_v2,80,80,0.15098656699220162,0.09301522688802555,1.0,0.4654224447924804,80,80,0.5657860215379173,3.1236804357909853,ok
0.3+0.4C 1τ,asymBV_alpha_down_v2,80,80,0.2240389403663512,0.1660270111970501,1.0,0.501926369553189,80,80,0.5657860215379173,3.1236804357909853,ok
0.3+0.7C 0.1τ,asymBV_alpha_up_v2,80,80,0.23146810363068043,0.15685801674203334,1.0,0.09904124102902762,80,80,0.3552344082768286,2.044656957275195,ok
0.3+0.7C 0.1τ,asymBV_alpha_down_v2,80,80,0.14607201921666188,0.10783546212049606,1.0,0.08419462120890839,80,80,0.3552344082768286,2.044656957275195,ok
0.3+0.7C 10τ,asymBV_alpha_up_v2,79,80,0.0021451090286909004,0.0021255391827643467,1.0,0.043141487853759486,68,79,7.038756444424877,34.09285644742897,ok
0.3+0.7C 10τ,asymBV_alpha_down_v2,80,80,0.0020360925304981274,0.0018804767144235698,1.0,0.044995284396648516,69,80,7.038756444424877,34.5434293295162,ok
0.3+0.7C 1τ,asymBV_alpha_up_v2,80,80,0.011728793043017155,0.01639262658100006,1.0,0.017758696068256086,80,80,0.8378488713301095,4.327123721272487,ok
0.3+0.7C 1τ,asymBV_alpha_down_v2,80,80,0.008006689533948012,0.012281092132060401,1.0,0.01339855646622111,80,80,0.8378488713301095,4.327123721272487,ok
0.4+0.5C 1.67τ,asymBV_alpha_up_v2,80,80,0.1639439000113839,0.1359686808948191,1.0,0.6743823812563718,72,80,0.8003373373241658,4.166773950633403,ok
0.4+0.5C 1.67τ,asymBV_alpha_down_v2,80,80,0.165425824899991,0.14674697874145087,1.0,0.6768051244509081,72,80,0.8003373373241658,4.166773950633403,ok
0.4+0.6C 0.5τ,asymBV_alpha_up_v2,80,80,0.011287119598366509,0.01151826731855483,1.0,0.008184435128242698,80,80,0.415556070147943,2.1673225541667693,ok
0.4+0.6C 0.5τ,asymBV_alpha_down_v2,80,80,0.19766976273566786,0.07347156684036353,1.0,0.3051068454300463,80,80,0.415556070147943,2.1673225541667693,ok
0.4+0.6C 1.67τ,asymBV_alpha_up_v2,80,80,0.18476968628807533,0.1808970971369685,1.0,0.8766267940066116,67,80,0.9481008552513116,4.75531311124267,ok
0.4+0.6C 1.67τ,asymBV_alpha_down_v2,80,80,0.1848816096441542,0.18518794458202667,1.0,0.876258453437771,67,80,0.9481008552513116,4.75531311124267,ok
