condition,ablation,L2_rel,MARD,sign_concordance,max_abs_dev_min,baseline_max_abs,baseline_geq_5min,abs_threshold,category,high_dev_count,n_runs,max_run_len,coverage_frac
0.1+0.2C 1τ,asymBV_alpha_up_v2,0.3429306298131107,0.4560071895457763,1.0,0.7056290252119766,0.7607445861465294,False,0.038037229307326476,plateau_mismatch,14,1,14,0.175
0.1+0.2C 1τ,asymBV_alpha_down_v2,0.5459032796775584,0.9911843960935564,1.0,0.7611084697792876,0.7607445861465294,False,0.038037229307326476,distributed_deviation,44,1,44,0.55
0.1+0.9C 1τ,asymBV_alpha_up_v2,0.4567123298249697,0.2091395187250006,1.0,1.046695565964967,1.6971504558068204,False,0.08485752279034103,mixed,20,20,1,0.25
0.1+0.9C 1τ,asymBV_alpha_down_v2,0.3917342946001494,0.2725672956834886,1.0,1.0488462775677476,1.6971504558068204,False,0.08485752279034103,mixed,15,15,1,0.1875
0.2+0.3C 10τ,asymBV_alpha_up_v2,0.0026375789278665,0.0055997711991311,1.0,0.0275276492641864,5.444718227308044,True,0.2722359113654022,near_zero_only,0,0,0,0.0
0.2+0.3C 10τ,asymBV_alpha_down_v2,0.0041584412316634,0.0103444775480117,1.0,0.0412772842477693,5.444718227308044,True,0.2722359113654022,near_zero_only,0,0,0,0.0
0.2+0.3C 1τ,asymBV_alpha_up_v2,0.1388407473905926,0.081587759680005,1.0,0.5251215285806268,0.6552523705056785,False,0.03276261852528393,isolated_branch_jump,1,1,1,0.0125
0.2+0.3C 1τ,asymBV_alpha_down_v2,0.2469017122669341,0.2029084320399217,1.0,0.5474596478932768,0.6552523705056785,False,0.03276261852528393,plateau_mismatch,3,1,3,0.0375
0.2+0.3C 34.8τ,asymBV_alpha_up_v2,0.0014042877852121,0.0014137541102757,1.0,0.0543916710901016,19.06448871035255,True,0.9532244355176275,near_zero_only,0,0,0,0.0
0.2+0.3C 34.8τ,asymBV_alpha_down_v2,0.0027232638264743,0.0034766023690257,1.0,0.127588489696592,19.06448871035255,True,0.9532244355176275,near_zero_only,0,0,0,0.0
0.2+0.8C 0.1τ,asymBV_alpha_up_v2,0.2690664369511557,0.2476526335848397,1.0,0.1223078951531135,0.5459878216513516,False,0.027299391082567584,distributed_deviation,61,15,29,0.7625
0.2+0.8C 0.1τ,asymBV_alpha_down_v2,0.3422026070060669,0.300161948466404,1.0,0.2214460975508529,0.5459878216513516,False,0.027299391082567584,distributed_deviation,62,13,44,0.775
0.2+0.8C 10τ,asymBV_alpha_up_v2,0.1948741772291657,0.0244218068772855,1.0,8.147076235120451,8.330128053397857,True,0.41650640266989286,isolated_branch_jump,1,1,1,0.0125
0.2+0.8C 10τ,asymBV_alpha_down_v2,0.1931759866158264,0.0211825803861541,1.0,8.078195577578768,8.330128053397857,True,0.41650640266989286,isolated_branch_jump,1,1,1,0.0125
0.2+0.8C 1τ,asymBV_alpha_up_v2,0.2165834451244692,0.0678976946827236,1.0,0.8621686197171388,1.045566508940453,False,0.052278325447022655,mixed,5,5,1,0.0625
0.2+0.8C 1τ,asymBV_alpha_down_v2,0.2025322805504369,0.0909907499583245,1.0,0.8157071290415556,1.045566508940453,False,0.052278325447022655,isolated_branch_jump,2,2,1,0.025
0.3+0.4C 0.1τ,asymBV_alpha_up_v2,0.2077299569992903,0.1171098263467141,1.0,0.0863446937870549,0.2786277278915179,False,0.013931386394575897,plateau_mismatch,38,6,32,0.475
0.3+0.4C 0.1τ,asymBV_alpha_down_v2,0.2061301532927418,0.1448945195332447,1.0,0.0874118971621271,0.2786277278915179,False,0.013931386394575897,distributed_deviation,45,10,34,0.5625
0.3+0.4C 10τ,asymBV_alpha_up_v2,0.0078602382336616,0.0118526131320897,1.0,0.1515741700064553,4.950305866535189,False,0.24751529332675945,near_zero_only,0,0,0,0.0
0.3+0.4C 10τ,asymBV_alpha_down_v2,0.0047631613916221,0.0070787748969665,1.0,0.0406393878408266,4.950305866535189,False,0.24751529332675945,near_zero_only,0,0,0,0.0
0.3+0.4C 1τ,asymBV_alpha_up_v2,0.1509865669922016,0.0930152268880255,1.0,0.4654224447924804,0.5657860215379173,False,0.028289301076895867,isolated_branch_jump,2,2,1,0.025
0.3+0.4C 1τ,asymBV_alpha_down_v2,0.2240389403663512,0.1660270111970501,1.0,0.501926369553189,0.5657860215379173,False,0.028289301076895867,mixed,4,4,1,0.05
0.3+0.7C 0.1τ,asymBV_alpha_up_v2,0.2314681036306804,0.1568580167420333,1.0,0.0990412410290276,0.3552344082768286,False,0.01776172041384143,plateau_mismatch,33,10,13,0.4125
0.3+0.7C 0.1τ,asymBV_alpha_down_v2,0.1460720192166618,0.107835462120496,1.0,0.0841946212089083,0.3552344082768286,False,0.01776172041384143,mixed,13,11,2,0.1625
0.3+0.7C 10τ,asymBV_alpha_up_v2,0.0021451090286909,0.0021255391827643,1.0,0.0431414878537594,7.038756444424877,True,0.35193782222124387,near_zero_only,0,0,0,0.0
0.3+0.7C 10τ,asymBV_alpha_down_v2,0.0020360925304981,0.0018804767144235,1.0,0.0449952843966485,7.038756444424877,True,0.35193782222124387,near_zero_only,0,0,0,0.0
0.3+0.7C 1τ,asymBV_alpha_up_v2,0.0117287930430171,0.016392626581,1.0,0.017758696068256,0.8378488713301095,False,0.04189244356650548,near_zero_only,0,0,0,0.0
0.3+0.7C 1τ,asymBV_alpha_down_v2,0.008006689533948,0.0122810921320604,1.0,0.0133985564662211,0.8378488713301095,False,0.04189244356650548,near_zero_only,0,0,0,0.0
0.4+0.5C 1.67τ,asymBV_alpha_up_v2,0.1639439000113839,0.1359686808948191,1.0,0.6743823812563718,0.8003373373241658,False,0.04001686686620829,isolated_branch_jump,2,2,1,0.025
0.4+0.5C 1.67τ,asymBV_alpha_down_v2,0.165425824899991,0.1467469787414508,1.0,0.6768051244509081,0.8003373373241658,False,0.04001686686620829,isolated_branch_jump,3,3,1,0.0375
0.4+0.6C 0.5τ,asymBV_alpha_up_v2,0.0112871195983665,0.0115182673185548,1.0,0.0081844351282426,0.415556070147943,False,0.02077780350739715,near_zero_only,0,0,0,0.0
0.4+0.6C 0.5τ,asymBV_alpha_down_v2,0.1976697627356678,0.0734715668403635,1.0,0.3051068454300463,0.415556070147943,False,0.02077780350739715,mixed,8,8,1,0.1
0.4+0.6C 1.67τ,asymBV_alpha_up_v2,0.1847696862880753,0.1808970971369685,1.0,0.8766267940066116,0.9481008552513116,False,0.04740504276256558,isolated_branch_jump,1,1,1,0.0125
0.4+0.6C 1.67τ,asymBV_alpha_down_v2,0.1848816096441542,0.1851879445820266,1.0,0.876258453437771,0.9481008552513116,False,0.04740504276256558,isolated_branch_jump,1,1,1,0.0125
0.4+0.6C 10τ,asymBV_alpha_up_v2,0.0028795785897178,0.0049099552836856,1.0,0.0571244590312502,5.468582839733656,True,0.27342914198668283,near_zero_only,0,0,0,0.0
0.4+0.6C 10τ,asymBV_alpha_down_v2,0.0041838749630713,0.0064996473820871,1.0,0.0642246847365299,5.468582839733656,True,0.27342914198668283,near_zero_only,0,0,0,0.0
0.4+0.6C 5τ,asymBV_alpha_up_v2,0.0069918645939365,0.0109577105319246,1.0,0.0402118516092571,2.7512519923251375,False,0.1375625996162569,near_zero_only,0,0,0,0.0
0.4+0.6C 5τ,asymBV_alpha_down_v2,0.0033172887741491,0.0041424614018589,1.0,0.0251094638984099,2.7512519923251375,False,0.1375625996162569,near_zero_only,0,0,0,0.0
0.5+0.5C 1τ,asymBV_alpha_up_v2,0.0691311707477702,0.0544084562278232,1.0,0.1059154032757589,0.4030020660578515,False,0.020150103302892575,isolated_branch_jump,2,2,1,0.025
0.5+0.5C 1τ,asymBV_alpha_down_v2,0.0769471844014786,0.0694991569253358,1.0,0.1261926854842308,0.4030020660578515,False,0.020150103302892575,mixed,4,4,1,0.05
0.9+0.1C 1.67τ,asymBV_alpha_up_v2,0.0112405045245249,0.0096704127739902,1.0,0.0019922792804223,0.0676118261601086,False,0.01,near_zero_only,0,0,0,0.0
0.9+0.1C 1.67τ,asymBV_alpha_down_v2,0.0105446455795787,0.0100921825467137,1.0,0.0015840620972688,0.0676118261601086,False,0.01,near_zero_only,0,0,0,0.0
0.9+0.1C 10τ,asymBV_alpha_up_v2,0.0110298408376784,0.0131350049612148,1.0,0.007396479293689,0.4106072075832152,False,0.02053036037916076,near_zero_only,0,0,0,0.0
0.9+0.1C 10τ,asymBV_alpha_down_v2,0.0093673611595829,0.0111844856273651,1.0,0.0057515006690601,0.4106072075832152,False,0.02053036037916076,near_zero_only,0,0,0,0.0
0.9+0.1C 16.7τ,asymBV_alpha_up_v2,0.0025030384057007,0.0042149482103096,1.0,0.0026116602582532,0.68384042563153,False,0.0341920212815765,near_zero_only,0,0,0,0.0
0.9+0.1C 16.7τ,asymBV_alpha_down_v2,0.0020360896127358,0.0032055477111867,1.0,0.0022086285556319,0.68384042563153,False,0.0341920212815765,near_zero_only,0,0,0,0.0
0.9+0.1C 1τ,asymBV_alpha_up_v2,0.0133689929965175,0.0176427935380603,0.975,0.0008808316190709,0.0411023622073685,False,0.01,near_zero_only,0,0,0,0.0
0.9+0.1C 1τ,asymBV_alpha_down_v2,0.0243909984637195,0.0499974951179524,1.0,0.0015949161308234,0.0411023622073685,False,0.01,near_zero_only,0,0,0,0.0
