condition,label,DC_C,AC_C,f_Hz,V_init_charge,V_end_charge,Q_CC_end_mAh,t_charge_duration_s,t_charge_start_abs,wall_s,status_orig,status
0.2+0.3C 34.8τ,baseline-init_DCAC,0.2,0.3,0.000412,2.820632634460018,4.2,4332.765495872945,16300.017244074375,1.0,0.45894885063171387,ok,ok
0.2+0.3C 34.8τ,baseline-init_DC,0.2,0.3,0.000412,2.820632634460018,4.2,4780.174923075847,17208.62972307305,1.0,0.4871091842651367,ok,ok
0.2+0.3C 34.8τ,physical-init_DCAC,0.2,0.3,0.000412,2.5124328535162204,4.2000000000000135,4391.5893465313975,16385.199863395304,8119.57236450727,0.4620640277862549,ok,invalid:V_min=2.357V_breached_2.5V
0.2+0.3C 34.8τ,physical-init_DC,0.2,0.3,0.000412,2.5124328535162204,4.2,4864.539596156628,17512.34254616386,8119.57236450727,0.42850589752197266,ok,ok
0.3+0.7C 10τ,baseline-init_DCAC,0.3,0.7,0.00143,2.820632634460018,4.200000000000009,3649.446939262072,8947.544127834073,1.0,0.5782849788665771,ok,invalid:V_min=2.327V_breached_2.5V
0.3+0.7C 10τ,baseline-init_DC,0.3,0.7,0.00143,2.820632634460018,4.20000000000001,4642.914307917309,11142.994339001541,1.0,0.4213109016418457,ok,ok
0.3+0.7C 10τ,physical-init_DCAC,0.3,0.7,0.00143,2.5124328535162204,4.199999999999999,3844.231037077767,9575.525804833289,8119.57236450727,0.7699780464172363,ok,invalid:V_min=1.708V_breached_2.5V
0.3+0.7C 10τ,physical-init_DC,0.3,0.7,0.00143,2.5124328535162204,4.2,4727.268610037936,11345.444664091048,8119.57236450727,0.4155910015106201,ok,ok
0.2+0.8C 10τ,baseline-init_DCAC,0.2,0.8,0.00143,2.820632634460018,4.2,3710.193346232898,13809.049194869996,1.0,0.7044308185577393,ok,invalid:V_min=1.708V_breached_2.5V
0.2+0.8C 10τ,baseline-init_DC,0.2,0.8,0.00143,2.820632634460018,4.2,4780.174923075847,17208.62972307305,1.0,0.4215390682220459,ok,ok
0.2+0.8C 10τ,physical-init_DCAC,0.2,0.8,0.00143,2.5124328535162204,1.499999999999993,-64.95173497237757,162.6553199214777,8119.57236450727,0.4018712043762207,ok,invalid:V_end=1.500V_no_Vmax_cutoff
0.2+0.8C 10τ,physical-init_DC,0.2,0.8,0.00143,2.5124328535162204,4.2,4864.539596156628,17512.34254616386,8119.57236450727,0.5653500556945801,ok,ok
