condition,DC_C,AC_C,f_Hz,V_min_charge,V_end,Q_CC_end,t_total_s,t_below_2p5_s,t_below_2p0_s,frac_below_2p5,termination_status,low_voltage_class
0.1+0.9C 1τ,0.1,0.9,0.0143,2.4672932000003267,4.200000000000428,4056.828322895045,29355.059999101803,10.670475875726783,0.0,0.0003634969874377118,V_max,transient_low_voltage
0.1+0.2C 1τ,0.1,0.2,0.0143,2.769996588377103,4.20000000000033,4771.7982431775035,34387.599875118394,0.0,0.0,0.0,V_max,clean
0.2+0.3C 1τ,0.2,0.3,0.0143,2.776235408069404,4.200000000000001,4533.268051884155,16344.911680703104,0.0,0.0,0.0,V_max,clean
0.2+0.3C 10τ,0.2,0.3,0.00143,2.754559372443315,4.200000000000024,4365.138355818447,15898.14502651651,0.0,0.0,0.0,V_max,clean
0.2+0.3C 34.8τ,0.2,0.3,0.000412,2.7224939808028044,4.2,4332.765495872945,16300.017244074375,0.0,0.0,0.0,V_max,clean
0.2+0.8C 0.1τ,0.2,0.8,0.143,2.6642449515738322,4.200000000001335,4054.7495966771385,14634.524341383754,0.0,0.0,0.0,V_max,clean
0.2+0.8C 1τ,0.2,0.8,0.0143,2.5592088978209855,4.200000000000181,3981.6604069677123,14389.66794516457,0.0,0.0,0.0,V_max,clean
0.2+0.8C 10τ,0.2,0.8,0.00143,1.7084319747544654,4.2,3710.193346232898,13809.049194869996,279.6234022137433,140.029299317295,0.020249287135396855,V_max,severe_low_voltage
0.3+0.7C 0.1τ,0.3,0.7,0.143,2.703152940747463,4.2000000000007836,3970.149927167423,9550.59401734639,0.0,0.0,0.0,V_max,clean
0.3+0.7C 1τ,0.3,0.7,0.0143,2.648010280436254,4.200000000000001,3912.4312421035734,9423.507521102214,0.0,0.0,0.0,V_max,clean
0.3+0.7C 10τ,0.3,0.7,0.00143,2.3271483158918485,4.200000000000009,3649.446939262072,8947.544127834073,147.14450644947476,0.0,0.016445239536929106,V_max,transient_low_voltage
0.3+0.4C 0.1τ,0.3,0.4,0.143,2.7842810711770154,4.2,4156.462329781138,9991.239291337017,0.0,0.0,0.0,V_max,clean
0.3+0.4C 1τ,0.3,0.4,0.0143,2.7824097569825765,4.200000000000002,4120.813526025976,9912.163951093604,0.0,0.0,0.0,V_max,clean
0.3+0.4C 10τ,0.3,0.4,0.00143,2.7839492714143352,4.2,3944.740136384566,9614.677863585033,0.0,0.0,0.0,V_max,clean
0.4+0.6C 0.5τ,0.4,0.6,0.0286,2.7457877664904435,4.200000000000002,3872.4425690527455,6984.828959201567,0.0,0.0,0.0,V_max,clean
0.4+0.5C 1.67τ,0.4,0.5,0.0086,2.7895327369518697,4.20000000000001,3850.936390456859,6952.464744165775,0.0,0.0,0.0,V_max,clean
0.4+0.6C 1.67τ,0.4,0.6,0.0086,2.733104815072733,4.199999999999999,3837.6973910774773,6944.123472986006,0.0,0.0,0.0,V_max,clean
0.4+0.6C 5τ,0.4,0.6,0.00286,2.7117170859639845,4.200000000000005,3764.451643731097,6887.310691617236,0.0,0.0,0.0,V_max,clean
0.4+0.6C 10τ,0.4,0.6,0.00143,2.6920167364079384,4.200000000000008,3665.195109646213,6797.1385154996005,0.0,0.0,0.0,V_max,clean
0.5+0.5C 1τ,0.5,0.5,0.0143,2.820632634460018,4.2000000000000135,3770.5366434219595,5440.05515192211,0.0,0.0,0.0,V_max,clean
0.9+0.1C 16.7τ,0.9,0.1,0.00086,2.820632634460018,4.200000000000001,3630.4751503794687,2944.9107672937403,0.0,0.0,0.0,V_max,clean
0.9+0.1C 1.67τ,0.9,0.1,0.0086,2.820632634460018,4.200000000000002,3585.9303629759615,2871.3983618251227,0.0,0.0,0.0,V_max,clean
0.9+0.1C 10τ,0.9,0.1,0.00143,2.820632634460018,4.200000000000005,3739.622030393955,3008.195840074738,0.0,0.0,0.0,V_max,clean
0.9+0.1C 1τ,0.9,0.1,0.0143,2.820632634460018,4.200000000000001,3629.8938224226777,2906.3501603650416,0.0,0.0,0.0,V_max,clean
