param_set,V_min_spec,V_max_spec,nominal_capacity_Ah,metadata_load_error,docstring_excerpt,A1_DFN_native_status,A1_DFN_native_V_init,A1_DFN_native_error,A1_time_s,A2_DFN_set_soc_0p05_status,A2_DFN_set_soc_0p05_V_init,A2_DFN_set_soc_0p05_error,A2_time_s,A3_SPMe_native_status,A3_SPMe_native_V_init,A3_SPMe_native_error,A3_time_s
Ai2020,3.0,4.2,2.28,,"Parameters for the Enertech cell (Ai2020), from the papers :footcite:t:`Ai2019`, :footcite:t:`Rieger2016` and references therein.",ok,4.184373709330853,,0.31,ok,3.545585042759921,,0.33,ok,4.184373709330853,,0.15
Chayambuka2022,2.0,4.2,0.003,,"Parameters for a sodium-ion cell, from the paper :footcite:t:`Chayambuka2022` and references therein. The specific parameter values are taken from the COMSOL implementation presented in [this example]",fail,,"KeyError: ""Parameter 'Negative current collector thickness [m]' not found. 'Negative current collector thickness [m]' not found. Best matches are ['Negative electrode thickness [m]', 'Positive electrode thickne",0.03,fail,,"KeyError: ""Parameter 'Negative current collector thickness [m]' not found. 'Negative current collector thickness [m]' not found. Best matches are ['Negative electrode thickness [m]', 'Positive electrode thickne",0.06,fail,,"KeyError: ""Parameter 'Negative current collector thickness [m]' not found. 'Negative current collector thickness [m]' not found. Best matches are ['Negative electrode thickness [m]', 'Positive electrode thickne",0.02
Chen2020,2.5,4.2,5.0,,"Parameters for an LG M50 cell, from the paper :footcite:t:`Chen2020` and references therein.",ok,4.1809414253015404,,0.21,ok,3.1094459521212743,,0.24,ok,4.18094142530154,,0.13
Chen2020_composite,2.5,4.2,5.0,,"Parameters for a composite graphite/silicon negative electrode, from the paper :footcite:t:`Ai2022`, based on the paper :footcite:t:`Chen2020`, and references therein.",fail,,"KeyError: ""Parameter 'Maximum concentration in negative electrode [mol.m-3]' not found. 'Maximum concentration in negative electrode [mol.m-3]' not found. If you are using a composite model, you may need to use",0.02,fail,,"KeyError: ""Parameter 'Negative electrode OCP [V]' not found. 'Negative electrode OCP [V]' not found. If you are using a composite model, you may need to use Primary: Negative electrode OCP [V] instead. Otherwis",0.01,fail,,"KeyError: ""Parameter 'Maximum concentration in negative electrode [mol.m-3]' not found. 'Maximum concentration in negative electrode [mol.m-3]' not found. If you are using a composite model, you may need to use",0.02
ECM_Example,3.2,4.2,100.0,,Example parameter set for a equivalent circuit model with a resistor in series with a single RC element.,fail,,"KeyError: ""Parameter 'Maximum concentration in negative electrode [mol.m-3]' not found. 'Maximum concentration in negative electrode [mol.m-3]' not found. Best matches are []""",0.02,fail,,"KeyError: ""Parameter 'Maximum concentration in negative electrode [mol.m-3]' not found. 'Maximum concentration in negative electrode [mol.m-3]' not found. Best matches are []""",0.02,fail,,"KeyError: ""Parameter 'Maximum concentration in negative electrode [mol.m-3]' not found. 'Maximum concentration in negative electrode [mol.m-3]' not found. Best matches are []""",0.02
Ecker2015,2.5,4.2,0.15625,,"Parameters for a Kokam SLPB 75106100 cell, from the papers :footcite:t:`Ecker2015i` and :footcite:t:`Ecker2015ii`",ok,4.153072772113049,,0.25,ok,3.293797783980473,,0.33,ok,4.153072772113049,,0.1
Ecker2015_graphite_halfcell,0.0,1.5,0.15625,,"Parameters for a graphite half-cell based on a Kokam SLPB 75106100 cell, from papers",fail,,"KeyError: ""Parameter 'Maximum concentration in negative electrode [mol.m-3]' not found. 'Maximum concentration in negative electrode [mol.m-3]' not found. Best matches are ['Maximum concentration in positive el",0.02,fail,,"KeyError: ""Parameter 'Negative electrode active material volume fraction' not found. 'Negative electrode active material volume fraction' not found. Best matches are ['Positive electrode active material volume ",0.01,fail,,"KeyError: ""Parameter 'Maximum concentration in negative electrode [mol.m-3]' not found. 'Maximum concentration in negative electrode [mol.m-3]' not found. Best matches are ['Maximum concentration in positive el",0.02
MSMR_Example,2.8,4.2,5.0,,"Example parameter values for use with MSMR models. The thermodynamic parameters are for Graphite and NMC622, and are taken from Table 1 of the paper",fail,,"KeyError: ""Parameter 'Negative electrode exchange-current density [A.m-2]' not found. 'Negative electrode exchange-current density [A.m-2]' not found. Best matches are ['Negative electrode host site reference e",0.02,fail,,"KeyError: ""Parameter 'Positive electrode OCP [V]' not found. 'Positive electrode OCP [V]' not found. Best matches are ['Positive electrode thickness [m]', 'Positive electrode OCP entropic change [V.K-1]', 'Posi",0.0,fail,,"KeyError: ""Parameter 'Negative current collector thickness [m]' not found. 'Negative current collector thickness [m]' not found. Best matches are ['Negative electrode thickness [m]', 'Positive electrode thickne",0.03
Marquis2019,3.105,4.1,0.680616,,"Parameters for a Kokam SLPB78205130H cell, from the paper :footcite:t:`Marquis2019` and references therein.",ok,3.8519142680292946,,0.33,ok,3.6180905736058566,,0.34,ok,3.851914268029294,,0.1
Mohtat2020,2.8,4.2,5.0,,Parameters for a graphite/NMC532 pouch cell from the paper :footcite:t:`Mohtat2020` and references therein.,ok,2.8316488173945493,,0.26,ok,3.4755970344423703,,0.37,ok,2.8316488173945613,,0.09
