param_set,chem_tag,condition,DC_C,AC_C,tau_label,f_Hz,Q_nom_Ah,I_DC_A,I_AC_A,Vmin_cutoff_V,Vmax_cutoff_V,t_max_horizon_s,V_init_charge,V_headroom_init,V_min_charge,V_max_charge,V_below_Vmin_fraction,Q_CC_end_Ah,t_charge_s,termination_raw,termination_class,low_voltage_class,feasibility_verdict,solve_status,error_msg,sim_wall_time_s
Ai2020,Enertech LCO/graphite,DC_0p2C,0.2,0.0,0.0,0.0,2.28,0.45599999999999996,0.0,3.0,4.2,45000.0,3.5862025296040754,0.5862025296040754,3.5862025296040754,4.200000000000016,0.0,2.289954864573282,18078.591036104855,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.56
Ai2020,Enertech LCO/graphite,DC_0p5C,0.5,0.0,0.0,0.0,2.28,1.14,0.0,3.0,4.2,18000.0,3.636412355119214,0.636412355119214,3.636412355119214,4.200000000000001,0.0,2.1935470024903028,6926.990534179906,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.37
Ai2020,Enertech LCO/graphite,DC0p2_AC0p5_1tau,0.2,0.5,1.0,0.014338283161432014,2.28,0.45599999999999996,1.14,3.0,4.2,45000.0,3.586202529570297,0.5862025295702971,3.4742352900077,4.200000000000225,0.0,2.1655684506394928,17137.55098764225,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,1.6
Ai2020,Enertech LCO/graphite,DC0p2_AC0p5_10tau,0.2,0.5,10.0,0.0014338283161432013,2.28,0.45599999999999996,1.14,3.0,4.2,45000.0,3.586202529570297,0.5862025295702971,3.4217286870985726,4.200000000000001,0.0,2.147989181341387,17252.343593060185,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.55
Ai2020,Enertech LCO/graphite,DC0p2_AC1p0_1tau,0.2,1.0,1.0,0.014338283161432014,2.28,0.45599999999999996,2.28,3.0,4.2,45000.0,3.586202529570297,0.5862025295702971,3.3711646816698986,4.199999999999999,0.0,2.0627512088140953,16371.276351640685,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,2.86
Ai2020,Enertech LCO/graphite,DC0p2_AC1p0_10tau,0.2,1.0,10.0,0.0014338283161432013,2.28,0.45599999999999996,2.28,3.0,4.2,45000.0,3.586202529570297,0.5862025295702971,3.040470238795714,4.2,0.0,2.020422680115188,16555.14804402362,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.6
Chen2020,LG M50 lineage,DC_0p2C,0.2,0.0,0.0,0.0,5.0,1.0,0.0,2.5,4.2,45000.0,3.1660492830515095,0.6660492830515095,3.1660492830515095,4.200000000000012,0.0,4.609472937628645,16594.102575463123,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.37
Chen2020,LG M50 lineage,DC_0p5C,0.5,0.0,0.0,0.0,5.0,2.5,0.0,2.5,4.2,18000.0,3.2189444529204754,0.7189444529204754,3.2189444529204754,4.200000000000001,0.0,4.142774797643901,5965.595708607218,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.44
Chen2020,LG M50 lineage,DC0p2_AC0p5_1tau,0.2,0.5,1.0,0.014338283161432014,5.0,1.0,2.5,2.5,4.2,45000.0,3.1660492830515095,0.6660492830515095,3.0133608721131164,4.200000000000001,0.0,4.031156593780525,14558.735591677247,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,2.65
Chen2020,LG M50 lineage,DC0p2_AC0p5_10tau,0.2,0.5,10.0,0.0014338283161432013,5.0,1.0,2.5,2.5,4.2,45000.0,3.1660492830515095,0.6660492830515095,2.935427175149962,4.200000000000028,0.0,3.900601214089115,14428.126201311043,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.42
Chen2020,LG M50 lineage,DC0p2_AC1p0_1tau,0.2,1.0,1.0,0.014338283161432014,5.0,1.0,5.0,2.5,4.2,45000.0,3.1660492830515095,0.6660492830515095,2.8961225386464307,4.200000000000167,0.0,3.7176579141506885,13445.407748622676,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,4.03
Chen2020,LG M50 lineage,DC0p2_AC1p0_10tau,0.2,1.0,10.0,0.0014338283161432013,5.0,1.0,5.0,2.5,4.2,45000.0,3.1660492830515095,0.6660492830515095,2.499999999999999,3.1664527533636155,0.03301956709850472,-0.13912536283340615,205.00969785922481,event: Minimum voltage [V],Vmin_event,severe_low_voltage,infeasible_Vmin_event,ok,,0.27
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC_0p2C,0.2,0.0,0.0,0.0,0.15625,0.03125,0.0,2.5,4.2,45000.0,3.311456215501024,0.8114562155010239,3.311456215501024,4.199999999999999,0.0,0.16035062080073204,18472.39151624433,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.34
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC_0p5C,0.5,0.0,0.0,0.0,0.15625,0.078125,0.0,2.5,4.2,18000.0,3.337078022512841,0.8370780225128409,3.337078022512841,4.200000000000019,0.0,0.15410141406105898,7100.993159933598,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.47
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC0p2_AC0p5_1tau,0.2,0.5,1.0,0.014338283161432014,0.15625,0.03125,0.078125,2.5,4.2,45000.0,3.311456215501024,0.8114562155010239,3.2559363351656394,4.200000000000002,0.0,0.15630242116957,18043.257521199477,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.8
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC0p2_AC0p5_10tau,0.2,0.5,10.0,0.0014338283161432013,0.15625,0.03125,0.078125,2.5,4.2,45000.0,3.311456215501024,0.8114562155010239,3.1981372365720224,4.200000000000095,0.0,0.15710859885556286,18571.615143350537,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.43
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC0p2_AC1p0_1tau,0.2,1.0,1.0,0.014338283161432014,0.15625,0.03125,0.15625,2.5,4.2,45000.0,3.311456215501024,0.8114562155010239,3.1870170310093746,4.200000000000033,0.0,0.15238777813443566,17625.65976062306,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,1.05
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC0p2_AC1p0_10tau,0.2,1.0,10.0,0.0014338283161432013,0.15625,0.03125,0.15625,2.5,4.2,45000.0,3.311456215501024,0.8114562155010239,2.8454754805036595,4.200000000000001,0.0,0.15030449261701595,17945.37183386173,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.53
Marquis2019,Kokam-Marquis LCO/graphite,DC_0p2C,0.2,0.0,0.0,0.0,0.680616,0.1361232,0.0,3.105,4.1,45000.0,3.6624398646934,0.5574398646934,3.6624398646934,4.1,0.0,0.8047924625811927,21284.049047423887,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.38
Marquis2019,Kokam-Marquis LCO/graphite,DC_0p5C,0.5,0.0,0.0,0.0,0.680616,0.340308,0.0,3.105,4.1,18000.0,3.7050663591923487,0.6000663591923487,3.7050663591923487,4.100000000000003,0.0,0.7834395595062854,8287.73468217799,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.46
Marquis2019,Kokam-Marquis LCO/graphite,DC0p2_AC0p5_1tau,0.2,0.5,1.0,0.014338283161432014,0.680616,0.1361232,0.340308,3.105,4.1,45000.0,3.6624398646934,0.5574398646934,3.5481770976579323,4.1000000000004295,0.0,0.783187916467334,20764.395422293524,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,2.98
Marquis2019,Kokam-Marquis LCO/graphite,DC0p2_AC0p5_10tau,0.2,0.5,10.0,0.0014338283161432013,0.680616,0.1361232,0.340308,3.105,4.1,45000.0,3.6624398646934,0.5574398646934,3.5113228155885947,4.1000000000000005,0.0,0.7751573580126645,20761.42600224264,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.66
Marquis2019,Kokam-Marquis LCO/graphite,DC0p2_AC1p0_1tau,0.2,1.0,1.0,0.014338283161432014,0.680616,0.1361232,0.680616,3.105,4.1,45000.0,3.6624398646934,0.5574398646934,3.4714725592120796,4.100000000000867,0.0,0.7684563286769234,20416.99623003957,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,5.85
Marquis2019,Kokam-Marquis LCO/graphite,DC0p2_AC1p0_10tau,0.2,1.0,10.0,0.0014338283161432013,0.680616,0.1361232,0.680616,3.105,4.1,45000.0,3.6624398646934,0.5574398646934,3.199311895455301,4.100000000000135,0.0,0.7567268436058957,20721.661038742444,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.9
Mohtat2020,graphite/NMC532,DC_0p2C,0.2,0.0,0.0,0.0,5.0,1.0,0.0,2.8,4.2,45000.0,3.497880972275983,0.6978809722759833,3.497880972275983,4.200000000000013,0.0,4.600067034976743,16560.241325916275,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.4
Mohtat2020,graphite/NMC532,DC_0p5C,0.5,0.0,0.0,0.0,5.0,2.5,0.0,2.8,4.2,18000.0,3.5277154580974712,0.7277154580974714,3.5277154580974712,4.2000000000000135,0.0,4.460643581895126,6423.32675792898,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.36
Mohtat2020,graphite/NMC532,DC0p2_AC0p5_1tau,0.2,0.5,1.0,0.014338283161432014,5.0,1.0,2.5,2.8,4.2,45000.0,3.4978809722221067,0.6978809722221069,3.4327719948979616,4.200000000000001,0.0,4.44096916798245,16022.982706187018,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.96
Mohtat2020,graphite/NMC532,DC0p2_AC0p5_10tau,0.2,0.5,10.0,0.0014338283161432013,5.0,1.0,2.5,2.8,4.2,45000.0,3.4978809722221067,0.6978809722221069,3.3786974653076713,4.200000000000001,0.0,4.454194097097454,16487.23964363139,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.47
Mohtat2020,graphite/NMC532,DC0p2_AC1p0_1tau,0.2,1.0,1.0,0.014338283161432014,5.0,1.0,5.0,2.8,4.2,45000.0,3.4978809722221067,0.6978809722221069,3.3555605608359347,4.200000000000019,0.0,4.296730731965838,15536.916481181774,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,1.65
Mohtat2020,graphite/NMC532,DC0p2_AC1p0_10tau,0.2,1.0,10.0,0.0014338283161432013,5.0,1.0,5.0,2.8,4.2,45000.0,3.4978809722221067,0.6978809722221069,2.8,3.4980303528234655,0.0,-0.13575672437636588,201.81428365250522,event: Minimum voltage [V],Vmin_event,clean,infeasible_Vmin_event,ok,,0.32
NCA_Kim2011,graphite/NCA,DC_0p2C,0.2,0.0,0.0,0.0,0.43,0.08600000000000001,0.0,2.7,4.2,44999.99999999999,3.196547114576795,0.4965471145767948,3.196547114576795,4.2,0.0,0.4558301451933967,19081.26189181659,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.39
NCA_Kim2011,graphite/NCA,DC_0p5C,0.5,0.0,0.0,0.0,0.43,0.215,0.0,2.7,4.2,18000.0,3.200508346578734,0.5005083465787337,3.200508346578734,4.200000000000014,0.0,0.45115453502720065,7554.215470222893,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.32
NCA_Kim2011,graphite/NCA,DC0p2_AC0p5_1tau,0.2,0.5,1.0,0.014338283161432014,0.43,0.08600000000000001,0.215,2.7,4.2,44999.99999999999,3.196547114576795,0.4965471145767948,3.1865245847273536,4.200000000000001,0.0,0.4524431515655028,18956.338553557038,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.65
NCA_Kim2011,graphite/NCA,DC0p2_AC0p5_10tau,0.2,0.5,10.0,0.0014338283161432013,0.43,0.08600000000000001,0.215,2.7,4.2,44999.99999999999,3.196547114576795,0.4965471145767948,3.1702621844171457,4.200000000000096,0.0,0.4510683312842732,19297.360670515205,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.5
NCA_Kim2011,graphite/NCA,DC0p2_AC1p0_1tau,0.2,1.0,1.0,0.014338283161432014,0.43,0.08600000000000001,0.43,2.7,4.2,44999.99999999999,3.196547114576795,0.4965471145767948,3.171035676103781,4.200000000000004,0.0,0.448895647417558,18818.73409880979,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.74
NCA_Kim2011,graphite/NCA,DC0p2_AC1p0_10tau,0.2,1.0,10.0,0.0014338283161432013,0.43,0.08600000000000001,0.43,2.7,4.2,44999.99999999999,3.196547114576795,0.4965471145767948,2.9033460786448053,4.200000000000063,0.0,0.44460490234929745,19322.130485212478,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.43
OKane2022,LG M50 lineage,DC_0p2C,0.2,0.0,0.0,0.0,5.0,1.0,0.0,2.5,4.2,45000.0,3.186479543498839,0.6864795434988391,3.186479543498839,4.199999999999999,0.0,4.557025794657848,16405.292860768255,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.35
OKane2022,LG M50 lineage,DC_0p5C,0.5,0.0,0.0,0.0,5.0,2.5,0.0,2.5,4.2,18000.0,3.241424509991465,0.7414245099914649,3.241424509991465,4.2,0.0,4.080551481620141,5875.994133533003,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.44
OKane2022,LG M50 lineage,DC0p2_AC0p5_1tau,0.2,0.5,1.0,0.014338283161432014,5.0,1.0,2.5,2.5,4.2,45000.0,3.186479543498839,0.6864795434988391,3.03073161539405,4.199999999999999,0.0,3.9548900172390264,14280.377094076031,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,1.95
OKane2022,LG M50 lineage,DC0p2_AC0p5_10tau,0.2,0.5,10.0,0.0014338283161432013,5.0,1.0,2.5,2.5,4.2,45000.0,3.186479543498839,0.6864795434988391,2.96807245468168,4.199999999999999,0.0,3.7456043192505857,13769.342930640887,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,0.46
OKane2022,LG M50 lineage,DC0p2_AC1p0_1tau,0.2,1.0,1.0,0.014338283161432014,5.0,1.0,5.0,2.5,4.2,45000.0,3.186479543498839,0.6864795434988391,2.9180784899287513,4.2,0.0,3.6817399844344374,13306.225905382711,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,2.66
OKane2022,LG M50 lineage,DC0p2_AC1p0_10tau,0.2,1.0,10.0,0.0014338283161432013,5.0,1.0,5.0,2.5,4.2,45000.0,3.186479543498839,0.6864795434988391,2.5,3.186912433473227,0.0,-0.12660104578577683,193.2616788719088,event: Minimum voltage [V],Vmin_event,clean,infeasible_Vmin_event,ok,,0.29
ORegan2022,LG M50 lineage,DC_0p2C,0.2,0.0,0.0,0.0,5.0,1.0,0.0,2.5,4.4,45000.0,3.108669286986279,0.6086692869862791,3.108669286986279,4.400000000007153,0.0,4.706684496171921,16944.06418621892,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,2.98
ORegan2022,LG M50 lineage,DC_0p5C,0.5,0.0,0.0,0.0,5.0,2.5,0.0,2.5,4.4,18000.0,3.1588161728667616,0.6588161728667616,3.1588161728667616,4.400000000012283,0.0,3.1183245637001176,4490.3873717281695,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,1.09
ORegan2022,LG M50 lineage,DC0p2_AC0p5_1tau,0.2,0.5,1.0,0.014338283161432014,5.0,1.0,2.5,2.5,4.4,45000.0,3.108669286986279,0.6086692869862791,2.976220451677685,4.400001372525265,0.0,4.036192623629405,14559.107786456983,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,2.14
ORegan2022,LG M50 lineage,DC0p2_AC0p5_10tau,0.2,0.5,10.0,0.0014338283161432013,5.0,1.0,2.5,2.5,4.4,45000.0,3.108669286986279,0.6086692869862791,2.809498122119866,4.400000000000338,0.0,4.715509852504155,17258.246284435747,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,2.78
ORegan2022,LG M50 lineage,DC0p2_AC1p0_1tau,0.2,1.0,1.0,0.014338283161432014,5.0,1.0,5.0,2.5,4.4,45000.0,3.108669286986279,0.6086692869862791,2.7983089165104005,4.400000000000804,0.0,4.672345746969881,16864.496339152403,event: Maximum voltage [V],Vmax_event,clean,feasible_clean,ok,,3.57
ORegan2022,LG M50 lineage,DC0p2_AC1p0_10tau,0.2,1.0,10.0,0.0014338283161432013,5.0,1.0,5.0,2.5,4.4,45000.0,3.108669286986279,0.6086692869862791,2.4999999999999813,3.1109432141324183,0.017724174485688582,-0.054286204289333395,126.19485889020034,event: Minimum voltage [V],Vmin_event,transient_low_voltage,infeasible_Vmin_event,ok,,0.39
