param_set,chem_tag,condition,pair_role,DC_C,AC_C,tau_label,Q_nom_Ah,Q_to_Vmax_protocol_Ah,Q_to_Vmax_DC_ref_Ah,Q_low_Ah,Q_hi_Ah,window_width_Ah,t_charge_DC_ref_s,feasibility_verdict_protocol,feasibility_verdict_DC_ref,low_voltage_class_protocol,low_voltage_class_DC_ref,window_status,n_Q_grid,dtQ_min_s,dtQ_max_s,dtQ_mean_s,dtQ_median_s,dtQ_max_abs_s,n_pos,n_neg,n_zero,dtQ_fraction_positive,A_delta_t_area_sAh,A_delta_t_mean_s,sign_class_abs,sign_class_rel
Ai2020,Enertech LCO/graphite,DC_0p2C,DC_sanity,0.2,0.0,0.0,2.28,2.28995486457328,2.28995486457328,0.11399999999999999,2.24435486457328,2.13035486457328,18078.591036104855,feasible_clean,feasible_clean,clean,clean,ok,100,0.0,0.0,0.0,0.0,0.0,0,0,100,0.0,0.0,0.0,near_zero,near_zero
Ai2020,Enertech LCO/graphite,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,2.28,2.165568450639488,2.28995486457328,0.11399999999999999,2.119968450639488,2.005968450639488,18078.591036104855,feasible_clean,feasible_clean,clean,clean,ok,100,-51.25349185410414,-1.9428668978530368,-24.71247932029853,-24.108270718855238,51.25349185410414,0,100,0,0.0,-49.55217266657019,-24.702368898560355,near_zero,near_zero
Ai2020,Enertech LCO/graphite,DC0p2_AC0p5_10tau,DCAC,0.2,0.5,10.0,2.28,2.147989181341387,2.28995486457328,0.11399999999999999,2.1023891813413873,1.9883891813413874,18078.591036104855,feasible_clean,feasible_clean,clean,clean,ok,100,-418.07221647347706,0.9826378790130548,-187.97926140930628,-181.51302592416573,418.07221647347706,3,97,0,0.03,-373.83602644842233,-188.00948524384384,negative_only,negative_only
Ai2020,Enertech LCO/graphite,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,2.28,2.062751208814094,2.28995486457328,0.11399999999999999,2.017151208814094,1.9031512088140943,18078.591036104855,feasible_clean,feasible_clean,clean,clean,ok,100,-74.33314641444849,-2.9067020179306837,-38.13953884432236,-38.06121017779901,74.33314641444849,0,100,0,0.0,-72.91396277149225,-38.312227863873694,negative_only,near_zero
Ai2020,Enertech LCO/graphite,DC0p2_AC1p0_10tau,DCAC,0.2,1.0,10.0,2.28,2.0204226801151863,2.28995486457328,0.11399999999999999,1.9748226801151862,1.8608226801151861,18078.591036104855,feasible_clean,feasible_clean,clean,clean,ok,100,-521.1462329671631,-1.6225296123225235,-245.9245379110345,-240.01817269250114,521.1462329671631,0,100,0,0.0,-455.80915966370594,-244.95034617456997,negative_only,negative_only
Chen2020,LG M50 lineage,DC_0p2C,DC_sanity,0.2,0.0,0.0,5.0,4.609472937628645,4.609472937628645,0.25,4.5094729376286455,4.2594729376286455,16594.102575463123,feasible_clean,feasible_clean,clean,clean,ok,100,0.0,0.0,0.0,0.0,0.0,0,0,100,0.0,0.0,0.0,near_zero,near_zero
Chen2020,LG M50 lineage,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,5.0,4.03115659378053,4.609472937628645,0.25,3.9311565937805297,3.6811565937805297,16594.102575463123,feasible_clean,feasible_clean,clean,clean,ok,100,-56.24787805368942,-2.9186314535182873,-29.339367138843745,-28.838460546816805,56.24787805368942,0,100,0,0.0,-108.02719370159038,-29.34599247532879,near_zero,near_zero
Chen2020,LG M50 lineage,DC0p2_AC0p5_10tau,DCAC,0.2,0.5,10.0,5.0,3.9006012140891166,4.609472937628645,0.25,3.8006012140891166,3.5506012140891166,16594.102575463123,feasible_clean,feasible_clean,clean,clean,ok,100,-437.0431698259217,-3.130748532395046,-195.41135723924452,-190.7545246650393,437.0431698259217,0,100,0,0.0,-692.6608371772402,-195.08269034232777,negative_only,negative_only
Chen2020,LG M50 lineage,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,5.0,3.717657914150685,4.609472937628645,0.25,3.617657914150685,3.367657914150685,16594.102575463123,feasible_clean,feasible_clean,clean,clean,ok,100,-64.45144211184197,-3.4162856641178223,-33.46212709776478,-32.695640494123836,64.45144211184197,0,100,0,0.0,-113.45039591063286,-33.68821857882937,negative_only,near_zero
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC_0p2C,DC_sanity,0.2,0.0,0.0,0.15625,0.16035062080073204,0.16035062080073204,0.0078125,0.15722562080073205,0.14941312080073205,18472.39151624433,feasible_clean,feasible_clean,clean,clean,ok,100,0.0,0.0,0.0,0.0,0.0,0,0,100,0.0,0.0,0.0,near_zero,near_zero
