param_set,Q_nom_Ah,tau95_eq_s,V_max_cutoff,V_min_cutoff,protocol_label,protocol_type,phase_label,current_formula,DC_C,AC_C,kappa,n_tau,T_period_s,f_anchor_Hz,I_DC_A,I_AC_A,I_peak_charge_A,I_peak_discharge_A,I_peak_charge_C,I_peak_discharge_C,peak_current_constraint_margin_C,dt_eval_max_s,est_t_total_s,est_output_points,est_wall_s,Q_sin_ripple_amp_Ah,Q_lobe_per_period_Ah,Q_lobe_Q_frac,smoke_member,feasibility_risk,compute_risk
Ecker2015,0.15625,16.349925670057466,4.2,2.5,DC_0p2C,DC,charge_first,I_py = -I_DC,0.2,0.0,0.0,,,,0.03125,0.0,-0.03125,0.0,-0.2,0.0,0.8,10.0,17000.0,1700,2.04,0.0,0.0,0.0,True,low,low
Ecker2015,0.15625,16.349925670057466,4.2,2.5,DC_0p4C,DC,charge_first,I_py = -I_DC,0.4,0.0,0.0,,,,0.0625,0.0,-0.0625,0.0,-0.4,0.0,0.6,10.0,8500.0,850,1.02,0.0,0.0,0.0,True,low,low
Ecker2015,0.15625,16.349925670057466,4.2,2.5,DCAC_DC0p2C_AC0p4C_0p1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,0.1,10.272961274358343,0.0973429153768966,0.03125,0.0625,-0.09375,0.03125,-0.6000000000000001,0.2,0.3999999999999999,0.10272961274358343,17000.0,165482,198.5784,2.8385287621627545e-05,1.9439756660735385e-05,0.00012441444262870647,True,low,high
Ecker2015,0.15625,16.349925670057466,4.2,2.5,DCAC_DC0p2C_AC0p4C_1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,1.0,102.72961274358342,0.009734291537689661,0.03125,0.0625,-0.09375,0.03125,-0.6000000000000001,0.2,0.3999999999999999,1.027296127435834,17000.0,16548,19.857599999999998,0.00028385287621627545,0.00019439756660735383,0.0012441444262870644,True,low,medium
Ecker2015,0.15625,16.349925670057466,4.2,2.5,DCAC_DC0p2C_AC0p4C_10tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,10.0,1027.2961274358343,0.000973429153768966,0.03125,0.0625,-0.09375,0.03125,-0.6000000000000001,0.2,0.3999999999999999,10.0,17000.0,1700,2.04,0.0028385287621627547,0.0019439756660735385,0.012441444262870647,True,low,low
Ecker2015,0.15625,16.349925670057466,4.2,2.5,DCAC_DC0p4C_AC0p6C_0p1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,0.1,10.272961274358343,0.0973429153768966,0.0625,0.09375,-0.15625,0.03125,-1.0,0.19999999999999996,0.0,0.10272961274358343,8500.0,82741,99.2892,4.257793143244132e-05,1.572348043562131e-05,0.0001006302747879764,True,low,high
Ecker2015,0.15625,16.349925670057466,4.2,2.5,DCAC_DC0p4C_AC0p6C_1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,1.0,102.72961274358342,0.009734291537689661,0.0625,0.09375,-0.15625,0.03125,-1.0,0.19999999999999996,0.0,1.027296127435834,8500.0,8274,9.928799999999999,0.00042577931432441317,0.0001572348043562131,0.001006302747879764,True,low,low
Ecker2015,0.15625,16.349925670057466,4.2,2.5,DCAC_DC0p4C_AC0p6C_10tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,10.0,1027.2961274358343,0.000973429153768966,0.0625,0.09375,-0.15625,0.03125,-1.0,0.19999999999999996,0.0,10.0,8500.0,850,1.02,0.004257793143244132,0.0015723480435621314,0.01006302747879764,True,low,low
Mohtat2020,5.0,30.03606189856617,4.2,2.8,DC_0p2C,DC,charge_first,I_py = -I_DC,0.2,0.0,0.0,,,,1.0,0.0,-1.0,0.0,-0.2,0.0,0.8,10.0,17000.0,1700,2.04,0.0,0.0,0.0,False,low,low
Mohtat2020,5.0,30.03606189856617,4.2,2.8,DC_0p4C,DC,charge_first,I_py = -I_DC,0.4,0.0,0.0,,,,2.0,0.0,-2.0,0.0,-0.4,0.0,0.6,10.0,8500.0,850,1.02,0.0,0.0,0.0,False,low,low
