pair_id,param_set,protocol_label,DC_ref_protocol,n_tau,DC_C,AC_C,Q_window_lo_Ah,Q_window_hi_Ah,n_grid,n_valid,dt_model_mean_s,dt_geom_mean_s,dt_resid_mean_s,dt_resid_max_abs_s,dt_resid_rms_s,dt_geom_max_abs_s,dt_model_max_abs_s,dt_resid_topology,dt_resid_n_cross,numerical_floor_s,dt_eval_s,Q_to_Vmax_DC_Ah,Q_to_Vmax_DCAC_Ah,Q_to_Vmax_shift_pct,feasibility_verdict,verdict
Ecker2015__DCAC_DC0p2C_AC0p4C_0p1tau__vs__DC_0p2C,Ecker2015,DCAC_DC0p2C_AC0p4C_0p1tau,DC_0p2C,0.1,0.2,0.4,0.0078125,0.1552924825953768,29,29,4.025444485950743,4.026215639017335,-0.0007711530665919154,0.009043291991474689,0.0017888249388430995,6.5375834450105685,6.5371256759462995,near_zero,0,1.0,0.1027296127435834,0.1607817993194481,0.1584174825953768,-1.47051266628369,feasible_clean,near_zero
Ecker2015__DCAC_DC0p2C_AC0p4C_1tau__vs__DC_0p2C,Ecker2015,DCAC_DC0p2C_AC0p4C_1tau,DC_0p2C,1.0,0.2,0.4,0.0078125,0.1551104029179896,29,29,40.27392625995123,40.27411630226247,-0.0001900423112405845,0.004168509967712453,0.0013312599459283658,65.3858467243117,65.38898903574227,near_zero,0,5.1364806371791705,1.027296127435834,0.1607817993194481,0.1582354029179896,-1.5837591146739334,feasible_clean,near_zero
Ecker2015__DCAC_DC0p2C_AC0p4C_10tau__vs__DC_0p2C,Ecker2015,DCAC_DC0p2C_AC0p4C_10tau,DC_0p2C,10.0,0.2,0.4,0.0078125,0.1544497773345726,29,29,396.8576530429462,396.8646541964375,-0.007001153491293328,0.027432643717475003,0.009411908706988761,653.4448114688166,653.4173788250991,near_zero,0,50.0,10.0,0.1607817993194481,0.1575747773345726,-1.994642427470084,feasible_clean,near_zero
Ecker2015__DCAC_DC0p4C_AC0p6C_0p1tau__vs__DC_0p4C,Ecker2015,DCAC_DC0p4C_AC0p6C_0p1tau,DC_0p4C,0.1,0.4,0.6,0.0078125,0.1519338760147603,28,28,2.777294127372843,2.777668502092973,-0.000374374720130228,0.004625456544999906,0.0009341636453318187,4.887868244904894,4.886797236029452,near_zero,0,1.0,0.1027296127435834,0.1586535090354049,0.1550588760147603,-2.2657129000799077,feasible_clean,near_zero
Ecker2015__DCAC_DC0p4C_AC0p6C_1tau__vs__DC_0p4C,Ecker2015,DCAC_DC0p4C_AC0p6C_1tau,DC_0p4C,1.0,0.4,0.6,0.0078125,0.1512321097667055,28,28,23.37189793056786,23.371984155488924,-8.622492106066407e-05,0.0007915959849924548,0.000519131418947468,49.014088535773226,49.01354163942142,near_zero,0,5.1364806371791705,1.027296127435834,0.1586535090354049,0.1543571097667055,-2.7080392326781904,feasible_clean,near_zero
Ecker2015__DCAC_DC0p4C_AC0p6C_10tau__vs__DC_0p4C,Ecker2015,DCAC_DC0p4C_AC0p6C_10tau,DC_0p4C,10.0,0.4,0.6,0.0078125,0.1490583514206216,28,28,268.92134368245036,268.92953385319566,-0.008190170745340961,0.03862656957574018,0.011862642965994114,488.913070404411,488.8966320395257,near_zero,0,50.0,10.0,0.1586535090354049,0.1521833514206216,-4.078168616705124,feasible_clean,near_zero
Chen2020__DCAC_DC0p2C_AC0p4C_0p1tau__vs__DC_0p2C,Chen2020,DCAC_DC0p2C_AC0p4C_0p1tau,DC_0p2C,0.1,0.2,0.4,0.25,4.211150720760333,79,79,9.447803956105998,9.450656005757457,-0.0028520496514590687,0.011351247972925194,0.003236197410480383,15.618014862765222,15.614070828359672,near_zero,0,1.2267568496064094,0.2453513699212819,4.6250000000000036,4.311150720760333,-6.7859303619388225,feasible_clean,near_zero
Chen2020__DCAC_DC0p2C_AC0p4C_1tau__vs__DC_0p2C,Chen2020,DCAC_DC0p2C_AC0p4C_1tau,DC_0p2C,1.0,0.2,0.4,0.25,4.0250518986041595,75,75,102.30316060315127,102.31109117546893,-0.007930572317657909,0.015618283560797863,0.009037615641911866,156.1896128953731,156.17434164604947,near_zero,0,12.267568496064099,2.4535136992128197,4.6250000000000036,4.125051898604159,-10.80968867882906,feasible_clean,near_zero
Chen2020__DCAC_DC0p2C_AC0p4C_10tau__vs__DC_0p2C,Chen2020,DCAC_DC0p2C_AC0p4C_10tau,DC_0p2C,10.0,0.2,0.4,0.25,4.152712396209198,78,78,942.979641063782,942.9810910571862,-0.0014499934041006886,0.008536736860605743,0.002301226585885247,1560.5140716880378,1560.509715559916,near_zero,0,50.0,10.0,4.6250000000000036,4.252712396209198,-8.049461703584985,feasible_clean,near_zero
Chen2020__DCAC_DC0p4C_AC0p6C_0p1tau__vs__DC_0p4C,Chen2020,DCAC_DC0p4C_AC0p6C_0p1tau,DC_0p4C,0.1,0.4,0.6,0.25,3.613989662656773,67,67,6.148464717527075,6.1497600182781875,-0.0012953007511126075,0.00377873654178984,0.0014172781494622005,11.690033273146582,11.68759693523134,near_zero,0,1.2267568496064094,0.2453513699212819,4.340490941045618,3.713989662656773,-14.433880565545468,feasible_clean,near_zero
