param_set,protocol_label,protocol_type,phase_label,current_formula,DC_C,AC_C,n_tau,tau95_eq_s,f_anchor_Hz,T_period_s,dt_eval_s,Q_nom_Ah,I_DC_A,I_AC_A,t_end_s,termination_raw,termination_class,feasibility_verdict,V_init_V,V_min_obs,V_max_obs,V_min_cutoff,V_max_cutoff,frac_below_Vmin,frac_above_Vmax,Q_to_Vmax_Ah,t_to_Vmax_s,Q_net_end_Ah,wall_s,trajectory_npz,error,I_initial_A,I_first_nonzero_A,I_min_first_period_A,I_max_first_period_A,I_initial_C,I_first_nonzero_C,I_min_first_period_C,I_max_first_period_C
Ecker2015,DC_0p2C,DC,charge_first,I_py = -I_DC + 0 * t,0.2,0.0,,16.349925670057466,,,10.0,0.15625,0.03125,0.0,18535.598918266547,event: maximum voltage [v],Vmax_event,feasible_clean,3.306925907077255,3.306925907077255,4.199999999999999,2.5,4.2,0.0,0.000844436104334772,0.16078179931944814,18522.06328160051,0.1608992961655075,2.4619948863983154,data/day18B_smoke/Ecker2015__DC_0p2C.npz,,-0.03125,-0.03125,,,-0.2,-0.2,,
Ecker2015,DC_0p4C,DC,charge_first,I_py = -I_DC + 0 * t,0.4,0.0,,16.349925670057466,,,10.0,0.15625,0.0625,0.0,9143.8673346328,event: maximum voltage [v],Vmax_event,feasible_clean,3.3198985769586367,3.3198985769586367,4.199999999999999,2.5,4.2,0.0,0.0011352578657152124,0.1586535090354049,9138.442120439337,0.1587476967818192,1.3903720378875732,data/day18B_smoke/Ecker2015__DC_0p4C.npz,,-0.0625,-0.0625,,,-0.4,-0.4,,
Ecker2015,DCAC_DC0p2C_AC0p4C_0p1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,0.1,16.349925670057466,0.0973429153768966,10.272961274358344,0.1027296127435834,0.15625,0.03125,0.0625,18257.43361444122,event: maximum voltage [v],Vmax_event,feasible_clean,3.3069259080461313,3.2861131029801998,4.200000000000587,2.5,4.2,0.0,3.6620503034924186e-05,0.15841748259537689,18247.03927474077,0.15850979384176028,200.46517705917358,data/day18B_smoke/Ecker2015__DCAC_DC0p2C_AC0p4C_0p1tau.npz,,-0.03125,-0.03128586767354406,-0.09375,0.03125,-0.2,-0.200229553110682,-0.6,0.2
Ecker2015,DCAC_DC0p2C_AC0p4C_1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,1.0,16.349925670057466,0.0097342915376896,102.72961274358342,1.027296127435834,0.15625,0.03125,0.0625,18206.07939762185,event: maximum voltage [v],Vmax_event,feasible_clean,3.3069259016203967,3.3066422319536612,4.200000000000003,2.5,4.2,0.0,0.0001130288336554655,0.15823540291798968,18204.52098965891,0.15827534996410744,20.130017042160034,data/day18B_smoke/Ecker2015__DCAC_DC0p2C_AC0p4C_1tau.npz,,-0.03125,-0.03125358675858282,-0.09375,0.03125,-0.2,-0.20002295525493005,-0.6,0.2
Ecker2015,DCAC_DC0p2C_AC0p4C_10tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,10.0,16.349925670057466,0.0009734291537689,1027.2961274358345,10.0,0.15625,0.03125,0.0625,17759.6296987976,event: maximum voltage [v],Vmax_event,feasible_clean,3.306925907077255,3.306925907077255,4.200000000000003,2.5,4.2,0.0,0.00016975046681378373,0.15757477733457262,17755.960626157976,0.15766870356641186,5.6433398723602295,data/day18B_smoke/Ecker2015__DCAC_DC0p2C_AC0p4C_10tau.npz,,-0.03125,-0.03125143470535122,-0.09374721942533695,0.031249982596935427,-0.2,-0.20000918211424784,-0.5999822043221565,0.19999988862038673
Ecker2015,DCAC_DC0p4C_AC0p6C_0p1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,0.1,16.349925670057466,0.0973429153768966,10.272961274358344,0.1027296127435834,0.15625,0.0625,0.09375,8929.742711478475,event: maximum voltage [v],Vmax_event,feasible_clean,3.3198985769586367,3.2920544561694425,4.200000000000001,2.5,4.2,0.0,2.6443769727653212e-05,0.15505887601476032,8929.437550665993,0.1550720601829247,104.22973299026489,data/day18B_smoke/Ecker2015__DCAC_DC0p4C_AC0p6C_0p1tau.npz,,-0.0625,-0.06252689982506204,-0.15625,0.03125,-0.4,-0.4001721588803971,-1.0,0.2
Ecker2015,DCAC_DC0p4C_AC0p6C_1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.0,16.349925670057466,0.0097342915376896,102.72961274358342,1.027296127435834,0.15625,0.0625,0.09375,8953.41770210495,event: maximum voltage [v],Vmax_event,feasible_clean,3.3198985769586367,3.3198985769586367,4.200000000000173,2.5,4.2,0.0,0.0007743250127356088,0.15435710976670558,8862.8403918785,0.15562814971474218,11.738967180252075,data/day18B_smoke/Ecker2015__DCAC_DC0p4C_AC0p6C_1tau.npz,,-0.0625,-0.06251075993014883,-0.15625,0.03125,-0.4,-0.4000688635529525,-1.0,0.2
Ecker2015,DCAC_DC0p4C_AC0p6C_10tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,10.0,16.349925670057466,0.0009734291537689,1027.2961274358345,10.0,0.15625,0.0625,0.09375,8494.29024057229,event: maximum voltage [v],Vmax_event,feasible_clean,3.3198985769586367,3.3198985769586367,4.200000000000054,2.5,4.2,0.0,0.00032589212970506764,0.15218335142062162,8493.351534710775,0.15222393527615233,1.5119071006774902,data/day18B_smoke/Ecker2015__DCAC_DC0p4C_AC0p6C_10tau.npz,,-0.0625,-0.06250107599301723,-0.1562436181760793,0.03124998249814598,-0.4,-0.40000688635531023,-0.9999591563269075,0.19999988798813426
Chen2020,DC_0p2C,DC,charge_first,I_py = -I_DC + 0 * t,0.2,0.0,,39.04888331734019,,,10.0,5.0,1.0,0.0,16659.71567625351,event: maximum voltage [v],Vmax_event,feasible_clean,3.1578966263866057,3.1578966263866057,4.2,2.5,4.2,0.0,0.0006339814032121725,4.6250000000000036,16650.0,4.627698798959311,1.5053620338439941,data/day18B_smoke/Chen2020__DC_0p2C.npz,,-1.0,-1.0,,,-0.2,-0.2,,
Chen2020,DC_0p4C,DC,charge_first,I_py = -I_DC + 0 * t,0.4,0.0,,39.04888331734019,,,10.0,5.0,2.0,0.0,7822.553350173917,event: maximum voltage [v],Vmax_event,feasible_clean,3.193704628992001,3.193704628992001,4.200000000000001,2.5,4.2,0.0,0.0013282732447817836,4.340490941045618,7812.88369388209,4.345862972318857,0.8799722194671631,data/day18B_smoke/Chen2020__DC_0p4C.npz,,-2.0,-2.0,,,-0.4,-0.4,,
Chen2020,DCAC_DC0p2C_AC0p4C_0p1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,0.1,39.04888331734019,0.0407578730993366,24.53513699212819,0.2453513699212819,5.0,1.0,2.0,15561.251908737519,event: maximum voltage [v],Vmax_event,feasible_clean,3.157896626449653,3.078779331531785,4.200000000000144,2.5,4.2,0.0,0.00011488295979351703,4.311150720760333,15512.340363273048,4.32464909704,82.31441903114319,data/day18B_smoke/Chen2020__DCAC_DC0p2C_AC0p4C_0p1tau.npz,,-1.0,-1.000259773576254,-3.0,1.0,-0.2,-0.20005195471525078,-0.6,0.2
Chen2020,DCAC_DC0p2C_AC0p4C_1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,1.0,39.04888331734019,0.0040757873099336,245.35136992128196,2.4535136992128197,5.0,1.0,2.0,14781.308976655871,event: maximum voltage [v],Vmax_event,feasible_clean,3.1578966264353285,3.120988595559036,4.200000000000001,2.5,4.2,0.0,0.0001689352254078579,4.125051898604159,14778.981203852662,4.126989287908083,9.906959772109985,data/day18B_smoke/Chen2020__DCAC_DC0p2C_AC0p4C_1tau.npz,,-1.0,-1.0001306827991217,-3.0,1.0,-0.2,-0.20002613655982432,-0.6,0.2
Chen2020,DCAC_DC0p2C_AC0p4C_10tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,10.0,39.04888331734019,0.0004075787309933,2453.5136992128196,10.0,5.0,1.0,2.0,15051.766137134564,event: maximum voltage [v],Vmax_event,feasible_clean,3.1578966263866057,3.1578966263866057,4.2,2.5,4.2,0.0,0.0005990415335463259,4.252712396209198,15049.48128997049,4.254295608676986,2.12142014503479,data/day18B_smoke/Chen2020__DCAC_DC0p2C_AC0p4C_10tau.npz,,-1.0,-1.000016388300142,-2.999992231119717,0.9999998799909344,-0.2,-0.2000032776600284,-0.5999984462239434,0.1999999759981869
Chen2020,DCAC_DC0p4C_AC0p6C_0p1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,0.1,39.04888331734019,0.0407578730993366,24.53513699212819,0.2453513699212819,5.0,2.0,3.0,6680.081955748132,event: maximum voltage [v],Vmax_event,feasible_clean,3.193704749826785,3.096945862538285,4.200000000000001,2.5,4.2,0.0,6.725477228655017e-05,3.713989662656773,6679.545396046002,3.7147343002014788,29.702454090118408,data/day18B_smoke/Chen2020__DCAC_DC0p4C_AC0p6C_0p1tau.npz,,-2.0,-2.0007792029769433,-5.0,1.0,-0.4,-0.40015584059538867,-1.0,0.2
Chen2020,DCAC_DC0p4C_AC0p6C_1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.0,39.04888331734019,0.0040757873099336,245.35136992128196,2.4535136992128197,5.0,2.0,3.0,6432.215844058968,event: maximum voltage [v],Vmax_event,feasible_clean,3.1937047223715975,3.1778581613899,4.200000000000012,2.5,4.2,0.0,5.100999795960008e-05,3.5991540537240736,6432.215844058968,3.5991540537240736,3.0486199855804443,data/day18B_smoke/Chen2020__DCAC_DC0p4C_AC0p6C_1tau.npz,,-2.0,-2.00054769738017,-5.0,1.0,-0.4,-0.400109539476034,-1.0,0.2
Chen2020,DCAC_DC0p4C_AC0p6C_10tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,10.0,39.04888331734019,0.0004075787309933,2453.5136992128196,10.0,5.0,2.0,3.0,5492.499558049222,event: maximum voltage [v],Vmax_event,feasible_clean,3.193704628992001,3.193704628992001,4.200000000000026,2.5,4.2,0.0,0.0014727540500736377,3.3500928392722362,5490.0,3.3535586397304287,0.7005720138549805,data/day18B_smoke/Chen2020__DCAC_DC0p4C_AC0p6C_10tau.npz,,-2.0,-2.0000625523874787,-4.999998556429259,0.9999998199864018,-0.4,-0.40001251047749575,-0.9999997112858517,0.19999996399728034
ORegan2022,DC_0p2C,DC,charge_first,I_py = -I_DC + 0 * t,0.2,0.0,,47.72789653541888,,,10.0,5.0,1.0,0.0,17006.861900825734,event: maximum voltage [v],Vmax_event,feasible_clean,3.0992821237593953,3.0992821237593953,4.400000000000024,2.5,4.4,0.0,8.078849571820973e-05,4.724128305784915,17006.861900825734,4.724128305784915,3.3378334045410156,data/day18B_smoke/ORegan2022__DC_0p2C.npz,,-1.0,-1.0,,,-0.2,-0.2,,
ORegan2022,DC_0p4C,DC,charge_first,I_py = -I_DC + 0 * t,0.4,0.0,,47.72789653541888,,,10.0,5.0,2.0,0.0,8088.663972204814,event: maximum voltage [v],Vmax_event,feasible_clean,3.1294710647586257,3.1294710647586257,4.40000000000549,2.5,4.4,0.0,0.00013386880856760375,4.493702206780464,8088.663972204814,4.493702206780464,2.005661964416504,data/day18B_smoke/ORegan2022__DC_0p4C.npz,,-2.0,-2.0,,,-0.4,-0.4,,
ORegan2022,DCAC_DC0p2C_AC0p4C_0p1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,0.1,47.72789653541888,0.0333463141359658,29.988321825393136,0.2998832182539314,5.0,1.0,2.0,16980.324692675185,event: maximum voltage [v],Vmax_event,feasible_clean,3.0992821257233762,3.0628312874479837,4.400000000000096,2.5,4.4,0.0,3.3297261300258055e-06,4.719096472501154,16980.324692675185,4.719096472501154,86.84011316299438,data/day18B_smoke/ORegan2022__DCAC_DC0p2C_AC0p4C_0p1tau.npz,,-1.0,-1.0002098058543851,-3.0,1.0,-0.2,-0.20004196117087703,-0.6,0.2
