file,path,size_kb,mtime,n_cols,cols_str,cols_json,has_dt_signed,signed_dt_cols,has_time_pair,time_pair_cols,has_dt_geom,dt_geom_cols,has_dt_resid,dt_resid_cols,has_Q,Q_cols,has_current,current_cols,has_voltage,voltage_cols,read_ok,error
day14_step5_delta_tQ_curves.csv,/Users/louislu/pybamm-dcac-superimposed/data/day14_step5_delta_tQ_curves.csv,1098.0,2026-05-02 13:11,16,condition|ablation|alpha|alpha_direction|DC_C|AC_C|f_Hz|Q_mAh|t_DC_min|t_DCAC_min|delta_t_min|Q_window_lo|Q_window_hi|Q_CC_end_DCAC|Q_CC_end_DC|status,"[""condition"", ""ablation"", ""alpha"", ""alpha_direction"", ""DC_C"", ""AC_C"", ""f_Hz"", ""Q_mAh"", ""t_DC_min"", ""t_DCAC_min"", ""delta_t_min"", ""Q_window_lo"", ""Q_window_hi"", ""Q_CC_end_DCAC"", ""Q_CC_end_DC"", ""status""]",True,"[""delta_t_min""]",False,[],False,[],False,[],True,"[""Q_mAh""]",False,[],False,[],True,
day14_step5_delta_tQ_curves_v1_wrong_phase.csv,/Users/louislu/pybamm-dcac-superimposed/data/day14_step5_delta_tQ_curves_v1_wrong_phase.csv,1094.3,2026-05-02 12:51,16,condition|ablation|alpha|alpha_direction|DC_C|AC_C|f_Hz|Q_mAh|t_DC_min|t_DCAC_min|delta_t_min|Q_window_lo|Q_window_hi|Q_CC_end_DCAC|Q_CC_end_DC|status,"[""condition"", ""ablation"", ""alpha"", ""alpha_direction"", ""DC_C"", ""AC_C"", ""f_Hz"", ""Q_mAh"", ""t_DC_min"", ""t_DCAC_min"", ""delta_t_min"", ""Q_window_lo"", ""Q_window_hi"", ""Q_CC_end_DCAC"", ""Q_CC_end_DC"", ""status""]",True,"[""delta_t_min""]",False,[],False,[],False,[],True,"[""Q_mAh""]",False,[],False,[],True,
day14_step5_delta_tQ_curves_v2_aligned_phase.csv,/Users/louislu/pybamm-dcac-superimposed/data/day14_step5_delta_tQ_curves_v2_aligned_phase.csv,1098.0,2026-05-02 13:11,16,condition|ablation|alpha|alpha_direction|DC_C|AC_C|f_Hz|Q_mAh|t_DC_min|t_DCAC_min|delta_t_min|Q_window_lo|Q_window_hi|Q_CC_end_DCAC|Q_CC_end_DC|status,"[""condition"", ""ablation"", ""alpha"", ""alpha_direction"", ""DC_C"", ""AC_C"", ""f_Hz"", ""Q_mAh"", ""t_DC_min"", ""t_DCAC_min"", ""delta_t_min"", ""Q_window_lo"", ""Q_window_hi"", ""Q_CC_end_DCAC"", ""Q_CC_end_DC"", ""status""]",True,"[""delta_t_min""]",False,[],False,[],False,[],True,"[""Q_mAh""]",False,[],False,[],True,
day16_step3a_dtQ_curves_long.csv.gz,/Users/louislu/pybamm-dcac-superimposed/data/day16_step3a_dtQ_curves_long.csv.gz,129.5,2026-05-03 13:25,14,param_set|chem_tag|condition|pair_role|DC_C|AC_C|tau_label|Q_Ah|t_DC_s|t_protocol_s|dtQ_s|Q_nom_Ah|Q_low_Ah|Q_hi_Ah,"[""param_set"", ""chem_tag"", ""condition"", ""pair_role"", ""DC_C"", ""AC_C"", ""tau_label"", ""Q_Ah"", ""t_DC_s"", ""t_protocol_s"", ""dtQ_s"", ""Q_nom_Ah"", ""Q_low_Ah"", ""Q_hi_Ah""]",False,[],False,[],False,[],False,[],True,"[""Q_Ah""]",False,[],False,[],True,
day17_step1_relaxation_curves_long.csv.gz,/Users/louislu/pybamm-dcac-superimposed/data/day17_step1_relaxation_curves_long.csv.gz,146.5,2026-05-04 10:37,4,param_set|chem_tag|t_relax_s|V_V,"[""param_set"", ""chem_tag"", ""t_relax_s"", ""V_V""]",False,[],False,[],False,[],False,[],False,[],False,[],True,"[""V_V""]",True,
day18B_smoke_dtQ_resid_curves_long.csv.gz,/Users/louislu/pybamm-dcac-superimposed/data/day18B_smoke_dtQ_resid_curves_long.csv.gz,40.8,2026-05-05 16:12,9,pair_id|param_set|protocol_label|DC_ref_protocol|n_tau|Q_Ah|dt_model_s|dt_geom_s|dt_resid_s,"[""pair_id"", ""param_set"", ""protocol_label"", ""DC_ref_protocol"", ""n_tau"", ""Q_Ah"", ""dt_model_s"", ""dt_geom_s"", ""dt_resid_s""]",True,"[""dt_model_s""]",False,[],True,"[""dt_geom_s""]",True,"[""dt_resid_s""]",True,"[""Q_Ah""]",False,[],False,[],True,
day18_step2_dt_Q_curves_long_v3.csv.gz,/Users/louislu/pybamm-dcac-superimposed/data/day18_step2_dt_Q_curves_long_v3.csv.gz,27.4,2026-05-05 12:50,12,param_set|anchor_label|Q_Ah|Q_frac_nom_added|t_DC_s|t_DCAC_s|dtQ_s|window_full|window_stable_added|protocol_DC|protocol_DCAC|status,"[""param_set"", ""anchor_label"", ""Q_Ah"", ""Q_frac_nom_added"", ""t_DC_s"", ""t_DCAC_s"", ""dtQ_s"", ""window_full"", ""window_stable_added"", ""protocol_DC"", ""protocol_DCAC"", ""status""]",False,[],False,[],False,[],False,[],True,"[""Q_Ah""]",False,[],False,[],True,
day18_step2_dt_Q_curves_long_v4_charge_first.csv.gz,/Users/louislu/pybamm-dcac-superimposed/data/day18_step2_dt_Q_curves_long_v4_charge_first.csv.gz,16.1,2026-05-05 14:37,15,param_set|anchor_label|phase_label|Q_Ah|Q_frac_nom_added|t_DC_s|t_DCAC_s|dtQ_s|dtQ_geom_s|dtQ_resid_s|window_full|window_stable_added|protocol_DC|protocol_DCAC|status,"[""param_set"", ""anchor_label"", ""phase_label"", ""Q_Ah"", ""Q_frac_nom_added"", ""t_DC_s"", ""t_DCAC_s"", ""dtQ_s"", ""dtQ_geom_s"", ""dtQ_resid_s"", ""window_full"", ""window_stable_added"", ""protocol_DC"", ""protocol_DCAC"", ""status""]",False,[],False,[],False,[],False,[],True,"[""Q_Ah""]",False,[],False,[],True,
day19A_step1_curves_long_inventory.csv,/Users/louislu/pybamm-dcac-superimposed/data/day19A_step1_curves_long_inventory.csv,5.1,2026-05-06 11:51,23,file|path|size_kb|mtime|n_cols|cols_str|cols_json|has_dt_signed|signed_dt_cols|has_time_pair|time_pair_cols|has_dt_geom|dt_geom_cols|has_dt_resid|dt_resid_cols|has_Q|Q_cols|has_current|current_cols|has_voltage|voltage_cols|read_ok|error,"[""file"", ""path"", ""size_kb"", ""mtime"", ""n_cols"", ""cols_str"", ""cols_json"", ""has_dt_signed"", ""signed_dt_cols"", ""has_time_pair"", ""time_pair_cols"", ""has_dt_geom"", ""dt_geom_cols"", ""has_dt_resid"", ""dt_resid_cols"", ""has_Q"", ""Q_cols"", ""has_current"", ""current_cols"", ""has_voltage"", ""voltage_cols"", ""read_ok"", ""error""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],True,
results_day11_curve_metrics.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day11_curve_metrics.csv,7.3,2026-04-29 15:35,22,condition|kappa|tau_label|DC|AC|f_Hz|X5A_avg_dt|X5A_A_dt|X5A_n_cross|X5A_range|X5A_CC_max_dcac|X5A_CC_max_dc|X5A_window_hi|pl_avg_dt|pl_A_dt|pl_n_cross|pl_range|pl_CC_max_dcac|pl_CC_max_dc|pl_window_hi|avg_dt_diff_pl_minus_X5A|meaningful_flip,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""X5A_avg_dt"", ""X5A_A_dt"", ""X5A_n_cross"", ""X5A_range"", ""X5A_CC_max_dcac"", ""X5A_CC_max_dc"", ""X5A_window_hi"", ""pl_avg_dt"", ""pl_A_dt"", ""pl_n_cross"", ""pl_range"", ""pl_CC_max_dcac"", ""pl_CC_max_dc"", ""pl_window_hi"", ""avg_dt_diff_pl_minus_X5A"", ""meaningful_flip""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],True,
