file,path,file_family,size_kb,mtime,n_cols,cols_str,cols_json,has_dt_signed,signed_dt_cols,has_time_pair,time_pair_cols,has_dt_geom,dt_geom_cols,has_dt_resid,dt_resid_cols,has_Q,Q_cols,has_current,current_cols,has_voltage,voltage_cols,protocol_cols,audit_readiness,read_ok,error
results_day11_curve_metrics.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day11_curve_metrics.csv,ablation_or_metric_summary,7.3,2026-04-29 15:35,22,condition|kappa|tau_label|DC|AC|f_Hz|X5A_avg_dt|X5A_A_dt|X5A_n_cross|X5A_range|X5A_CC_max_dcac|X5A_CC_max_dc|X5A_window_hi|pl_avg_dt|pl_A_dt|pl_n_cross|pl_range|pl_CC_max_dcac|pl_CC_max_dc|pl_window_hi|avg_dt_diff_pl_minus_X5A|meaningful_flip,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""X5A_avg_dt"", ""X5A_A_dt"", ""X5A_n_cross"", ""X5A_range"", ""X5A_CC_max_dcac"", ""X5A_CC_max_dc"", ""X5A_window_hi"", ""pl_avg_dt"", ""pl_A_dt"", ""pl_n_cross"", ""pl_range"", ""pl_CC_max_dcac"", ""pl_CC_max_dc"", ""pl_window_hi"", ""avg_dt_diff_pl_minus_X5A"", ""meaningful_flip""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],"[""condition"", ""tau_label"", ""f_Hz""]",summary_or_auxiliary_only,True,
results_day11_metric_stability_scan.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day11_metric_stability_scan.csv,ablation_or_metric_summary,5.2,2026-04-29 13:06,16,condition|kappa|tau_label|DC|AC|f_Hz|X5A_Q80|X5A_Q40|X5A_Q90|X5A_range|X5A_stable|pl_Q80|pl_Q40|pl_Q90|pl_range|pl_stable,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""X5A_Q80"", ""X5A_Q40"", ""X5A_Q90"", ""X5A_range"", ""X5A_stable"", ""pl_Q80"", ""pl_Q40"", ""pl_Q90"", ""pl_range"", ""pl_stable""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],"[""condition"", ""tau_label"", ""f_Hz""]",summary_or_auxiliary_only,True,
results_day11_plating_dt_Q80.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day11_plating_dt_Q80.csv,ablation_or_metric_summary,4.1,2026-04-29 12:48,14,condition|kappa|tau_label|DC|AC|f_Hz|t_Q80_DCAC_min|t_Q80_DC_ref_min|dt_Q80_plating_min|dt_Q80_X5A_min|dt_Q80_exp_min|CC_time_min|plating_loss_mAh|status,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""t_Q80_DCAC_min"", ""t_Q80_DC_ref_min"", ""dt_Q80_plating_min"", ""dt_Q80_X5A_min"", ""dt_Q80_exp_min"", ""CC_time_min"", ""plating_loss_mAh"", ""status""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],"[""condition"", ""tau_label"", ""f_Hz""]",summary_or_auxiliary_only,True,
results_day12_OCP_ablations.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day12_OCP_ablations.csv,ablation_or_metric_summary,19.2,2026-04-30 10:55,21,condition|kappa|tau_label|DC|AC|f_Hz|ablation|A_dt|avg_dt|Q_window_lo|Q_window_hi|Q_CC_min_ablation|window_exceeds_ablation_CC|n_valid_points|x_n_Q20|x_n_Q80_if_in_CC|Q80_in_CC|x_n_CC_end|sign|sign_baseline|flipped_vs_baseline,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""ablation"", ""A_dt"", ""avg_dt"", ""Q_window_lo"", ""Q_window_hi"", ""Q_CC_min_ablation"", ""window_exceeds_ablation_CC"", ""n_valid_points"", ""x_n_Q20"", ""x_n_Q80_if_in_CC"", ""Q80_in_CC"", ""x_n_CC_end"", ""sign"", ""sign_baseline"", ""flipped_vs_baseline""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],"[""condition"", ""tau_label"", ""f_Hz"", ""ablation"", ""Q_CC_min_ablation"", ""window_exceeds_ablation_CC""]",summary_or_auxiliary_only,True,
results_day12_step0_A_dt_CC_only.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day12_step0_A_dt_CC_only.csv,ablation_or_metric_summary,4.4,2026-04-30 09:53,17,condition|kappa|tau_label|DC|AC|f_Hz|Q_CC_min_mAh|Q_window_lo|Q_window_hi|avg_dt_OLD_Day11|avg_dt_CC_only_NEW|A_dt_CC_only_NEW|n_cross|range_dt|sign_OLD|sign_NEW|sign_changed,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""Q_CC_min_mAh"", ""Q_window_lo"", ""Q_window_hi"", ""avg_dt_OLD_Day11"", ""avg_dt_CC_only_NEW"", ""A_dt_CC_only_NEW"", ""n_cross"", ""range_dt"", ""sign_OLD"", ""sign_NEW"", ""sign_changed""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],"[""condition"", ""tau_label"", ""f_Hz""]",summary_or_auxiliary_only,True,
results_day13_BranchC_v2_AsymmetricBV.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day13_BranchC_v2_AsymmetricBV.csv,ablation_or_metric_summary,17.2,2026-05-01 11:21,21,condition|kappa|tau_label|DC|AC|f_Hz|ablation|alpha|A_dt|avg_dt|Q_window_lo|Q_window_hi_strict|Q_CC_end_mAh|window_margin_to_CC|x_n_Q20|x_p_Q20|x_n_CC_end|x_p_CC_end|sign|status|infeasible_reason,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""ablation"", ""alpha"", ""A_dt"", ""avg_dt"", ""Q_window_lo"", ""Q_window_hi_strict"", ""Q_CC_end_mAh"", ""window_margin_to_CC"", ""x_n_Q20"", ""x_p_Q20"", ""x_n_CC_end"", ""x_p_CC_end"", ""sign"", ""status"", ""infeasible_reason""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],"[""condition"", ""tau_label"", ""f_Hz"", ""ablation""]",summary_or_auxiliary_only,True,
results_day13_PE_transport_kinetics_ablations.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day13_PE_transport_kinetics_ablations.csv,ablation_or_metric_summary,45.8,2026-05-01 12:02,30,condition|kappa|tau_label|DC|AC|f_Hz|ablation|A_dt|avg_dt|Q_window_lo|Q_window_hi|Q_CC_end_mAh|window_margin_to_CC|x_n_Q20|x_p_Q20|x_n_CC_end|x_p_CC_end|sign|dtQ_min|dtQ_max|dtQ_range|dtQ_n_cross|dtQ_fraction_positive|dtQ_mean_early|dtQ_mean_mid|dtQ_mean_late|status|infeasible_reason|trajectory_class|trajectory_class_robust,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""ablation"", ""A_dt"", ""avg_dt"", ""Q_window_lo"", ""Q_window_hi"", ""Q_CC_end_mAh"", ""window_margin_to_CC"", ""x_n_Q20"", ""x_p_Q20"", ""x_n_CC_end"", ""x_p_CC_end"", ""sign"", ""dtQ_min"", ""dtQ_max"", ""dtQ_range"", ""dtQ_n_cross"", ""dtQ_fraction_positive"", ""dtQ_mean_early"", ""dtQ_mean_mid"", ""dtQ_mean_late"", ""status"", ""infeasible_reason"", ""trajectory_class"", ""trajectory_class_robust""]",True,"[""dtQ_min""]",False,[],False,[],False,[],False,[],False,[],False,[],"[""condition"", ""tau_label"", ""f_Hz"", ""ablation""]",summary_or_auxiliary_only,True,
day14_step5_delta_tQ_curves.csv,/Users/louislu/pybamm-dcac-superimposed/data/day14_step5_delta_tQ_curves.csv,dtQ_curve_like,1098.0,2026-05-02 13:11,16,condition|ablation|alpha|alpha_direction|DC_C|AC_C|f_Hz|Q_mAh|t_DC_min|t_DCAC_min|delta_t_min|Q_window_lo|Q_window_hi|Q_CC_end_DCAC|Q_CC_end_DC|status,"[""condition"", ""ablation"", ""alpha"", ""alpha_direction"", ""DC_C"", ""AC_C"", ""f_Hz"", ""Q_mAh"", ""t_DC_min"", ""t_DCAC_min"", ""delta_t_min"", ""Q_window_lo"", ""Q_window_hi"", ""Q_CC_end_DCAC"", ""Q_CC_end_DC"", ""status""]",True,"[""delta_t_min""]",True,"[""t_DC_min - t_DCAC_min""]",False,[],False,[],True,"[""Q_mAh""]",False,[],False,[],"[""condition"", ""ablation"", ""DC_C"", ""AC_C"", ""f_Hz""]",sign_auditable_from_time_pairs,True,
day14_step5_delta_tQ_curves_v1_wrong_phase.csv,/Users/louislu/pybamm-dcac-superimposed/data/day14_step5_delta_tQ_curves_v1_wrong_phase.csv,dtQ_curve_like,1094.3,2026-05-02 12:51,16,condition|ablation|alpha|alpha_direction|DC_C|AC_C|f_Hz|Q_mAh|t_DC_min|t_DCAC_min|delta_t_min|Q_window_lo|Q_window_hi|Q_CC_end_DCAC|Q_CC_end_DC|status,"[""condition"", ""ablation"", ""alpha"", ""alpha_direction"", ""DC_C"", ""AC_C"", ""f_Hz"", ""Q_mAh"", ""t_DC_min"", ""t_DCAC_min"", ""delta_t_min"", ""Q_window_lo"", ""Q_window_hi"", ""Q_CC_end_DCAC"", ""Q_CC_end_DC"", ""status""]",True,"[""delta_t_min""]",True,"[""t_DC_min - t_DCAC_min""]",False,[],False,[],True,"[""Q_mAh""]",False,[],False,[],"[""condition"", ""ablation"", ""DC_C"", ""AC_C"", ""f_Hz""]",sign_auditable_from_time_pairs,True,
day14_step5_delta_tQ_curves_v2_aligned_phase.csv,/Users/louislu/pybamm-dcac-superimposed/data/day14_step5_delta_tQ_curves_v2_aligned_phase.csv,dtQ_curve_like,1098.0,2026-05-02 13:11,16,condition|ablation|alpha|alpha_direction|DC_C|AC_C|f_Hz|Q_mAh|t_DC_min|t_DCAC_min|delta_t_min|Q_window_lo|Q_window_hi|Q_CC_end_DCAC|Q_CC_end_DC|status,"[""condition"", ""ablation"", ""alpha"", ""alpha_direction"", ""DC_C"", ""AC_C"", ""f_Hz"", ""Q_mAh"", ""t_DC_min"", ""t_DCAC_min"", ""delta_t_min"", ""Q_window_lo"", ""Q_window_hi"", ""Q_CC_end_DCAC"", ""Q_CC_end_DC"", ""status""]",True,"[""delta_t_min""]",True,"[""t_DC_min - t_DCAC_min""]",False,[],False,[],True,"[""Q_mAh""]",False,[],False,[],"[""condition"", ""ablation"", ""DC_C"", ""AC_C"", ""f_Hz""]",sign_auditable_from_time_pairs,True,
