path,name,suffix,size_kb,read_ok,n_rows,n_cols,columns,freq_like_cols,tau_like_cols,protocol_like_cols,param_like_cols,error
data/day17_step1_tau_ref_audit.csv,day17_step1_tau_ref_audit.csv,.csv,7.82,True,1.0,67.0,"[""param_set"", ""chem_tag"", ""Q_nom_Ah"", ""V_max_spec"", ""V_min_spec"", ""I_precharge_A_pybamm"", ""I_pulse_A_pybamm"", ""deltaI_A"", ""descriptor_primary_window_s"", ""uinf_window_start_s"", ""uinf_window_end_s"", ""tail_fit_start_s"", ""tail_fit_end_s"", ""V_init_charge"", ""V_after_precharge"", ""V_after_prerest"", ""V_pulse_start"", ""V_pulse_max"", ""V_pulse_end"", ""pulse_dV_mV"", ""V_relax_end"", ""relax_dV_mV"", ""pulse_hit_Vmax"", ""ton_ms"", ""toff_ms"", ""C_ms"", ""D_target_ms"", ""E_ms"", ""F_target_ms"", ""Uc_V"", ""Ud_V"", ""Ue_V"", ""Uf_V"", ""D_target_error_ms"", ""F_target_error_ms"", ""I0_KL_DAS60_A"", ""Ip_KL_DAS60_A"", ""R0_CD_Ohm"", ""R0_EF_Ohm"", ""R0_avg_Ohm"", ""Uinf_V"", ""Uinf_window_start_V"", ""Uinf_window_end_V"", ""Uinf_window_dV_mV"", ""Uinf_window_abs_dV_mV"", ""Uinf_window_class"", ""tau1_biexp"", ""tau2_biexp"", ""primary_R2"", ""primary_RMSE"", ""primary_window_s"", ""biexp_fit_status"", ""fit_low_quality"", ""tau1_secondary_60s"", ""tau2_secondary_60s"", ""secondary_R2"", ""tau_FG_eff"", ""t95_s"", ""t99_s"", ""recovery_99_reached"", ""G_ms"", ""Ug_V"", ""tau_tail"", ""tail_R2"", ""tail_fit_status"", ""status"", ""wall_time_s""]",[],"[""tau1_biexp"", ""tau2_biexp"", ""tau1_secondary_60s"", ""tau2_secondary_60s"", ""tau_FG_eff"", ""tau_tail""]",[],"[""param_set"", ""chem_tag""]",
data/day17_step1_tau_ref_descriptor_matrix.csv,day17_step1_tau_ref_descriptor_matrix.csv,.csv,0.89,True,1.0,8.0,"[""param_set"", ""chem_tag"", ""tau2_biexp"", ""tau2_secondary_60s"", ""tau_FG_eff"", ""t95_s"", ""t99_s"", ""tau_tail""]",[],"[""tau2_biexp"", ""tau2_secondary_60s"", ""tau_FG_eff"", ""tau_tail""]",[],"[""param_set"", ""chem_tag""]",
data/day18B_protocol_design_full.csv,day18B_protocol_design_full.csv,.csv,20.65,True,1.0,32.0,"[""param_set"", ""Q_nom_Ah"", ""tau95_eq_s"", ""V_max_cutoff"", ""V_min_cutoff"", ""protocol_label"", ""protocol_type"", ""phase_label"", ""current_formula"", ""DC_C"", ""AC_C"", ""kappa"", ""n_tau"", ""T_period_s"", ""f_anchor_Hz"", ""I_DC_A"", ""I_AC_A"", ""I_peak_charge_A"", ""I_peak_discharge_A"", ""I_peak_charge_C"", ""I_peak_discharge_C"", ""peak_current_constraint_margin_C"", ""dt_eval_max_s"", ""est_t_total_s"", ""est_output_points"", ""est_wall_s"", ""Q_sin_ripple_amp_Ah"", ""Q_lobe_per_period_Ah"", ""Q_lobe_Q_frac"", ""smoke_member"", ""feasibility_risk"", ""compute_risk""]",[],"[""tau95_eq_s"", ""n_tau""]","[""protocol_label"", ""protocol_type"", ""phase_label"", ""f_anchor_Hz""]","[""param_set""]",
data/day18B_protocol_design_smoke.csv,day18B_protocol_design_smoke.csv,.csv,7.72,True,1.0,32.0,"[""param_set"", ""Q_nom_Ah"", ""tau95_eq_s"", ""V_max_cutoff"", ""V_min_cutoff"", ""protocol_label"", ""protocol_type"", ""phase_label"", ""current_formula"", ""DC_C"", ""AC_C"", ""kappa"", ""n_tau"", ""T_period_s"", ""f_anchor_Hz"", ""I_DC_A"", ""I_AC_A"", ""I_peak_charge_A"", ""I_peak_discharge_A"", ""I_peak_charge_C"", ""I_peak_discharge_C"", ""peak_current_constraint_margin_C"", ""dt_eval_max_s"", ""est_t_total_s"", ""est_output_points"", ""est_wall_s"", ""Q_sin_ripple_amp_Ah"", ""Q_lobe_per_period_Ah"", ""Q_lobe_Q_frac"", ""smoke_member"", ""feasibility_risk"", ""compute_risk""]",[],"[""tau95_eq_s"", ""n_tau""]","[""protocol_label"", ""protocol_type"", ""phase_label"", ""f_anchor_Hz""]","[""param_set""]",
data/day18B_smoke_dtQ_resid_curves_long.csv.gz,day18B_smoke_dtQ_resid_curves_long.csv.gz,.csv.gz,40.77,True,1.0,9.0,"[""pair_id"", ""param_set"", ""protocol_label"", ""DC_ref_protocol"", ""n_tau"", ""Q_Ah"", ""dt_model_s"", ""dt_geom_s"", ""dt_resid_s""]",[],"[""n_tau""]","[""protocol_label"", ""DC_ref_protocol""]","[""param_set""]",
data/day18B_smoke_dtQ_resid_summary.csv,day18B_smoke_dtQ_resid_summary.csv,.csv,7.3,True,1.0,27.0,"[""pair_id"", ""param_set"", ""protocol_label"", ""DC_ref_protocol"", ""n_tau"", ""DC_C"", ""AC_C"", ""Q_window_lo_Ah"", ""Q_window_hi_Ah"", ""n_grid"", ""n_valid"", ""dt_model_mean_s"", ""dt_geom_mean_s"", ""dt_resid_mean_s"", ""dt_resid_max_abs_s"", ""dt_resid_rms_s"", ""dt_geom_max_abs_s"", ""dt_model_max_abs_s"", ""dt_resid_topology"", ""dt_resid_n_cross"", ""numerical_floor_s"", ""dt_eval_s"", ""Q_to_Vmax_DC_Ah"", ""Q_to_Vmax_DCAC_Ah"", ""Q_to_Vmax_shift_pct"", ""feasibility_verdict"", ""verdict""]",[],"[""n_tau""]","[""protocol_label"", ""DC_ref_protocol""]","[""param_set""]",
data/day18B_smoke_metadata.csv,day18B_smoke_metadata.csv,.csv,13.05,True,1.0,40.0,"[""param_set"", ""protocol_label"", ""protocol_type"", ""phase_label"", ""current_formula"", ""DC_C"", ""AC_C"", ""n_tau"", ""tau95_eq_s"", ""f_anchor_Hz"", ""T_period_s"", ""dt_eval_s"", ""Q_nom_Ah"", ""I_DC_A"", ""I_AC_A"", ""t_end_s"", ""termination_raw"", ""termination_class"", ""feasibility_verdict"", ""V_init_V"", ""V_min_obs"", ""V_max_obs"", ""V_min_cutoff"", ""V_max_cutoff"", ""frac_below_Vmin"", ""frac_above_Vmax"", ""Q_to_Vmax_Ah"", ""t_to_Vmax_s"", ""Q_net_end_Ah"", ""wall_s"", ""trajectory_npz"", ""error"", ""I_initial_A"", ""I_first_nonzero_A"", ""I_min_first_period_A"", ""I_max_first_period_A"", ""I_initial_C"", ""I_first_nonzero_C"", ""I_min_first_period_C"", ""I_max_first_period_C""]",[],"[""n_tau"", ""tau95_eq_s""]","[""protocol_label"", ""protocol_type"", ""phase_label"", ""f_anchor_Hz""]","[""param_set""]",
data/day18_step0_frequency_rebasing_design_long.csv,day18_step0_frequency_rebasing_design_long.csv,.csv,5.01,True,1.0,15.0,"[""param_set"", ""n_tau"", ""n_tau_tag"", ""tau_label_display"", ""tau_FG_eff_s"", ""tau2_secondary_60s_s"", ""tau2_biexp_s"", ""tau_tail_s"", ""f_label_Hz"", ""f_native_Hz"", ""f_sens_Hz"", ""ratio_native_over_label"", ""ratio_sensitivity_over_label"", ""outlier_policy_tauFG_activated"", ""outlier_policy_basis""]",[],"[""n_tau"", ""n_tau_tag"", ""tau_label_display"", ""tau_FG_eff_s"", ""tau2_secondary_60s_s"", ""tau2_biexp_s"", ""tau_tail_s"", ""outlier_policy_tauFG_activated""]","[""tau_label_display"", ""f_label_Hz"", ""ratio_native_over_label"", ""ratio_sensitivity_over_label""]","[""param_set""]",
data/day18_step0_frequency_rebasing_design_table.csv,day18_step0_frequency_rebasing_design_table.csv,.csv,2.77,True,1.0,18.0,"[""param_set"", ""tau_FG_eff_s"", ""tau2_secondary_60s_s"", ""tau2_biexp_s"", ""tau_tail_s"", ""ratio_native_over_label"", ""ratio_sensitivity_over_label"", ""f_label_0p1tau_Hz"", ""f_native_0p1tau_Hz"", ""f_sens_0p1tau_Hz"", ""f_label_1tau_Hz"", ""f_native_1tau_Hz"", ""f_sens_1tau_Hz"", ""f_label_10tau_Hz"", ""f_native_10tau_Hz"", ""f_sens_10tau_Hz"", ""outlier_policy_tauFG_activated"", ""outlier_policy_basis""]",[],"[""tau_FG_eff_s"", ""tau2_secondary_60s_s"", ""tau2_biexp_s"", ""tau_tail_s"", ""f_label_0p1tau_Hz"", ""f_native_0p1tau_Hz"", ""f_sens_0p1tau_Hz"", ""f_label_1tau_Hz"", ""f_native_1tau_Hz"", ""f_sens_1tau_Hz"", ""f_label_10tau_Hz"", ""f_native_10tau_Hz"", ""f_sens_10tau_Hz"", ""outlier_policy_tauFG_activated""]","[""ratio_native_over_label"", ""ratio_sensitivity_over_label"", ""f_label_0p1tau_Hz"", ""f_label_1tau_Hz"", ""f_label_10tau_Hz""]","[""param_set""]",
data/day18_step0_outlier_policy_status.json,day18_step0_outlier_policy_status.json,.json,0.45,True,1.0,13.0,"[""source_csv"", ""outlier_policy_basis"", ""outlier_policy_tauFG_activated"", ""is_min"", ""gap_to_next_s"", ""median_in_cluster_gap_s"", ""gap_ratio"", ""cluster_max_min"", ""all8_max_min"", ""concentration"", ""thresholds"", ""n_sets"", ""n_ecker_matched""]",[],"[""outlier_policy_tauFG_activated""]",[],"[""n_sets""]",
