pair_idx,source_file,source_json,dcac_case_id,dcac_condition,dc_case_id,dc_condition,DC_C,AC_C,tau_label,f_Hz,phase,kappa_used,n,n_finite,dt_resid_median_s,dt_resid_mean_s,dt_resid_median_abs_s,dt_resid_mean_abs_s,dt_resid_p95_abs_s,dt_resid_max_abs_s,frac_abs_gt_1s,frac_abs_gt_10s,frac_abs_gt_60s,max_resid_Q_mAh,max_resid_Q_frac_window,max_resid_is_edge,dt_model_median_s,dt_geom_median_s,resid_over_geom_median,resid_over_geom_p95,resid_over_geom_max,sign_topology,taxonomy,stable_p95_abs_s,stable_max_abs_s,stable_frac_gt_10s,stable_region_verdict,cell5B_residual_class
0,results_day8_x2_dfn_mj1freq_v2.json,data/results_day8_x2_dfn_mj1freq_v2.json,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,DC0.10C_baseline,0.1C_DC,0.1,0.9,1τ,0.0143,discharge_first,8.999999125972106,80,80,2.337113086766294,10.795821935498584,2.337113086766294,10.843944205349482,61.75453437517772,62.70167939428211,0.75,0.15,0.125,3234.861509256946,0.7848101265822784,False,-16.806135450276088,-28.21358372757095,0.10284278301207574,1.6986938439783572,80.0959364702813,mixed,mixed_or_intermediate,61.90176401860426,62.70167939428211,0.1388888888888889,stable_intermediate_or_spiky,inspect_residual
1,results_day8_x2_dfn_mj1freq_v2.json,data/results_day8_x2_dfn_mj1freq_v2.json,DC0.10C+AC0.20C_f0.01430Hz,0.1+0.2C 1τ,DC0.10C_baseline,0.1C_DC,0.1,0.2,1τ,0.0143,discharge_first,2.00000000228405,80,80,-0.21559058479920165,-0.462825098310816,0.7581674366792868,1.3326011587755715,1.9316924225620822,38.69735860647961,0.3375,0.0125,0.0,1680.638140917098,0.31645569620253167,False,-17.661234514405805,-16.894584271740314,0.04280471387737553,18.299179048021475,29.32055475454395,mixed,isolated_spike,1.9439703376303443,38.69735860647961,0.013888888888888888,stable_weak,inspect_residual
2,results_day8_x2_dfn_mj1freq_v2.json,data/results_day8_x2_dfn_mj1freq_v2.json,DC0.20C+AC0.30C_f0.01430Hz,0.2+0.3C 1τ,DC0.20C_baseline,0.2C_DC,0.2,0.3,1τ,0.0143,discharge_first,1.49999996491397,80,80,-1.1380843208792155,-3.4223112203086714,1.1380843208792155,3.4223112203086714,31.944605073572152,36.149377104768064,0.5875,0.0625,0.0,3593.9709541602056,0.7848101265822784,False,-18.31508208388186,-14.5672264134123,0.07618648855648837,31.092219411710513,291.09521552791585,negative_only,mixed_or_intermediate,32.44344930158431,36.149377104768064,0.06944444444444445,stable_intermediate_or_spiky,inspect_residual
3,results_day8_x2_dfn_mj1freq_v2.json,data/results_day8_x2_dfn_mj1freq_v2.json,DC0.20C+AC0.30C_f0.00143Hz,0.2+0.3C 10τ,DC0.20C_baseline,0.2C_DC,0.2,0.3,10τ,0.00143,discharge_first,1.499991146466659,80,80,1.0789683641453394,1.1320807795244334,1.0789683641453394,1.135892975228468,2.0520936317286216,2.660818589016344,0.5875,0.0,0.0,2529.8692146007234,0.5443037974683544,False,-140.71702366954423,-141.89895918265938,0.00651540552460395,0.5746394651771813,7.205753347421826,positive_only,weak_distributed_residual,2.0566516049732853,2.660818589016344,0.0,stable_weak,small_residual
4,results_day8_x2_dfn_mj1freq_v2.json,data/results_day8_x2_dfn_mj1freq_v2.json,DC0.20C+AC0.30C_f0.00041Hz,0.2+0.3C 34.8τ,DC0.20C_baseline,0.2C_DC,0.2,0.3,34.8τ,0.00041,discharge_first,1.4999781580533196,80,80,1.3916071309449762,1.5794103156907326,1.3916071309449762,1.5863557055754811,2.6950512244177833,14.094051680311168,0.725,0.0125,0.0,3424.2588532623695,0.7848101265822784,False,-515.9833856138898,-517.4081811405617,0.002556915834591421,0.08668609428572481,18.616053899615345,positive_only,isolated_spike,2.875860225341695,14.094051680311168,0.013888888888888888,stable_weak,inspect_residual
5,results_day8_x2_dfn_mj1freq_v2.json,data/results_day8_x2_dfn_mj1freq_v2.json,DC0.20C+AC0.80C_f0.14300Hz,0.2+0.8C 0.1τ,DC0.20C_baseline,0.2C_DC,0.2,0.8,0.1τ,0.143,discharge_first,3.9999999928651633,80,80,-0.38557335112182045,-2.1321916131111975,0.38557335112182045,2.1478270582244505,6.185472952395321,6.355616331040437,0.375,0.0,0.0,4043.374540710295,1.0,True,-4.393251718774991,-2.251032684240272,0.13464238608259416,92.79412992209708,1865.2614870514267,negative_only,edge_or_boundary_artifact,5.953340605287486,6.2332822766747995,0.0,stable_weak,small_residual
6,results_day8_x2_dfn_mj1freq_v2.json,data/results_day8_x2_dfn_mj1freq_v2.json,DC0.20C+AC0.80C_f0.01430Hz,0.2+0.8C 1τ,DC0.20C_baseline,0.2C_DC,0.2,0.8,1τ,0.0143,discharge_first,4.000000125525691,80,80,0.1882872975068039,0.09634807733863651,0.309947220745471,0.3489114540817283,0.6494533049928122,2.453873959795601,0.0375,0.0,0.0,3961.8787002550857,1.0,True,-22.121794967533788,-22.28764670728151,0.011208541221496077,2.3289182043850007,61.19255623416259,negative_only,null_residual,0.5845492205854045,1.4958203353235149,0.0,stable_null,small_residual
7,results_day8_x2_dfn_mj1freq_v2.json,data/results_day8_x2_dfn_mj1freq_v2.json,DC0.30C+AC0.70C_f0.14300Hz,0.3+0.7C 0.1τ,DC0.30C_baseline,0.3C_DC,0.3,0.7,0.1τ,0.143,discharge_first,2.3333333338798012,80,80,-2.002759325146144,-3.125968895977833,2.002759325146144,3.125968895977833,6.375801257957756,6.566143345051387,0.5875,0.0,0.0,3960.368021576586,1.0,True,-4.96919589859931,-1.8562270057236674,0.764651103535573,336.63172399329517,12569.799425216235,negative_only,edge_or_boundary_artifact,6.349099514180762,6.410671046449352,0.0,stable_weak,small_residual
8,results_day8_x2_dfn_mj1freq_v2.json,data/results_day8_x2_dfn_mj1freq_v2.json,DC0.30C+AC0.70C_f0.01430Hz,0.3+0.7C 1τ,DC0.30C_baseline,0.3C_DC,0.3,0.7,1τ,0.0143,discharge_first,2.333333503914057,80,80,-0.7415005680572904,-2.557399871235847,0.7415005680572904,2.557399871235847,4.866514952887881,43.62672367396044,0.425,0.0375,0.0,3759.574387925459,0.9620253164556962,True,-19.736464179165523,-17.753227123931424,0.04015693598481307,21.701450587218723,923.6040815418313,negative_only,isolated_spike,4.127501306157641,43.17226183279263,0.027777777777777776,stable_weak,inspect_residual
9,results_day8_x2_dfn_mj1freq_v2.json,data/results_day8_x2_dfn_mj1freq_v2.json,DC0.30C+AC0.70C_f0.00143Hz,0.3+0.7C 10τ,DC0.30C_baseline,0.3C_DC,0.3,0.7,10τ,0.00143,discharge_first,2.3334230637871114,80,80,-0.057553656965865146,-0.1846602215183367,0.3051142512467777,0.37081596329032324,0.8239641477820894,2.5444692884748292,0.0375,0.0,0.0,3210.8211525994357,0.8481012658227848,False,-180.12182652943318,-180.18359882983452,0.0014238874032712115,0.11830752902068907,9.317679551281847,negative_only,null_residual,0.7839433624043068,2.5444692884748292,0.0,stable_null,small_residual
