param_set,chem_tag,condition,pair_role,DC_C,AC_C,tau_label,phase,evidence_type,N_Q,n_finite,n_nonfinite,Q_nom_Ah,Q_low_Ah,Q_hi_Ah,window_compatibility_refined,capacity_scale_warning,I_DC_A_used,I_AC_A_used,f_Hz_used,kappa_used,dt_model_mean_s,dt_model_median_s,dt_model_min_s,dt_model_max_s,dt_model_sign_topology,dt_geom_mean_s,dt_geom_median_s,dt_geom_min_s,dt_geom_max_s,dt_geom_sign_topology,dt_resid_mean_s,dt_resid_median_s,dt_resid_min_s,dt_resid_max_s,dt_resid_mean_abs_s,dt_resid_median_abs_s,dt_resid_p95_abs_s,dt_resid_max_abs_s,dt_resid_sign_topology,resid_over_geom_median,resid_over_geom_p95,resid_over_geom_max,resid_over_model_median,resid_over_model_p95,resid_over_model_max,residual_class,taxonomy,stable_p95_abs_s,stable_max_abs_s,stable_frac_gt_10s,stable_region_verdict,t_max_s_geom,Q_DC_final_mAh_geom,Q_DCAC_final_mAh_geom,n_t_points_geom,fp_mode,dt_eval_geom_s
Ai2020,Enertech LCO/graphite,DC_0p2C,DC_sanity,0.2,0.0,0.0,dc_sanity_no_ac,stored_first_passage_residual_audit,100,100,0,2.28,0.1139999999999999,2.24435486457328,compatible,False,0.45599999999999996,0.0,,0.0,0.0,0.0,0.0,0.0,near_zero,0.0,0.0,0.0,0.0,near_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,near_zero,,,,,,,dc_sanity_reference,null_residual,0.0,0.0,0.0,stable_null,,,,,raw,0.1
Ai2020,Enertech LCO/graphite,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,discharge_first,stored_first_passage_residual_audit,100,100,0,2.28,0.1139999999999999,2.119968450639488,compatible,False,0.45599999999999996,1.14,0.014338283161432014,2.5,-24.71247932029853,-24.108270718855238,-51.25349185410414,-1.9428668978530368,negative_only,-19.56966124934663,-19.104661130447766,-43.14891495927259,-0.001070258080289932,negative_only,-5.142818070951897,-1.9057151295364747,-49.51971176425832,-0.24861378979653637,5.142818070951897,1.9057151295364747,46.11344633183835,49.51971176425832,negative_only,0.08818151482371848,184.6366786051408,43668.5195851715,0.08103146994874766,0.9945795971037783,0.9999771007327423,inspect_residual,mixed_or_intermediate,45.55930750950185,49.51971176425832,0.06666666666666667,stable_intermediate_or_spiky,25104.889547046572,3179.9540000108905,3179.8498775885873,251050.0,raw,0.1
Ai2020,Enertech LCO/graphite,DC0p2_AC0p5_10tau,DCAC,0.2,0.5,10.0,discharge_first,stored_first_passage_residual_audit,100,100,0,2.28,0.1139999999999999,2.1023891813413873,compatible,False,0.45599999999999996,1.14,0.0014338283161432013,2.5,-187.97926140930628,-181.51302592416573,-418.07221647347706,0.9826378790130548,negative_only,-189.11234270386595,-182.27909048656852,-418.62065377338877,-1.7536410764496395,negative_only,1.1330812945597069,1.2030477668695312,-0.43561902514738904,6.180656469419773,1.1430129764069494,1.2030477668695312,2.1453896668461296,6.180656469419773,positive_only,0.004841734724778451,0.7580169656635919,1.5603415044328621,0.0048652948800846745,2.7953105282125756,11.551341453562749,small_residual,weak_distributed_residual,2.378990732837154,6.180656469419773,0.0,stable_weak,24896.713989569067,3153.5946666774444,3107.108468188318,248969.0,raw,0.1
Ai2020,Enertech LCO/graphite,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,discharge_first,stored_first_passage_residual_audit,100,100,0,2.28,0.1139999999999999,2.017151208814094,compatible,False,0.45599999999999996,2.28,0.014338283161432014,5.0,-38.13953884432236,-38.06121017779901,-74.33314641444849,-2.9067020179306837,negative_only,-23.620405674924104,-22.893701076333855,-51.8346486761061,-0.009811072164666257,negative_only,-14.519133169398257,-3.531597736403455,-60.903282834897254,-0.20701018897011636,14.519133169398257,3.531597736403455,59.64914861771167,60.903282834897254,negative_only,0.13507958208823817,64.61408068061085,5705.432407206453,0.1190040184808705,0.9823510965820552,0.9998247591614794,inspect_residual,distributed_residual_requires_inspection,59.45400532073154,60.903282834897254,0.2111111111111111,stable_distributed_nonzero,23887.316946482697,3025.737333343564,3011.680000247354,238875.0,raw,0.1
Ai2020,Enertech LCO/graphite,DC0p2_AC1p0_10tau,DCAC,0.2,1.0,10.0,discharge_first,stored_first_passage_residual_audit,100,100,0,2.28,0.1139999999999999,1.9748226801151865,compatible,False,0.45599999999999996,2.28,0.0014338283161432013,5.0,-245.9245379110345,-240.01817269250114,-521.1462329671631,-1.6225296123225237,negative_only,-234.8372574236681,-233.2850594584379,-507.97119757060864,-0.4863327679413487,negative_only,-11.087280487366405,-0.6633406560358708,-516.487643300723,0.030064864518408285,11.08800783343793,0.6633406560358708,2.717204338577357,516.487643300723,negative_only,0.002394943110150436,0.31383629840206806,112.50951313587882,0.0023892172139850483,0.23740480848989082,0.9911901657193883,inspect_residual,isolated_spike,2.430439659693,516.487643300723,0.022222222222222223,stable_weak,23386.058053995628,2962.239333343293,2823.0250324902577,233862.0,raw,0.1
Chen2020,LG M50 lineage,DC_0p2C,DC_sanity,0.2,0.0,0.0,dc_sanity_no_ac,stored_first_passage_residual_audit,100,100,0,5.0,0.25,4.5094729376286455,compatible,False,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,near_zero,0.0,0.0,0.0,0.0,near_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,near_zero,,,,,,,dc_sanity_reference,null_residual,0.0,0.0,0.0,stable_null,,,,,raw,0.1
Chen2020,LG M50 lineage,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,discharge_first,stored_first_passage_residual_audit,100,100,0,5.0,0.25,3.9311565937805297,compatible,False,1.0,2.5,0.014338283161432014,2.5,-29.339367138843745,-28.838460546816805,-56.24787805368942,-2.9186314535182873,negative_only,-19.075737772132552,-18.417006944905552,-42.70172239930071,-0.0002622412348500802,negative_only,-10.263629366711193,-3.7192490168717995,-52.68669680556741,-0.5667416528215199,10.263629366711193,3.7192490168717995,50.883157845737244,52.68669680556741,negative_only,0.16390232033577007,131.1871305341321,181260.00682284634,0.14080301161154096,0.9923610382653122,0.9999944830936475,inspect_residual,edge_or_boundary_artifact,50.347196699650475,52.37767550328499,0.15555555555555556,stable_intermediate_or_spiky,21228.24560641486,5896.750000000001,5883.510365741844,212284.0,raw,0.1
Chen2020,LG M50 lineage,DC0p2_AC0p5_10tau,DCAC,0.2,0.5,10.0,discharge_first,stored_first_passage_residual_audit,100,100,0,5.0,0.25,3.800601214089117,compatible,False,1.0,2.5,0.0014338283161432013,2.5,-195.41135723924452,-190.75452466503927,-437.0431698259217,-3.130748532395046,negative_only,-189.74235867647678,-181.53101929127797,-419.7458776892836,-0.24526127426543098,negative_only,-5.668998562767739,-0.9092708800108085,-428.0588333294254,0.007438566547762093,5.669147334098694,0.9092708800108085,3.4508609043927407,428.0588333294254,negative_only,0.004224926198729622,0.9384567568186056,47.645013462747976,0.004207141557444681,0.4589901208853857,0.9794429083514224,inspect_residual,isolated_spike,3.188495997045356,428.0588333294254,0.022222222222222223,stable_weak,20523.24655608123,5700.916666666668,5554.741151581818,205234.0,raw,0.1
Chen2020,LG M50 lineage,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,discharge_first,stored_first_passage_residual_audit,100,100,0,5.0,0.25,3.617657914150685,compatible,False,1.0,5.0,0.014338283161432014,5.0,-33.46212709776478,-32.695640494123836,-64.45144211184197,-3.4162856641178223,negative_only,-23.054628471973764,-22.488447326631558,-51.56957336692858,-0.003207882427432196,negative_only,-10.407498625791014,-2.4018515404577556,-58.43078031704317,-0.4364837051575705,10.407498625791014,2.4018515404577556,57.37057368365422,58.43078031704317,negative_only,0.09524492744410877,85.73059708265218,16763.33589554053,0.08695660232869257,0.9883449005916668,0.9999403495607443,inspect_residual,mixed_or_intermediate,57.555523548065686,58.43078031704317,0.15555555555555556,stable_intermediate_or_spiky,19535.3527364137,5426.5,5423.318333344352,195355.0,raw,0.1
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC_0p2C,DC_sanity,0.2,0.0,0.0,dc_sanity_no_ac,stored_first_passage_residual_audit,100,100,0,0.15625,0.0078125,0.157225620800732,compatible_with_capacity_scale_warning,True,0.03125,0.0,,0.0,0.0,0.0,0.0,0.0,near_zero,0.0,0.0,0.0,0.0,near_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,near_zero,,,,,,,dc_sanity_reference,null_residual,0.0,0.0,0.0,stable_null,,,,,raw,0.1
