param_set,chem_tag,condition,pair_role,DC_C,AC_C,tau_label,Q_nom_Ah,Q_low_Ah,Q_hi_Ah,n_rows,n_finite_core,n_nonfinite_core,Q_min_Ah,Q_max_Ah,Q_span_Ah,Q_grid_unique,Q_sorted_if_sorted,Q_inside_window_all,Q_window_valid_all,Q_low_Ah_unique,Q_hi_Ah_unique,Q_nom_Ah_unique,Q_hi_gt_Q_low,Q_hi_le_Q_nom,dtQ_sign_err_max_abs_s,dtQ_sign_err_median_s,dtQ_internal_sign_ok,t_DC_median_s,t_protocol_median_s,dtQ_median_s,provenance_confirms_shared_window,notebook_window_cells_found,window_compatibility
Ai2020,Enertech LCO/graphite,DC_0p2C,DC_sanity,0.2,0.0,0.0,2.28,0.1139999999999999,2.24435486457328,100,100,0,0.1139999999999999,2.24435486457328,2.13035486457328,100,True,True,True,1,1,1,True,True,0.0,0.0,True,9309.295518052417,9309.295518052417,0.0,True,6,compatible
Ai2020,Enertech LCO/graphite,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,2.28,0.1139999999999999,2.119968450639488,100,100,0,0.1139999999999999,2.119968450639488,2.005968450639488,100,True,True,True,1,1,1,True,True,3.637978807091713e-12,0.0,True,8818.296515682188,8843.495098416575,-24.108270718855238,True,6,compatible
Ai2020,Enertech LCO/graphite,DC0p2_AC0p5_10tau,DCAC,0.2,0.5,10.0,2.28,0.1139999999999999,2.1023891813413873,100,100,0,0.1139999999999999,2.1023891813413873,1.9883891813413874,100,True,True,True,1,1,1,True,True,3.652189661806915e-12,0.0,True,8748.904663189682,8930.864777226932,-181.51302592416573,True,6,compatible
Ai2020,Enertech LCO/graphite,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,2.28,0.1139999999999999,2.017151208814094,100,100,0,0.1139999999999999,2.017151208814094,1.9031512088140943,100,True,True,True,1,1,1,True,True,3.637978807091713e-12,0.0,True,8412.438982160895,8433.525184705522,-38.06121017779901,True,6,compatible
Ai2020,Enertech LCO/graphite,DC0p2_AC1p0_10tau,DCAC,0.2,1.0,10.0,2.28,0.1139999999999999,1.9748226801151865,100,100,0,0.1139999999999999,1.9748226801151865,1.8608226801151866,100,True,True,True,1,1,1,True,True,3.637978807091713e-12,0.0,True,8245.352684665204,8317.691800295754,-240.01817269250114,True,6,compatible
Chen2020,LG M50 lineage,DC_0p2C,DC_sanity,0.2,0.0,0.0,5.0,0.25,4.5094729376286455,100,100,0,0.25,4.5094729376286455,4.2594729376286455,100,True,True,True,1,1,1,True,True,0.0,0.0,True,8567.051287731561,8567.051287731561,0.0,True,6,compatible
Chen2020,LG M50 lineage,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,5.0,0.25,3.9311565937805297,100,100,0,0.25,3.9311565937805297,3.6811565937805297,100,True,True,True,1,1,1,True,True,1.8207657603852567e-12,0.0,True,7526.081868804954,7556.361932128353,-28.838460546816805,True,6,compatible
Chen2020,LG M50 lineage,DC0p2_AC0p5_10tau,DCAC,0.2,0.5,10.0,5.0,0.25,3.800601214089117,100,100,0,0.25,3.800601214089117,3.550601214089117,100,True,True,True,1,1,1,True,True,1.8189894035458565e-12,0.0,True,7291.08218536041,7518.632303080452,-190.75452466503927,True,6,compatible
Chen2020,LG M50 lineage,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,5.0,0.25,3.617657914150685,100,100,0,0.25,3.617657914150685,3.367657914150685,100,True,True,True,1,1,1,True,True,3.637978807091713e-12,0.0,True,6961.784245471232,6998.7205131177325,-32.695640494123836,True,6,compatible
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC_0p2C,DC_sanity,0.2,0.0,0.0,0.15625,0.0078125,0.157225620800732,100,100,0,0.0078125,0.157225620800732,0.149413120800732,100,True,True,True,1,1,1,True,False,0.0,0.0,True,9506.195758122165,9506.195758122165,0.0,True,6,needs_review_Q_hi_exceeds_Q_nom
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,0.15625,0.0078125,0.1531774211695701,100,100,0,0.0078125,0.1531774211695701,0.1453649211695701,100,True,True,True,1,1,1,True,True,3.637978807091713e-12,0.0,True,9273.019459367239,9295.764369264483,-19.585127843707596,True,6,compatible
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC0p2_AC0p5_10tau,DCAC,0.2,0.5,10.0,0.15625,0.0078125,0.1539835988555628,100,100,0,0.0078125,0.1539835988555628,0.1461710988555628,100,True,True,True,1,1,1,True,True,3.637978807091713e-12,0.0,True,9319.45529408042,9591.752317915201,-187.86401427481223,True,6,compatible
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,0.15625,0.0078125,0.1492627781344361,100,100,0,0.0078125,0.1492627781344361,0.1414502781344361,100,True,True,True,1,1,1,True,True,3.637978807091713e-12,0.0,True,9047.536020543519,9060.479078273589,-26.389913488400907,True,6,compatible
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC0p2_AC1p0_10tau,DCAC,0.2,1.0,10.0,0.15625,0.0078125,0.1471794926170158,100,100,0,0.0078125,0.1471794926170158,0.1393669926170158,100,True,True,True,1,1,1,True,True,3.637978807091713e-12,0.0,True,8927.538774740111,9010.977673036037,-230.32842309710804,True,6,compatible
Marquis2019,Kokam-Marquis LCO/graphite,DC_0p2C,DC_sanity,0.2,0.0,0.0,0.680616,0.0340308,0.7911801425811928,100,100,0,0.0340308,0.7911801425811928,0.7571493425811928,100,True,True,True,1,1,1,True,False,0.0,0.0,True,10912.024523711945,10912.024523711945,0.0,True,6,needs_review_Q_hi_exceeds_Q_nom
Marquis2019,Kokam-Marquis LCO/graphite,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,0.680616,0.0340308,0.7695755964673379,100,100,0,0.0340308,0.7695755964673379,0.7355447964673378,100,True,True,True,1,1,1,True,False,3.637978807091713e-12,0.0,True,10626.340797462937,10659.19878531008,-31.542249046908182,True,6,needs_review_Q_hi_exceeds_Q_nom
Marquis2019,Kokam-Marquis LCO/graphite,DC0p2_AC0p5_10tau,DCAC,0.2,0.5,10.0,0.680616,0.0340308,0.7615450380126656,100,100,0,0.0340308,0.7615450380126656,0.7275142380126656,100,True,True,True,1,1,1,True,False,3.637978807091713e-12,0.0,True,10520.150190583214,10700.618066404684,-197.2717510839525,True,6,needs_review_Q_hi_exceeds_Q_nom
Marquis2019,Kokam-Marquis LCO/graphite,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,0.680616,0.0340308,0.7548440086769249,100,100,0,0.0340308,0.7548440086769249,0.7208132086769249,100,True,True,True,1,1,1,True,False,3.637978807091713e-12,0.0,True,10431.540366509631,10483.76766464824,-42.2815768079015,True,6,needs_review_Q_hi_exceeds_Q_nom
Marquis2019,Kokam-Marquis LCO/graphite,DC0p2_AC1p0_10tau,DCAC,0.2,1.0,10.0,0.680616,0.0340308,0.7431145236058962,100,100,0,0.0340308,0.7431145236058962,0.7090837236058962,100,True,True,True,1,1,1,True,False,3.637978807091713e-12,0.0,True,10276.437686526706,10394.601412802924,-239.35143188192342,True,6,needs_review_Q_hi_exceeds_Q_nom
Mohtat2020,graphite/NMC532,DC_0p2C,DC_sanity,0.2,0.0,0.0,5.0,0.25,4.500067034976744,100,100,0,0.25,4.500067034976744,4.250067034976744,100,True,True,True,1,1,1,True,True,0.0,0.0,True,8550.12066295814,8550.12066295814,0.0,True,6,compatible
Mohtat2020,graphite/NMC532,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,5.0,0.25,4.340969167982452,100,100,0,0.25,4.340969167982452,4.090969167982452,100,True,True,True,1,1,1,True,True,3.637978807091713e-12,0.0,True,8263.744502368412,8285.812563859241,-22.136916055305846,True,6,compatible
Mohtat2020,graphite/NMC532,DC0p2_AC0p5_10tau,DCAC,0.2,0.5,10.0,5.0,0.25,4.354194097097451,100,100,0,0.25,4.354194097097451,4.104194097097451,100,True,True,True,1,1,1,True,True,3.637978807091713e-12,0.0,True,8287.549374775412,8325.221465859588,-202.79374154127947,True,6,compatible
Mohtat2020,graphite/NMC532,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,5.0,0.25,4.196730731965823,100,100,0,0.25,4.196730731965823,3.9467307319658227,100,True,True,True,1,1,1,True,True,1.8189894035458565e-12,0.0,True,8004.115317538482,8017.994069046466,-35.52602173967637,True,6,compatible
NCA_Kim2011,graphite/NCA,DC_0p2C,DC_sanity,0.2,0.0,0.0,0.43,0.0215,0.4472301451933962,100,100,0,0.0215,0.4472301451933962,0.4257301451933962,100,True,True,True,1,1,1,True,False,0.0,0.0,True,9810.630945908286,9810.630945908286,0.0,True,6,needs_review_Q_hi_exceeds_Q_nom
