notebook_id,task_label,file,path,size_kb,mtime,read_ok,n_rows,n_cols,columns,phase_like_cols,dt_like_cols,protocol_like_cols,error
nb14,Day11 plating ablation,results_day11_plating_dt_Q80.csv,data/results_day11_plating_dt_Q80.csv,4.07,2026-04-29 12:48,True,24,14,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""t_Q80_DCAC_min"", ""t_Q80_DC_ref_min"", ""dt_Q80_plating_min"", ""dt_Q80_X5A_min"", ""dt_Q80_exp_min"", ""CC_time_min"", ""plating_loss_mAh"", ""status""]",[],"[""dt_Q80_plating_min"", ""dt_Q80_X5A_min"", ""dt_Q80_exp_min""]","[""condition""]",
nb14,Day11 plating ablation,results_day11_metric_stability_scan.csv,data/results_day11_metric_stability_scan.csv,5.16,2026-04-29 13:06,True,24,16,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""X5A_Q80"", ""X5A_Q40"", ""X5A_Q90"", ""X5A_range"", ""X5A_stable"", ""pl_Q80"", ""pl_Q40"", ""pl_Q90"", ""pl_range"", ""pl_stable""]",[],[],"[""condition""]",
nb14,Day11 plating ablation,results_day11_curve_metrics.csv,data/results_day11_curve_metrics.csv,7.33,2026-04-29 15:35,True,24,22,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""X5A_avg_dt"", ""X5A_A_dt"", ""X5A_n_cross"", ""X5A_range"", ""X5A_CC_max_dcac"", ""X5A_CC_max_dc"", ""X5A_window_hi"", ""pl_avg_dt"", ""pl_A_dt"", ""pl_n_cross"", ""pl_range"", ""pl_CC_max_dcac"", ""pl_CC_max_dc"", ""pl_window_hi"", ""avg_dt_diff_pl_minus_X5A"", ""meaningful_flip""]",[],"[""X5A_avg_dt"", ""X5A_A_dt"", ""pl_avg_dt"", ""pl_A_dt"", ""avg_dt_diff_pl_minus_X5A""]","[""condition""]",
nb15,Day12 OCP scan,results_day12_OCP_ablations.csv,data/results_day12_OCP_ablations.csv,19.17,2026-04-30 10:55,True,96,21,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""ablation"", ""A_dt"", ""avg_dt"", ""Q_window_lo"", ""Q_window_hi"", ""Q_CC_min_ablation"", ""window_exceeds_ablation_CC"", ""n_valid_points"", ""x_n_Q20"", ""x_n_Q80_if_in_CC"", ""Q80_in_CC"", ""x_n_CC_end"", ""sign"", ""sign_baseline"", ""flipped_vs_baseline""]",[],"[""A_dt"", ""avg_dt""]","[""condition"", ""ablation"", ""Q_CC_min_ablation"", ""window_exceeds_ablation_CC""]",
nb15,Day12 OCP scan,results_day12_step0_A_dt_CC_only.csv,data/results_day12_step0_A_dt_CC_only.csv,4.41,2026-04-30 09:53,True,24,17,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""Q_CC_min_mAh"", ""Q_window_lo"", ""Q_window_hi"", ""avg_dt_OLD_Day11"", ""avg_dt_CC_only_NEW"", ""A_dt_CC_only_NEW"", ""n_cross"", ""range_dt"", ""sign_OLD"", ""sign_NEW"", ""sign_changed""]",[],"[""avg_dt_OLD_Day11"", ""avg_dt_CC_only_NEW"", ""A_dt_CC_only_NEW"", ""range_dt""]","[""condition""]",
nb15,Day12 OCP scan,day12_pre_audit_Q_at_CC_end.csv,data/day12_pre_audit_Q_at_CC_end.csv,1.85,2026-04-30 09:42,True,24,6,"[""condition"", ""kappa"", ""tau_label"", ""CC_time_min"", ""Q_at_CC_end_mAh"", ""Q80_in_CV""]",[],[],"[""condition""]",
nb15,Day12 OCP scan,day12_xn_range_probe.csv,data/day12_xn_range_probe.csv,0.63,2026-04-30 10:20,True,5,7,"[""condition"", ""descr"", ""Q_CC_end_mAh"", ""Q_window_lo"", ""Q_window_hi"", ""x_n_lo"", ""x_n_hi""]",[],[],"[""condition""]",
nb16,Day13 PE/OCP/transport/kinetics scan,results_day13_PE_transport_kinetics_ablations.csv,data/results_day13_PE_transport_kinetics_ablations.csv,45.79,2026-05-01 12:02,True,120,30,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""ablation"", ""A_dt"", ""avg_dt"", ""Q_window_lo"", ""Q_window_hi"", ""Q_CC_end_mAh"", ""window_margin_to_CC"", ""x_n_Q20"", ""x_p_Q20"", ""x_n_CC_end"", ""x_p_CC_end"", ""sign"", ""dtQ_min"", ""dtQ_max"", ""dtQ_range"", ""dtQ_n_cross"", ""dtQ_fraction_positive"", ""dtQ_mean_early"", ""dtQ_mean_mid"", ""dtQ_mean_late"", ""status"", ""infeasible_reason"", ""trajectory_class"", ""trajectory_class_robust""]",[],"[""A_dt"", ""avg_dt"", ""dtQ_min"", ""dtQ_max"", ""dtQ_range"", ""dtQ_n_cross"", ""dtQ_fraction_positive"", ""dtQ_mean_early"", ""dtQ_mean_mid"", ""dtQ_mean_late""]","[""condition"", ""ablation""]",
nb16,Day13 PE/OCP/transport/kinetics scan,results_day13_BranchC_v2_AsymmetricBV.csv,data/results_day13_BranchC_v2_AsymmetricBV.csv,17.2,2026-05-01 11:21,True,72,21,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""ablation"", ""alpha"", ""A_dt"", ""avg_dt"", ""Q_window_lo"", ""Q_window_hi_strict"", ""Q_CC_end_mAh"", ""window_margin_to_CC"", ""x_n_Q20"", ""x_p_Q20"", ""x_n_CC_end"", ""x_p_CC_end"", ""sign"", ""status"", ""infeasible_reason""]",[],"[""A_dt"", ""avg_dt""]","[""condition"", ""ablation""]",
nb16,Day13 PE/OCP/transport/kinetics scan,results_day13_delta_tQ_curves.csv,data/results_day13_delta_tQ_curves.csv,1196.36,2026-05-01 11:52,True,9520,9,"[""condition"", ""ablation"", ""Q_mAh"", ""delta_t_min"", ""t_DC_min"", ""t_DCAC_min"", ""Q_window_lo"", ""Q_window_hi"", ""status""]",[],"[""delta_t_min""]","[""condition"", ""ablation""]",
nb16,Day13 PE/OCP/transport/kinetics scan,day13_pre_run_Q_CC_end.csv,data/day13_pre_run_Q_CC_end.csv,9.75,2026-05-01 10:24,True,179,6,"[""condition"", ""DC"", ""AC"", ""f_Hz"", ""ablation"", ""Q_CC_end_mAh""]",[],[],"[""condition"", ""ablation""]",
nb16,Day13 PE/OCP/transport/kinetics scan,day13_strict_Qhi_map.csv,data/day13_strict_Qhi_map.csv,5.77,2026-05-01 10:29,True,24,16,"[""condition"", ""baseline_Q_hi"", ""baseline_Q_CC_min"", ""Q_CC_end_PE_A1a"", ""Q_CC_end_PE_A2a"", ""Q_CC_end_B_Dsn_up"", ""Q_CC_end_B_Dsn_down"", ""Q_CC_end_C_alpha_up"", ""Q_CC_end_C_alpha_down"", ""min_ablation_Q_CC_end"", ""strict_Q_hi_raw"", ""strict_Q_hi"", ""Q_hi_reduction_mAh"", ""strict_window_flag"", ""safeguard_active"", ""failed_in_pre_run""]",[],[],"[""condition"", ""min_ablation_Q_CC_end""]",
nb16,Day13 PE/OCP/transport/kinetics scan,day13_xp_range_probe.csv,data/day13_xp_range_probe.csv,0.62,2026-05-01 09:45,True,5,7,"[""condition"", ""descr"", ""Q_CC_end_mAh"", ""Q_window_lo"", ""Q_window_hi"", ""x_p_lo"", ""x_p_hi""]",[],[],"[""condition""]",
nb18,Day14 Task1 AsymBV alpha scan,day14_step5_delta_tQ_curves_v1_wrong_phase.csv,data/day14_step5_delta_tQ_curves_v1_wrong_phase.csv,1094.31,2026-05-02 12:51,True,5760,16,"[""condition"", ""ablation"", ""alpha"", ""alpha_direction"", ""DC_C"", ""AC_C"", ""f_Hz"", ""Q_mAh"", ""t_DC_min"", ""t_DCAC_min"", ""delta_t_min"", ""Q_window_lo"", ""Q_window_hi"", ""Q_CC_end_DCAC"", ""Q_CC_end_DC"", ""status""]",[],"[""delta_t_min""]","[""condition"", ""ablation""]",
nb18,Day14 Task1 AsymBV alpha scan,day14_step5_delta_tQ_curves.csv,data/day14_step5_delta_tQ_curves.csv,1098.05,2026-05-02 13:11,True,5760,16,"[""condition"", ""ablation"", ""alpha"", ""alpha_direction"", ""DC_C"", ""AC_C"", ""f_Hz"", ""Q_mAh"", ""t_DC_min"", ""t_DCAC_min"", ""delta_t_min"", ""Q_window_lo"", ""Q_window_hi"", ""Q_CC_end_DCAC"", ""Q_CC_end_DC"", ""status""]",[],"[""delta_t_min""]","[""condition"", ""ablation""]",
nb18,Day14 Task1 AsymBV alpha scan,day14_step5_delta_tQ_curves_v2_aligned_phase.csv,data/day14_step5_delta_tQ_curves_v2_aligned_phase.csv,1098.05,2026-05-02 13:11,True,5760,16,"[""condition"", ""ablation"", ""alpha"", ""alpha_direction"", ""DC_C"", ""AC_C"", ""f_Hz"", ""Q_mAh"", ""t_DC_min"", ""t_DCAC_min"", ""delta_t_min"", ""Q_window_lo"", ""Q_window_hi"", ""Q_CC_end_DCAC"", ""Q_CC_end_DC"", ""status""]",[],"[""delta_t_min""]","[""condition"", ""ablation""]",
nb18,Day14 Task1 AsymBV alpha scan,results_day13_BranchC_v2_AsymmetricBV.csv,data/results_day13_BranchC_v2_AsymmetricBV.csv,17.2,2026-05-01 11:21,True,72,21,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""ablation"", ""alpha"", ""A_dt"", ""avg_dt"", ""Q_window_lo"", ""Q_window_hi_strict"", ""Q_CC_end_mAh"", ""window_margin_to_CC"", ""x_n_Q20"", ""x_p_Q20"", ""x_n_CC_end"", ""x_p_CC_end"", ""sign"", ""status"", ""infeasible_reason""]",[],"[""A_dt"", ""avg_dt""]","[""condition"", ""ablation""]",
nb19,Day14 Task2 X6 phase clean test,results_day9_x6alpha_4way_dual_Q80.csv,data/results_day9_x6alpha_4way_dual_Q80.csv,4.59,2026-04-28 10:55,True,22,19,"[""condition"", ""kappa"", ""tau_label"", ""dt_X6α_nom"", ""dt_X5A_nom"", ""dt_X2_nom"", ""dt_v01_nom"", ""dt_exp"", ""dt_X6α_base"", ""dt_X5A_base"", ""dt_X2_base"", ""s_X6α"", ""s_X5A"", ""s_X2"", ""s_v01"", ""s_exp"", ""X6α_vs_exp"", ""X5A_vs_exp"", ""X6α_vs_X5A""]",[],"[""dt_X6α_nom"", ""dt_X5A_nom"", ""dt_X2_nom"", ""dt_v01_nom"", ""dt_exp"", ""dt_X6α_base"", ""dt_X5A_base"", ""dt_X2_base""]","[""condition""]",
nb19,Day14 Task2 X6 phase clean test,results_day9_x6alpha_noSigmoid_mj1freq.csv,data/results_day9_x6alpha_noSigmoid_mj1freq.csv,7.93,2026-04-28 11:02,True,31,20,"[""case_id"", ""I_DC_Crate"", ""A_Crate"", ""f_Hz"", ""kappa"", ""wall_clock_s"", ""V_init_phase2"", ""CC_time_s"", ""CV_time_s"", ""total_time_s"", ""CC_time_min"", ""CV_time_min"", ""total_time_min"", ""Q_net_final_mAh"", ""status"", ""condition"", ""tau_label"", ""batch"", ""CC_time_s_partial"", ""V_min_phase2""]","[""V_init_phase2"", ""V_min_phase2""]",[],"[""case_id"", ""condition""]",
nb19,Day14 Task2 X6 phase clean test,results_day9_x6beta_v2_truephase0_mj1freq.csv,data/results_day9_x6beta_v2_truephase0_mj1freq.csv,6.95,2026-04-28 12:59,True,31,18,"[""case_id"", ""I_DC_Crate"", ""A_Crate"", ""f_Hz"", ""kappa"", ""wall_clock_s"", ""status"", ""V_rest_end"", ""V_init_phase2"", ""condition"", ""tau_label"", ""batch"", ""sin_at_phase2_start"", ""CC_time_s"", ""CV_time_s"", ""CC_time_min"", ""CV_time_min"", ""Q_net_final_mAh""]","[""V_init_phase2"", ""sin_at_phase2_start""]",[],"[""case_id"", ""condition""]",
nb19,Day14 Task2 X6 phase clean test,day15_step1_x6beta_charging_summary.csv,data/day15_step1_x6beta_charging_summary.csv,2.04,2026-05-03 11:19,True,12,13,"[""condition"", ""label"", ""DC_C"", ""AC_C"", ""f_Hz"", ""V_init_charge"", ""V_end_charge"", ""Q_CC_end_mAh"", ""t_charge_duration_s"", ""t_charge_start_abs"", ""wall_s"", ""status_orig"", ""status""]",[],[],"[""condition""]",
nb19,Day14 Task2 X6 phase clean test,day15_step1_x6beta_charging_trajectories.csv,data/day15_step1_x6beta_charging_trajectories.csv,494.86,2026-05-03 11:14,True,4841,6,"[""condition"", ""label"", ""t_rel_s"", ""Q_net_mAh"", ""V_V"", ""I_A""]",[],[],"[""condition""]",
nb19,Day14 Task2 X6 phase clean test,results_day9_x6beta_natural_mj1freq.csv,data/results_day9_x6beta_natural_mj1freq.csv,8.14,2026-04-28 11:13,True,31,20,"[""case_id"", ""I_DC_Crate"", ""A_Crate"", ""f_Hz"", ""kappa"", ""wall_clock_s"", ""V_rest_end"", ""V_init_phase2"", ""CC_time_s"", ""CV_time_s"", ""total_time_s"", ""CC_time_min"", ""CV_time_min"", ""total_time_min"", ""Q_net_final_mAh"", ""status"", ""condition"", ""tau_label"", ""batch"", ""CC_time_s_partial""]","[""V_init_phase2""]",[],"[""case_id"", ""condition""]",
nb19,Day14 Task2 X6 phase clean test,results_day9_x6alpha_composite_sigmoid_mj1freq.csv,data/results_day9_x6alpha_composite_sigmoid_mj1freq.csv,7.87,2026-04-28 10:48,True,31,20,"[""case_id"", ""I_DC_Crate"", ""A_Crate"", ""f_Hz"", ""kappa"", ""wall_clock_s"", ""V_init_phase2"", ""CC_time_s"", ""CV_time_s"", ""total_time_s"", ""CC_time_min"", ""CV_time_min"", ""total_time_min"", ""Q_net_final_mAh"", ""status"", ""condition"", ""tau_label"", ""batch"", ""CC_time_s_partial"", ""V_min_phase2""]","[""V_init_phase2"", ""V_min_phase2""]",[],"[""case_id"", ""condition""]",
nb19,Day14 Task2 X6 phase clean test,results_day9_x6beta_v2_3way.csv,data/results_day9_x6beta_v2_3way.csv,1.83,2026-04-28 12:59,True,15,14,"[""condition"", ""tau_label"", ""dt_X6β_v2"", ""dt_X6β_p0"", ""dt_X6α"", ""dt_exp"", ""s_X6β_v2"", ""s_X6β_p0"", ""s_X6α"", ""s_exp"", ""X6β_v2_vs_exp"", ""X6β_p0_vs_exp"", ""X6α_vs_exp"", ""X6β_v2_vs_p0""]",[],"[""dt_X6β_v2"", ""dt_X6β_p0"", ""dt_X6α"", ""dt_exp""]","[""condition""]",
nb19,Day14 Task2 X6 phase clean test,results_day9_x6beta_phase0_mj1freq.csv,data/results_day9_x6beta_phase0_mj1freq.csv,8.18,2026-04-28 11:46,True,31,19,"[""case_id"", ""I_DC_Crate"", ""A_Crate"", ""f_Hz"", ""kappa"", ""wall_clock_s"", ""V_rest_end"", ""V_init_phase2"", ""actual_phase2_start_s"", ""sin_at_phase2_start"", ""CC_time_s"", ""CV_time_s"", ""CC_time_min"", ""CV_time_min"", ""Q_net_final_mAh"", ""status"", ""condition"", ""tau_label"", ""batch""]","[""V_init_phase2"", ""actual_phase2_start_s"", ""sin_at_phase2_start""]",[],"[""case_id"", ""condition""]",
