arm,param_set,t_s,V_V,I_A,Q_Ah,stage,Vmax_cutoff_V,I_cutoff_A,termination_method
DC_reference,Chen2020,0.0,3.157896704104518,-1.0,-0.0,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,10.0,3.17155750623896,-1.0,0.002777777777777778,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,20.0,3.1788665768314353,-1.0,0.005555555555555556,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,30.0,3.184502392204595,-1.0,0.008333333333333333,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,40.0,3.1892045659146984,-1.0,0.011111111111111112,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,50.0,3.193295489307089,-1.0,0.013888888888888888,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,60.0,3.196955784584789,-1.0,0.016666666666666666,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,70.0,3.2003008107312647,-1.0,0.019444444444444445,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,80.0,3.203406798956326,-1.0,0.022222222222222223,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,90.0,3.2063277275019564,-1.0,0.025,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,100.0,3.2091025228786956,-1.0,0.027777777777777776,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,110.0,3.2117594866686305,-1.0,0.030555555555555555,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,120.0,3.2143191074256956,-1.0,0.03333333333333333,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,130.0,3.216798699247587,-1.0,0.03611111111111111,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,140.0,3.219210018303005,-1.0,0.03888888888888889,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,150.0,3.221562959965979,-1.0,0.041666666666666664,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,160.0,3.2238650475980277,-1.0,0.044444444444444446,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,170.0,3.226122380799504,-1.0,0.04722222222222222,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,180.0,3.22834000028526,-1.0,0.05,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,190.0,3.2305220733114606,-1.0,0.05277777777777778,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,200.0,3.2326719947220406,-1.0,0.05555555555555555,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,210.0,3.2347925809277998,-1.0,0.058333333333333334,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,220.0,3.236886277063965,-1.0,0.06111111111111111,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,230.0,3.2389548798606427,-1.0,0.06388888888888888,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,240.0,3.2410010470499415,-1.0,0.06666666666666667,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,250.0,3.243026013684067,-1.0,0.06944444444444445,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,260.0,3.2450311882339076,-1.0,0.07222222222222222,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,270.0,3.247017897937268,-1.0,0.075,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,280.0,3.2489873820561472,-1.0,0.07777777777777778,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,290.0,3.250940779610644,-1.0,0.08055555555555556,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,300.0,3.252879095292678,-1.0,0.08333333333333333,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,310.0,3.2548032930003807,-1.0,0.08611111111111111,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,320.0,3.2567142864611256,-1.0,0.08888888888888889,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,330.0,3.2586129265212085,-1.0,0.09166666666666666,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
DC_reference,Chen2020,340.0,3.260500074911649,-1.0,0.09444444444444444,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination
