param_set,Q_Ah,Q_frac_common,Q_frac_nominal_5Ah,segment,segment_interpretation,t_DC_s,t_DCAC_s,dt_full_s,dt_full_min,V_DC_V,I_DC_A,stage_DC,V_DCAC_V,I_DCAC_A,stage_DCAC,Q_to_Vmax_DC_Ah,Q_to_Vmax_DCAC_Ah,DCAC_has_reached_Vmax,DC_has_reached_Vmax,found_both
Chen2020,0.2436294225292678,0.05,0.048725884505853564,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,877.0659211053643,402.58915057390584,474.47677053145844,7.907946175524307,3.3578248251601903,-1.0,CC_until_Vmax,3.4749125198049913,-3.1443822744629877,CC_until_Vmax,4.627667035891709,3.7702215195106774,False,False,True
Chen2020,0.28252823789108367,0.05798319327731093,0.05650564757821673,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,1017.1016564079013,446.19211343072055,570.9095429771808,9.51515904961968,3.3835566117417852,-1.0,CC_until_Vmax,3.5068576976928285,-3.274166773213785,CC_until_Vmax,4.627667035891709,3.7702215195106774,False,False,True
Chen2020,0.32142705325289955,0.06596638655462185,0.06428541065057991,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,1157.1373917104386,488.3040765018598,668.8333152085788,11.14722192014298,3.408423053824096,-1.0,CC_until_Vmax,3.534875185215751,-3.3727415823562317,CC_until_Vmax,4.627667035891709,3.7702215195106774,False,False,True
Chen2020,0.3603258686147154,0.07394957983193277,0.07206517372294308,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,1297.1731270129756,529.3768535813739,767.7962734316017,12.79660455719336,3.431344871161623,-1.0,CC_until_Vmax,3.5582984909430104,-3.4423307740835876,CC_until_Vmax,4.627667035891709,3.7702215195106774,False,False,True
Chen2020,0.39922468397653127,0.0819327731092437,0.07984493679530626,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,1437.2088623155125,569.7866399696373,867.4222223458752,14.45703703909792,3.45149941420633,-1.0,CC_until_Vmax,3.577065295328306,-3.4844215214985597,CC_until_Vmax,4.627667035891709,3.7702215195106774,False,False,True
Chen2020,0.43812349933834716,0.08991596638655462,0.08762469986766944,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,1577.2445976180497,609.863215860581,967.3813817574687,16.123023029291144,3.468545987012435,-1.0,CC_until_Vmax,3.5916156646378488,-3.4998876460986548,CC_until_Vmax,4.627667035891709,3.7702215195106774,False,False,True
Chen2020,0.477022314700163,0.09789915966386555,0.0954044629400326,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,1717.2803329205867,649.9131662673046,1067.367166653282,17.7894527775547,3.4826089404186127,-1.0,CC_until_Vmax,3.60262334268629,-3.4890587438008374,CC_until_Vmax,4.627667035891709,3.7702215195106774,False,False,True
Chen2020,0.5159211300619788,0.10588235294117646,0.10318422601239577,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,1857.3160682231237,690.2410888160557,1167.074979407068,19.451249656784466,3.494112879622834,-1.0,CC_until_Vmax,3.610765069036069,-3.4517062630753457,CC_until_Vmax,4.627667035891709,3.7702215195106774,False,False,True
Chen2020,0.5548199454237948,0.11386554621848739,0.11096398908475895,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,1997.3518035256611,731.1716853920498,1266.1801181336114,21.103001968893523,3.503600445463608,-1.0,CC_until_Vmax,3.616604075179193,-3.3870337682809,CC_until_Vmax,4.627667035891709,3.7702215195106774,False,False,True
Chen2020,0.5937187607856106,0.12184873949579832,0.11874375215712211,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,2137.387538828198,773.0711244211399,1364.3164144070583,22.738606906784305,3.5116034157750775,-1.0,CC_until_Vmax,3.6205301008388746,-3.2936814831554724,CC_until_Vmax,4.627667035891709,3.7702215195106774,False,False,True
Chen2020,0.6326175761474264,0.12983193277310923,0.1265235152294853,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,2277.423274130735,816.3757209577478,1461.0475531729871,24.350792552883117,3.5185796469060873,-1.0,CC_until_Vmax,3.622755241655041,-3.1695643028540017,CC_until_Vmax,4.627667035891709,3.7702215195106774,False,False,True
Chen2020,0.6715163915092424,0.13781512605042018,0.13430327830184846,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,2417.4590094332725,861.6497560520612,1555.8092533812114,25.93015422302019,3.52489531966126,-1.0,CC_until_Vmax,3.623322427759154,-3.0114073491851676,CC_until_Vmax,4.627667035891709,3.7702215195106774,False,False,True
Chen2020,0.7104152068710582,0.14579831932773107,0.14208304137421163,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,2557.4947447358095,909.6804291651042,1647.8143155707053,27.46357192617842,3.530831950365945,-1.0,CC_until_Vmax,3.622084744064976,-2.8141410069795905,CC_until_Vmax,4.627667035891709,3.7702215195106774,False,False,True
Chen2020,0.749314022232874,0.153781512605042,0.1498628044465748,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,2697.5304800383465,961.6639344524023,1735.866545585944,28.931109093099067,3.5366007424219568,-1.0,CC_until_Vmax,3.6186703386047276,-2.569722795651544,CC_until_Vmax,4.627667035891709,3.7702215195106774,False,False,True
Chen2020,0.7882128375946899,0.16176470588235292,0.15764256751893796,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,2837.5662153408834,1019.5182559858376,1818.0479593550458,30.300799322584098,3.5423583985268268,-1.0,CC_until_Vmax,3.6123762962136334,-2.265357747964226,CC_until_Vmax,4.627667035891709,3.7702215195106774,False,False,True
Chen2020,0.8271116529565058,0.16974789915966387,0.16542233059130115,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,2977.601950643421,1087.097229400999,1890.504721242422,31.508412020707034,3.548220343235413,-1.0,CC_until_Vmax,3.6017034076340657,-1.8751328046290032,CC_until_Vmax,4.627667035891709,3.7702215195106774,False,False,True
Chen2020,0.8660104683183216,0.17773109243697477,0.17320209366366432,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,3117.637685945958,1174.2044194619705,1943.4332664839874,32.39055444139979,3.5542699014907897,-1.0,CC_until_Vmax,3.582912555017424,-1.3354115790619878,CC_until_Vmax,4.627667035891709,3.7702215195106774,False,False,True
