param_set,arm,t_s,V_V,I_A,Q_Ah,stage,Vmax_cutoff_V,I_cutoff_A,termination_method,initial_soc
Chen2020,DC_reference,0.0,3.157896704104518,-1.0,-0.0,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,10.0,3.1715575062419874,-1.0,0.002777777777777778,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,20.0,3.178866576831613,-1.0,0.005555555555555556,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,30.0,3.1845023922040903,-1.0,0.008333333333333333,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,40.0,3.1892045659130797,-1.0,0.011111111111111112,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,50.0,3.193295489254897,-1.0,0.013888888888888888,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,60.0,3.1969557850565486,-1.0,0.016666666666666666,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,70.0,3.2003008108111204,-1.0,0.019444444444444445,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,80.0,3.203406798912864,-1.0,0.022222222222222223,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,90.0,3.206327727485351,-1.0,0.025,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,100.0,3.209102522575365,-1.0,0.027777777777777776,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,110.0,3.2117594867183623,-1.0,0.030555555555555555,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,120.0,3.2143191074638002,-1.0,0.03333333333333333,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,130.0,3.2167986992768425,-1.0,0.03611111111111111,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,140.0,3.2192100183245644,-1.0,0.03888888888888889,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,150.0,3.2215629599928013,-1.0,0.041666666666666664,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,160.0,3.2238650476104525,-1.0,0.044444444444444446,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,170.0,3.2261223808151716,-1.0,0.04722222222222222,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,180.0,3.2283400002874023,-1.0,0.05,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,190.0,3.23052207331863,-1.0,0.05277777777777778,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,200.0,3.232671994718938,-1.0,0.05555555555555555,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,210.0,3.2347925809108578,-1.0,0.058333333333333334,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,220.0,3.2368862770422764,-1.0,0.06111111111111111,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,230.0,3.238954879844555,-1.0,0.06388888888888888,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,240.0,3.241001047038,-1.0,0.06666666666666667,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,250.0,3.243026013675102,-1.0,0.06944444444444445,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,260.0,3.24503118822727,-1.0,0.07222222222222222,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,270.0,3.247017897932105,-1.0,0.075,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,280.0,3.2489873820503608,-1.0,0.07777777777777778,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,290.0,3.2509407796068768,-1.0,0.08055555555555556,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,300.0,3.2528790952917817,-1.0,0.08333333333333333,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,310.0,3.254803293000297,-1.0,0.08611111111111111,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,320.0,3.2567142864590237,-1.0,0.08888888888888889,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,330.0,3.2586129265179076,-1.0,0.09166666666666666,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,340.0,3.2604999200906666,-1.0,0.09444444444444444,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,350.0,3.262376241990666,-1.0,0.09722222222222222,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,360.0,3.2642425326889972,-1.0,0.1,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,370.0,3.266099434798854,-1.0,0.10277777777777777,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,380.0,3.267947631187564,-1.0,0.10555555555555556,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,390.0,3.269787760827877,-1.0,0.10833333333333334,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
