param_set,anchor_label,Q_Ah,Q_frac_common,Q_frac_nominal_5Ah,segment,t_DC_s,t_DCAC_s,dt_full_s,dt_full_min,stage_DC,stage_DCAC,V_DC_V,V_DCAC_V,I_DC_A,I_DCAC_A
Chen2020,Q80_common,3.898070744545157,0.8,0.7796141489090314,B_between_DCAC_Vmax_and_DC_Vmax,14033.054680362564,12944.723636368097,1088.331043994467,18.138850733241117,CC_until_Vmax,CV_after_Vmax,4.10835610462977,4.2,-1.0,-2.986573266504344
Chen2020,Q90_common,4.385329587613301,0.8999999999999999,0.8770659175226602,B_between_DCAC_Vmax_and_DC_Vmax,15787.186515407882,13676.462134749625,2110.7243806582574,35.17873967763762,CC_until_Vmax,CV_after_Vmax,4.149005897479149,4.2,-1.0,-1.7453724170401717
Chen2020,Q80_nominal_5Ah,4.0,0.8209189134081223,0.8,B_between_DCAC_Vmax_and_DC_Vmax,14400.0,13071.972574189484,1328.0274258105164,22.133790430175274,CC_until_Vmax,CV_after_Vmax,4.121730173032132,4.199999999999998,-1.0,-2.789010366016067
Chen2020,Q90_nominal_5Ah,4.5,0.9235337775841376,0.9,B_between_DCAC_Vmax_and_DC_Vmax,16200.0,13946.28976342232,2253.710236577679,37.56183727629465,CC_until_Vmax,CV_after_Vmax,4.1666961712002015,4.199999999999999,-1.0,-1.333211024638061
OKane2022,Q80_common,3.868455092748134,0.8,0.7736910185496269,B_between_DCAC_Vmax_and_DC_Vmax,13926.438333893282,13136.78851385335,789.6498200399328,13.16083033399888,CC_until_Vmax,CV_after_Vmax,4.107504803611331,4.199999999999999,-1.0,-2.9588823394328503
OKane2022,Q90_common,4.3520119793416505,0.8999999999999999,0.8704023958683301,B_between_DCAC_Vmax_and_DC_Vmax,15667.243125629942,13867.831425135399,1799.4117004945438,29.990195008242395,CC_until_Vmax,CV_after_Vmax,4.148909104616705,4.200000000000001,-1.0,-1.7491678307866845
OKane2022,Q80_nominal_5Ah,4.0,0.8272036053872693,0.8,B_between_DCAC_Vmax_and_DC_Vmax,14400.0,13305.020590227794,1094.979409772206,18.249656829536768,CC_until_Vmax,CV_after_Vmax,4.124605807079451,4.1999999999999975,-1.0,-2.686147581847937
OKane2022,Q90_nominal_5Ah,4.5,0.9306040560606781,0.9,B_between_DCAC_Vmax_and_DC_Vmax,16200.0,14229.237422660575,1970.7625773394248,32.846042955657076,CC_until_Vmax,CV_after_Vmax,4.173334279385096,4.200000000000001,-1.0,-1.225422731739455
ORegan2022,Q80_common,3.833765947457648,0.8,0.7667531894915296,B_between_DCAC_Vmax_and_DC_Vmax,13801.557410847532,10608.141370343477,3193.4160405040548,53.22360067506758,CC_until_Vmax,CV_after_Vmax,4.06825775793518,4.400000000000001,-1.0,-4.905090440741042
ORegan2022,Q90_common,4.312986690889853,0.8999999999999999,0.8625973381779707,B_between_DCAC_Vmax_and_DC_Vmax,15526.752087203471,11231.565381682427,4295.186705521044,71.5864450920174,CC_until_Vmax,CV_after_Vmax,4.144441801716677,4.4,-1.0,-1.9896721239076185
ORegan2022,Q80_nominal_5Ah,4.0,0.8346884092186359,0.8,B_between_DCAC_Vmax_and_DC_Vmax,14400.0,10798.64888854977,3601.3511114502307,60.022518524170515,CC_until_Vmax,CV_after_Vmax,4.105187185758815,4.399999999999999,-1.0,-4.411878550900623
ORegan2022,Q90_nominal_5Ah,4.5,0.9390244603709653,0.9,B_between_DCAC_Vmax_and_DC_Vmax,16200.0,11569.212739458682,4630.787260541318,77.17978767568863,CC_until_Vmax,CV_after_Vmax,4.186685586341625,4.3999999999999995,-1.0,-1.756985418180882
