param_set,Q_Ah,Q_frac_common,Q_frac_nominal_5Ah,segment,segment_interpretation,t_DC_s,t_DCAC_s,dt_full_s,dt_full_min,V_DC_V,I_DC_A,stage_DC,V_DCAC_V,I_DCAC_A,stage_DCAC,Q_to_Vmax_DC_Ah,Q_to_Vmax_DCAC_Ah,Q_common_max_Ah,DCAC_has_reached_Vmax,DC_has_reached_Vmax,found_both
Chen2020,0.2436294215340723,0.05,0.04872588430681446,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,877.0659175226605,402.5891494373453,474.47676808531514,7.907946134755252,3.357824802803431,-1.0,CC_until_Vmax,3.4749125314773486,-3.144382270761768,CC_until_Vmax,4.627667035889793,3.7702215079827632,4.8725884306814455,False,False,True
Chen2020,0.2825282367369914,0.05798319327731093,0.05650564734739828,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,1017.1016522531692,446.1921121605397,570.9095400926294,9.515159001543823,3.3835565967967667,-1.0,CC_until_Vmax,3.5068577086068577,-3.274166769815027,CC_until_Vmax,4.627667035889793,3.7702215079827632,4.8725884306814455,False,False,True
Chen2020,0.3214270519399105,0.06596638655462185,0.0642854103879821,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,1157.137386983678,488.30407509755673,668.8333118861212,11.147221864768687,3.4084230436986744,-1.0,CC_until_Vmax,3.5348751948476975,-3.372741579453466,CC_until_Vmax,4.627667035889793,3.7702215079827632,4.8725884306814455,False,False,True
Chen2020,0.36032586714282966,0.07394957983193279,0.07206517342856593,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,1297.173121714187,529.3768520392545,767.7962696749324,12.796604494582207,3.4313448642074347,-1.0,CC_until_Vmax,3.5582984990554705,-3.442330771868142,CC_until_Vmax,4.627667035889793,3.7702215079827632,4.8725884306814455,False,False,True
Chen2020,0.3992246823457487,0.0819327731092437,0.07984493646914974,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,1437.2088564446954,569.7866382829285,867.4222181617669,14.45703696936278,3.4514994093749203,-1.0,CC_until_Vmax,3.577065301980267,-3.484421520164144,CC_until_Vmax,4.627667035889793,3.7702215079827632,4.8725884306814455,False,False,True
Chen2020,0.43812349754866786,0.08991596638655464,0.08762469950973358,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,1577.2445911752043,609.8632140193574,967.3813771558468,16.12302295259745,3.468545983618992,-1.0,CC_until_Vmax,3.591615670063838,-3.499887645845756,CC_until_Vmax,4.627667035889793,3.7702215079827632,4.8725884306814455,False,False,True
Chen2020,0.47702231275158696,0.09789915966386556,0.0954044625503174,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,1717.280325905713,649.913164258235,1067.367161647478,17.789452694124634,3.482608938005179,-1.0,CC_until_Vmax,3.602623347185185,-3.4890587448412713,CC_until_Vmax,4.627667035889793,3.7702215079827632,4.8725884306814455,False,False,True
Chen2020,0.5159211279545061,0.10588235294117648,0.10318422559090121,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,1857.3160606362217,690.2410866140076,1167.074974022214,19.4512495670369,3.4941128778778126,-1.0,CC_until_Vmax,3.61076507289785,-3.4517062660006808,CC_until_Vmax,4.627667035889793,3.7702215079827632,4.8725884306814455,False,False,True
Chen2020,0.5548199431574252,0.11386554621848742,0.11096398863148504,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,1997.3517953667308,731.1716829778243,1266.1801123889065,21.103001873148443,3.5036004441717465,-1.0,CC_until_Vmax,3.6166040786178417,-3.387033773017371,CC_until_Vmax,4.627667035889793,3.7702215079827632,4.8725884306814455,False,False,True
Chen2020,0.5937187583603443,0.12184873949579833,0.11874375167206885,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,2137.3875300972395,773.0711217663162,1364.3164083309234,22.738606805515392,3.5116034147861686,-1.0,CC_until_Vmax,3.6205301040314275,-3.2936814899910396,CC_until_Vmax,4.627667035889793,3.7702215079827632,4.8725884306814455,False,False,True
Chen2020,0.6326175735632633,0.12983193277310925,0.12652351471265266,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,2277.423264827748,816.3757180266692,1461.0475468010786,24.350792446684643,3.5185796461144503,-1.0,CC_until_Vmax,3.622755244738531,-3.1695643121181165,CC_until_Vmax,4.627667035889793,3.7702215079827632,4.8725884306814455,False,False,True
Chen2020,0.6715163887661825,0.13781512605042018,0.1343032777532365,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,2417.458999558257,861.6497527587682,1555.8092467994888,25.930154113324814,3.5248953189931065,-1.0,CC_until_Vmax,3.6233224308795617,-3.0114073618502264,CC_until_Vmax,4.627667035889793,3.7702215079827632,4.8725884306814455,False,False,True
Chen2020,0.7104152039691016,0.14579831932773113,0.14208304079382034,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,2557.494734288766,909.6804254794246,1647.8143088093411,27.46357181348902,3.530831949768557,-1.0,CC_until_Vmax,3.622084747257749,-2.8141410230083617,CC_until_Vmax,4.627667035889793,3.7702215079827632,4.8725884306814455,False,False,True
