param_set,arm,stage,n_samples,Q_nom_Ah,DC_C,AC_C,expected_peak_charge_C,expected_peak_discharge_C,I_A_min,I_A_max,I_C_min,I_C_max,charge_peak_C,discharge_peak_C,cc_peak_charge_ok,cc_peak_discharge_ok,cv_charge_transient_warning,cv_charge_above_cc_peak,interpretation
Chen2020,DC_reference,CC_until_Vmax,1668,5.0,0.2,0.0,0.2,0.0,-1.000270241797806,-1.0,-0.2000540483595612,-0.2,0.2000540483595612,0.0,True,True,False,False,CC current matches design
Chen2020,DC_reference,CV_after_Vmax,270,5.0,0.2,0.0,0.2,0.0,-0.97956209364142,-0.0735394117647058,-0.195912418728284,-0.01470788235294116,0.195912418728284,0.0,,,False,False,CV feedback current within expected range
Chen2020,DCAC_full_protocol,CC_until_Vmax,1282,5.0,0.2,0.5,0.7,0.3,-3.4999986498981204,1.4999998499886682,-0.6999997299796241,0.29999996999773365,0.6999997299796241,0.29999996999773365,True,True,False,False,CC current matches design
Chen2020,DCAC_full_protocol,CV_after_Vmax,431,5.0,0.2,0.5,0.7,0.3,-3.376610749605493,-0.0735394117647058,-0.6753221499210986,-0.01470788235294116,0.6753221499210986,0.0,,,False,False,CV feedback current within expected range
OKane2022,DC_reference,CC_until_Vmax,1657,5.0,0.2,0.0,0.2,0.0,-1.000264640216566,-1.0,-0.2000529280433132,-0.2,0.2000529280433132,0.0,True,True,False,False,CC current matches design
OKane2022,DC_reference,CV_after_Vmax,260,5.0,0.2,0.0,0.2,0.0,-0.9799196269391144,-0.0735394117647058,-0.1959839253878229,-0.01470788235294116,0.1959839253878229,0.0,,,False,False,CV feedback current within expected range
OKane2022,DCAC_full_protocol,CC_until_Vmax,1307,5.0,0.2,0.5,0.7,0.3,-3.499993810124264,1.4999996993369191,-0.6999987620248528,0.2999999398673838,0.6999987620248528,0.2999999398673838,True,True,False,False,CC current matches design
OKane2022,DCAC_full_protocol,CV_after_Vmax,419,5.0,0.2,0.5,0.7,0.3,-3.2191548859340187,-0.0735394117647058,-0.6438309771868037,-0.01470788235294116,0.6438309771868037,0.0,,,False,False,CV feedback current within expected range
ORegan2022,DC_reference,CC_until_Vmax,1703,5.0,0.2,0.0,0.2,0.0,-1.0003054304034165,-1.0,-0.2000610860806833,-0.2,0.2000610860806833,0.0,True,True,False,False,CC current matches design
ORegan2022,DC_reference,CV_after_Vmax,87,5.0,0.2,0.0,0.2,0.0,-0.7091720347062147,-0.0695000322281267,-0.14183440694124294,-0.01390000644562534,0.14183440694124294,0.0,,,False,False,CV feedback current within expected range
ORegan2022,DCAC_full_protocol,CC_until_Vmax,997,5.0,0.2,0.5,0.7,0.3,-3.4999995322698605,1.4999957904297925,-0.6999999064539721,0.2999991580859585,0.6999999064539721,0.2999991580859585,True,True,False,False,CC current matches design
ORegan2022,DCAC_full_protocol,CV_after_Vmax,301,5.0,0.2,0.5,0.7,0.3,-6.9369073825369965,-0.073539411764706,-1.3873814765073993,-0.0147078823529412,1.3873814765073993,0.0,,,True,True,CV feedback current transient
