key,param_set,protocol,field,role,shape,dtype,size,finite_all,min,max
Chen2020__DC_0p2C__t,Chen2020,DC_0p2C,t,time,"(9464,)",float64,9464,True,0.0,16659.71567625351
Chen2020__DC_0p2C__V,Chen2020,DC_0p2C,V,voltage,"(9464,)",float64,9464,True,3.1578966263866057,4.2
Chen2020__DC_0p2C__I,Chen2020,DC_0p2C,I,current,"(9464,)",float64,9464,True,-1.0,-1.0
Chen2020__DC_0p2C__Q_net,Chen2020,DC_0p2C,Q_net,Q,"(9464,)",float64,9464,True,0.0,4.627698798959311
Chen2020__DCAC_DC0p2C_AC0p5C_10tau__t,Chen2020,DCAC_DC0p2C_AC0p5C_10tau,t,time,"(8964,)",float64,8964,True,0.0,12799.1196716878
Chen2020__DCAC_DC0p2C_AC0p5C_10tau__V,Chen2020,DCAC_DC0p2C_AC0p5C_10tau,V,voltage,"(8964,)",float64,8964,True,3.1578966263866057,4.200000000000001
Chen2020__DCAC_DC0p2C_AC0p5C_10tau__I,Chen2020,DCAC_DC0p2C_AC0p5C_10tau,I,current,"(8964,)",float64,8964,True,-3.4999999775179544,1.499999948826714
Chen2020__DCAC_DC0p2C_AC0p5C_10tau__Q_net,Chen2020,DCAC_DC0p2C_AC0p5C_10tau,Q_net,Q,"(8964,)",float64,8964,True,0.0,3.7700742589106406
OKane2022__DC_0p2C__t,OKane2022,DC_0p2C,t,time,"(9403,)",float64,9403,True,0.0,16548.641554760092
OKane2022__DC_0p2C__V,OKane2022,DC_0p2C,V,voltage,"(9403,)",float64,9403,True,3.177914875823376,4.2
OKane2022__DC_0p2C__I,OKane2022,DC_0p2C,I,current,"(9403,)",float64,9403,True,-1.0,-1.0
OKane2022__DC_0p2C__Q_net,OKane2022,DC_0p2C,Q_net,Q,"(9403,)",float64,9403,True,0.0,4.596844876322244
OKane2022__DCAC_DC0p2C_AC0p5C_10tau__t,OKane2022,DCAC_DC0p2C_AC0p5C_10tau,t,time,"(9164,)",float64,9164,True,0.0,13045.76650066397
OKane2022__DCAC_DC0p2C_AC0p5C_10tau__V,OKane2022,DCAC_DC0p2C_AC0p5C_10tau,V,voltage,"(9164,)",float64,9164,True,3.177914875823376,4.200000000000004
OKane2022__DCAC_DC0p2C_AC0p5C_10tau__I,OKane2022,DCAC_DC0p2C_AC0p5C_10tau,I,current,"(9164,)",float64,9164,True,-3.4999990613132423,1.4999996993369193
OKane2022__DCAC_DC0p2C_AC0p5C_10tau__Q_net,OKane2022,DCAC_DC0p2C_AC0p5C_10tau,Q_net,Q,"(9164,)",float64,9164,True,0.0,3.790252887247405
ORegan2022__DC_0p2C__t,ORegan2022,DC_0p2C,t,time,"(12378,)",float64,12378,True,0.0,17006.861900825734
ORegan2022__DC_0p2C__V,ORegan2022,DC_0p2C,V,voltage,"(12378,)",float64,12378,True,3.0992821237593953,4.400000000000024
ORegan2022__DC_0p2C__I,ORegan2022,DC_0p2C,I,current,"(12378,)",float64,12378,True,-1.0,-1.0
ORegan2022__DC_0p2C__Q_net,ORegan2022,DC_0p2C,Q_net,Q,"(12378,)",float64,12378,True,0.0,4.724128305784915
ORegan2022__DCAC_DC0p2C_AC0p5C_10tau__t,ORegan2022,DCAC_DC0p2C_AC0p5C_10tau,t,time,"(7798,)",float64,7798,True,0.0,9925.854020315359
ORegan2022__DCAC_DC0p2C_AC0p5C_10tau__V,ORegan2022,DCAC_DC0p2C_AC0p5C_10tau,V,voltage,"(7798,)",float64,7798,True,3.0992821237593953,4.400000000000571
ORegan2022__DCAC_DC0p2C_AC0p5C_10tau__I,ORegan2022,DCAC_DC0p2C_AC0p5C_10tau,I,current,"(7798,)",float64,7798,True,-3.4999995322698605,1.4999987936038677
ORegan2022__DCAC_DC0p2C_AC0p5C_10tau__Q_net,ORegan2022,DCAC_DC0p2C_AC0p5C_10tau,Q_net,Q,"(7798,)",float64,7798,True,0.0,3.210457296623795
