path,name,suffixes,size_kb,mtime,read_ok,n_rows,n_cols_or_keys,columns_or_keys,role_guess,has_time,has_current,has_voltage,has_Q,has_dt,has_event,has_cv_or_termination,has_frequency,error
data/day15_step1_x6beta_charging_trajectories.csv,day15_step1_x6beta_charging_trajectories.csv,.csv,494.86,2026-05-03 11:14,True,4841.0,6,"[""condition"", ""label"", ""t_rel_s"", ""Q_net_mAh"", ""V_V"", ""I_A""]",trajectory_or_cache_csv,False,True,False,True,False,False,False,False,
data/day16_step2_feasibility_matrix_rev3.csv,day16_step2_feasibility_matrix_rev3.csv,.csv,13.93,2026-05-03 13:21,True,48.0,27,"[""param_set"", ""chem_tag"", ""condition"", ""DC_C"", ""AC_C"", ""tau_label"", ""f_Hz"", ""Q_nom_Ah"", ""I_DC_A"", ""I_AC_A"", ""Vmin_cutoff_V"", ""Vmax_cutoff_V"", ""t_max_horizon_s"", ""V_init_charge"", ""V_headroom_init"", ""V_min_charge"", ""V_max_charge"", ""V_below_Vmin_fraction"", ""Q_CC_end_Ah"", ""t_charge_s"", ""termination_raw"", ""termination_class"", ""low_voltage_class"", ""feasibility_verdict"", ""solve_status"", ""error_msg"", ""sim_wall_time_s""]",event_boundary_metadata,True,True,True,True,False,True,True,True,
data/day16_step2_trajectories_rev3.npz,day16_step2_trajectories_rev3.npz,.npz,3766.3,2026-05-03 13:21,True,,144,"[""Ai2020__DC_0p2C__t_s"", ""Ai2020__DC_0p2C__V_V"", ""Ai2020__DC_0p2C__I_A"", ""Ai2020__DC_0p5C__t_s"", ""Ai2020__DC_0p5C__V_V"", ""Ai2020__DC_0p5C__I_A"", ""Ai2020__DC0p2_AC0p5_1tau__t_s"", ""Ai2020__DC0p2_AC0p5_1tau__V_V"", ""Ai2020__DC0p2_AC0p5_1tau__I_A"", ""Ai2020__DC0p2_AC0p5_10tau__t_s"", ""Ai2020__DC0p2_AC0p5_10tau__V_V"", ""Ai2020__DC0p2_AC0p5_10tau__I_A"", ""Ai2020__DC0p2_AC1p0_1tau__t_s"", ""Ai2020__DC0p2_AC1p0_1tau__V_V"", ""Ai2020__DC0p2_AC1p0_1tau__I_A"", ""Ai2020__DC0p2_AC1p0_10tau__t_s"", ""Ai2020__DC0p2_AC1p0_10tau__V_V"", ""Ai2020__DC0p2_AC1p0_10tau__I_A"", ""Chen2020__DC_0p2C__t_s"", ""Chen2020__DC_0p2C__V_V"", ""Chen2020__DC_0p2C__I_A"", ""Chen2020__DC_0p5C__t_s"", ""Chen2020__DC_0p5C__V_V"", ""Chen2020__DC_0p5C__I_A"", ""Chen2020__DC0p2_AC0p5_1tau__t_s"", ""Chen2020__DC0p2_AC0p5_1tau__V_V"", ""Chen2020__DC0p2_AC0p5_1tau__I_A"", ""Chen2020__DC0p2_AC0p5_10tau__t_s"", ""Chen2020__DC0p2_AC0p5_10tau__V_V"", ""Chen2020__DC0p2_AC0p5_10tau__I_A"", ""Chen2020__DC0p2_AC1p0_1tau__t_s"", ""Chen2020__DC0p2_AC1p0_1tau__V_V"", ""Chen2020__DC0p2_AC1p0_1tau__I_A"", ""Chen2020__DC0p2_AC1p0_10tau__t_s"", ""Chen2020__DC0p2_AC1p0_10tau__V_V"", ""Chen2020__DC0p2_AC1p0_10tau__I_A"", ""Ecker2015__DC_0p2C__t_s"", ""Ecker2015__DC_0p2C__V_V"", ""Ecker2015__DC_0p2C__I_A"", ""Ecker2015__DC_0p5C__t_s"", ""Ecker2015__DC_0p5C__V_V"", ""Ecker2015__DC_0p5C__I_A"", ""Ecker2015__DC0p2_AC0p5_1tau__t_s"", ""Ecker2015__DC0p2_AC0p5_1tau__V_V"", ""Ecker2015__DC0p2_AC0p5_1tau__I_A"", ""Ecker2015__DC0p2_AC0p5_10tau__t_s"", ""Ecker2015__DC0p2_AC0p5_10tau__V_V"", ""Ecker2015__DC0p2_AC0p5_10tau__I_A"", ""Ecker2015__DC0p2_AC1p0_1tau__t_s"", ""Ecker2015__DC0p2_AC1p0_1tau__V_V"", ""Ecker2015__DC0p2_AC1p0_1tau__I_A"", ""Ecker2015__DC0p2_AC1p0_10tau__t_s"", ""Ecker2015__DC0p2_AC1p0_10tau__V_V"", ""Ecker2015__DC0p2_AC1p0_10tau__I_A"", ""Marquis2019__DC_0p2C__t_s"", ""Marquis2019__DC_0p2C__V_V"", ""Marquis2019__DC_0p2C__I_A"", ""Marquis2019__DC_0p5C__t_s"", ""Marquis2019__DC_0p5C__V_V"", ""Marquis2019__DC_0p5C__I_A"", ""Marquis2019__DC0p2_AC0p5_1tau__t_s"", ""Marquis2019__DC0p2_AC0p5_1tau__V_V"", ""Marquis2019__DC0p2_AC0p5_1tau__I_A"", ""Marquis2019__DC0p2_AC0p5_10tau__t_s"", ""Marquis2019__DC0p2_AC0p5_10tau__V_V"", ""Marquis2019__DC0p2_AC0p5_10tau__I_A"", ""Marquis2019__DC0p2_AC1p0_1tau__t_s"", ""Marquis2019__DC0p2_AC1p0_1tau__V_V"", ""Marquis2019__DC0p2_AC1p0_1tau__I_A"", ""Marquis2019__DC0p2_AC1p0_10tau__t_s"", ""Marquis2019__DC0p2_AC1p0_10tau__V_V"", ""Marquis2019__DC0p2_AC1p0_10tau__I_A"", ""Mohtat2020__DC_0p2C__t_s"", ""Mohtat2020__DC_0p2C__V_V"", ""Mohtat2020__DC_0p2C__I_A"", ""Mohtat2020__DC_0p5C__t_s"", ""Mohtat2020__DC_0p5C__V_V"", ""Mohtat2020__DC_0p5C__I_A"", ""Mohtat2020__DC0p2_AC0p5_1tau__t_s"", ""Mohtat2020__DC0p2_AC0p5_1tau__V_V"", ""Mohtat2020__DC0p2_AC0p5_1tau__I_A"", ""Mohtat2020__DC0p2_AC0p5_10tau__t_s"", ""Mohtat2020__DC0p2_AC0p5_10tau__V_V"", ""Mohtat2020__DC0p2_AC0p5_10tau__I_A"", ""Mohtat2020__DC0p2_AC1p0_1tau__t_s"", ""Mohtat2020__DC0p2_AC1p0_1tau__V_V"", ""Mohtat2020__DC0p2_AC1p0_1tau__I_A"", ""Mohtat2020__DC0p2_AC1p0_10tau__t_s"", ""Mohtat2020__DC0p2_AC1p0_10tau__V_V"", ""Mohtat2020__DC0p2_AC1p0_10tau__I_A"", ""NCA_Kim2011__DC_0p2C__t_s"", ""NCA_Kim2011__DC_0p2C__V_V"", ""NCA_Kim2011__DC_0p2C__I_A"", ""NCA_Kim2011__DC_0p5C__t_s"", ""NCA_Kim2011__DC_0p5C__V_V"", ""NCA_Kim2011__DC_0p5C__I_A"", ""NCA_Kim2011__DC0p2_AC0p5_1tau__t_s"", ""NCA_Kim2011__DC0p2_AC0p5_1tau__V_V"", ""NCA_Kim2011__DC0p2_AC0p5_1tau__I_A"", ""NCA_Kim2011__DC0p2_AC0p5_10tau__t_s"", ""NCA_Kim2011__DC0p2_AC0p5_10tau__V_V"", ""NCA_Kim2011__DC0p2_AC0p5_10tau__I_A"", ""NCA_Kim2011__DC0p2_AC1p0_1tau__t_s"", ""NCA_Kim2011__DC0p2_AC1p0_1tau__V_V"", ""NCA_Kim2011__DC0p2_AC1p0_1tau__I_A"", ""NCA_Kim2011__DC0p2_AC1p0_10tau__t_s"", ""NCA_Kim2011__DC0p2_AC1p0_10tau__V_V"", ""NCA_Kim2011__DC0p2_AC1p0_10tau__I_A"", ""OKane2022__DC_0p2C__t_s"", ""OKane2022__DC_0p2C__V_V"", ""OKane2022__DC_0p2C__I_A"", ""OKane2022__DC_0p5C__t_s"", ""OKane2022__DC_0p5C__V_V"", ""OKane2022__DC_0p5C__I_A"", ""OKane2022__DC0p2_AC0p5_1tau__t_s"", ""OKane2022__DC0p2_AC0p5_1tau__V_V"", ""OKane2022__DC0p2_AC0p5_1tau__I_A"", ""OKane2022__DC0p2_AC0p5_10tau__t_s"", ""OKane2022__DC0p2_AC0p5_10tau__V_V"", ""OKane2022__DC0p2_AC0p5_10tau__I_A"", ""OKane2022__DC0p2_AC1p0_1tau__t_s"", ""OKane2022__DC0p2_AC1p0_1tau__V_V"", ""OKane2022__DC0p2_AC1p0_1tau__I_A"", ""OKane2022__DC0p2_AC1p0_10tau__t_s"", ""OKane2022__DC0p2_AC1p0_10tau__V_V"", ""OKane2022__DC0p2_AC1p0_10tau__I_A"", ""ORegan2022__DC_0p2C__t_s"", ""ORegan2022__DC_0p2C__V_V"", ""ORegan2022__DC_0p2C__I_A"", ""ORegan2022__DC_0p5C__t_s"", ""ORegan2022__DC_0p5C__V_V"", ""ORegan2022__DC_0p5C__I_A"", ""ORegan2022__DC0p2_AC0p5_1tau__t_s"", ""ORegan2022__DC0p2_AC0p5_1tau__V_V"", ""ORegan2022__DC0p2_AC0p5_1tau__I_A"", ""ORegan2022__DC0p2_AC0p5_10tau__t_s"", ""ORegan2022__DC0p2_AC0p5_10tau__V_V"", ""ORegan2022__DC0p2_AC0p5_10tau__I_A"", ""ORegan2022__DC0p2_AC1p0_1tau__t_s"", ""ORegan2022__DC0p2_AC1p0_1tau__V_V"", ""ORegan2022__DC0p2_AC1p0_1tau__I_A"", ""ORegan2022__DC0p2_AC1p0_10tau__t_s"", ""ORegan2022__DC0p2_AC1p0_10tau__V_V"", ""ORegan2022__DC0p2_AC1p0_10tau__I_A""]",npz_trajectory_cache,True,True,True,True,False,False,False,True,
data/day16_step3a_dtQ_curves_long.csv.gz,day16_step3a_dtQ_curves_long.csv.gz,.csv.gz,129.47,2026-05-03 13:25,True,3600.0,14,"[""param_set"", ""chem_tag"", ""condition"", ""pair_role"", ""DC_C"", ""AC_C"", ""tau_label"", ""Q_Ah"", ""t_DC_s"", ""t_protocol_s"", ""dtQ_s"", ""Q_nom_Ah"", ""Q_low_Ah"", ""Q_hi_Ah""]",dtQ_curve_or_summary,True,True,False,True,True,False,False,False,
data/day16_step3a_dtQ_table.csv,day16_step3a_dtQ_table.csv,.csv,13.4,2026-05-03 13:25,True,36.0,33,"[""param_set"", ""chem_tag"", ""condition"", ""pair_role"", ""DC_C"", ""AC_C"", ""tau_label"", ""Q_nom_Ah"", ""Q_to_Vmax_protocol_Ah"", ""Q_to_Vmax_DC_ref_Ah"", ""Q_low_Ah"", ""Q_hi_Ah"", ""window_width_Ah"", ""t_charge_DC_ref_s"", ""feasibility_verdict_protocol"", ""feasibility_verdict_DC_ref"", ""low_voltage_class_protocol"", ""low_voltage_class_DC_ref"", ""window_status"", ""n_Q_grid"", ""dtQ_min_s"", ""dtQ_max_s"", ""dtQ_mean_s"", ""dtQ_median_s"", ""dtQ_max_abs_s"", ""n_pos"", ""n_neg"", ""n_zero"", ""dtQ_fraction_positive"", ""A_delta_t_area_sAh"", ""A_delta_t_mean_s"", ""sign_class_abs"", ""sign_class_rel""]",dtQ_curve_or_summary,True,True,True,True,True,True,False,False,
data/day18B_protocol_design_full.csv,day18B_protocol_design_full.csv,.csv,20.65,2026-05-05 15:07,True,64.0,32,"[""param_set"", ""Q_nom_Ah"", ""tau95_eq_s"", ""V_max_cutoff"", ""V_min_cutoff"", ""protocol_label"", ""protocol_type"", ""phase_label"", ""current_formula"", ""DC_C"", ""AC_C"", ""kappa"", ""n_tau"", ""T_period_s"", ""f_anchor_Hz"", ""I_DC_A"", ""I_AC_A"", ""I_peak_charge_A"", ""I_peak_discharge_A"", ""I_peak_charge_C"", ""I_peak_discharge_C"", ""peak_current_constraint_margin_C"", ""dt_eval_max_s"", ""est_t_total_s"", ""est_output_points"", ""est_wall_s"", ""Q_sin_ripple_amp_Ah"", ""Q_lobe_per_period_Ah"", ""Q_lobe_Q_frac"", ""smoke_member"", ""feasibility_risk"", ""compute_risk""]",dtQ_curve_or_summary,False,True,True,True,True,False,True,True,
data/day18B_protocol_design_smoke.csv,day18B_protocol_design_smoke.csv,.csv,7.72,2026-05-05 15:07,True,24.0,32,"[""param_set"", ""Q_nom_Ah"", ""tau95_eq_s"", ""V_max_cutoff"", ""V_min_cutoff"", ""protocol_label"", ""protocol_type"", ""phase_label"", ""current_formula"", ""DC_C"", ""AC_C"", ""kappa"", ""n_tau"", ""T_period_s"", ""f_anchor_Hz"", ""I_DC_A"", ""I_AC_A"", ""I_peak_charge_A"", ""I_peak_discharge_A"", ""I_peak_charge_C"", ""I_peak_discharge_C"", ""peak_current_constraint_margin_C"", ""dt_eval_max_s"", ""est_t_total_s"", ""est_output_points"", ""est_wall_s"", ""Q_sin_ripple_amp_Ah"", ""Q_lobe_per_period_Ah"", ""Q_lobe_Q_frac"", ""smoke_member"", ""feasibility_risk"", ""compute_risk""]",dtQ_curve_or_summary,False,True,True,True,True,False,True,True,
data/day18B_smoke_dtQ_resid_curves_long.csv.gz,day18B_smoke_dtQ_resid_curves_long.csv.gz,.csv.gz,40.77,2026-05-05 16:12,True,1032.0,9,"[""pair_id"", ""param_set"", ""protocol_label"", ""DC_ref_protocol"", ""n_tau"", ""Q_Ah"", ""dt_model_s"", ""dt_geom_s"", ""dt_resid_s""]",dtQ_curve_or_summary,False,False,False,True,True,False,False,False,
data/day18B_smoke_dtQ_resid_summary.csv,day18B_smoke_dtQ_resid_summary.csv,.csv,7.3,2026-05-05 16:12,True,18.0,27,"[""pair_id"", ""param_set"", ""protocol_label"", ""DC_ref_protocol"", ""n_tau"", ""DC_C"", ""AC_C"", ""Q_window_lo_Ah"", ""Q_window_hi_Ah"", ""n_grid"", ""n_valid"", ""dt_model_mean_s"", ""dt_geom_mean_s"", ""dt_resid_mean_s"", ""dt_resid_max_abs_s"", ""dt_resid_rms_s"", ""dt_geom_max_abs_s"", ""dt_model_max_abs_s"", ""dt_resid_topology"", ""dt_resid_n_cross"", ""numerical_floor_s"", ""dt_eval_s"", ""Q_to_Vmax_DC_Ah"", ""Q_to_Vmax_DCAC_Ah"", ""Q_to_Vmax_shift_pct"", ""feasibility_verdict"", ""verdict""]",dtQ_curve_or_summary,False,True,True,True,True,True,False,False,
data/day18B_smoke_metadata.csv,day18B_smoke_metadata.csv,.csv,13.05,2026-05-05 15:40,True,24.0,40,"[""param_set"", ""protocol_label"", ""protocol_type"", ""phase_label"", ""current_formula"", ""DC_C"", ""AC_C"", ""n_tau"", ""tau95_eq_s"", ""f_anchor_Hz"", ""T_period_s"", ""dt_eval_s"", ""Q_nom_Ah"", ""I_DC_A"", ""I_AC_A"", ""t_end_s"", ""termination_raw"", ""termination_class"", ""feasibility_verdict"", ""V_init_V"", ""V_min_obs"", ""V_max_obs"", ""V_min_cutoff"", ""V_max_cutoff"", ""frac_below_Vmin"", ""frac_above_Vmax"", ""Q_to_Vmax_Ah"", ""t_to_Vmax_s"", ""Q_net_end_Ah"", ""wall_s"", ""trajectory_npz"", ""error"", ""I_initial_A"", ""I_first_nonzero_A"", ""I_min_first_period_A"", ""I_max_first_period_A"", ""I_initial_C"", ""I_first_nonzero_C"", ""I_min_first_period_C"", ""I_max_first_period_C""]",event_boundary_metadata,True,True,True,True,True,True,True,True,
