protocol_pair,Q_Ah,dt_raw_s,dt_geom_s,dt_resid_s,abs_resid_s,t_DCAC_s,t_geom_DCAC_s,T_AC_s,geometry_phase_offset_rad,geom_prev_max_Q_Ah,geom_prev_max_time_s,geom_prev_max_deficit_mAh,geom_prev_max_lead_time_s,near_miss_deficit_le_1mAh,branch_jump_time_ge_0p25TAC,branch_jump_artifact_candidate
0.3C DC vs 0.3C+0.7C 0.1tau,2.67,14.681683679262278,-14.004154388710958,28.685838067973236,28.685838067973236,9409.842476301206,9437.53356615189,6.974335690969341,0.1162389281828226,2.6697098864981075,9437.2,0.2901135018924528,0.33356615188858996,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.46,-2.562723272590119,2.5538703536221874,-5.116593626212307,5.116593626212307,5156.043970527211,5150.3873061166405,6.974335690969341,0.1162389281828226,1.4595544475916602,5149.5,0.4455524083397666,0.8873061166405023,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.61,-2.4189134214420847,2.3036115639106356,-4.72252498535272,4.72252498535272,5685.367371373159,5680.049329612086,6.974335690969341,0.1162389281828226,1.609626969443066,5679.4,0.37303055693405085,0.6493296120861487,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.62,-2.104704799400679,2.4779142852985387,-4.582619084699218,4.582619084699218,5720.35105022662,5715.169144537747,6.974335690969341,0.1162389281828226,1.6196056852598717,5714.4,0.3943147401284097,0.7691445377477066,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.63,-1.78439561430514,2.599547482676826,-4.383943096981966,4.383943096981966,5755.328657419115,5750.341628987418,6.974335690969341,0.1162389281828226,1.6295783516476352,5749.4,0.42164835236468967,0.9416289874179711,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.75,-2.5493941596041623,1.7378536066589731,-4.287247766263135,4.287247766263135,6179.669113070172,6174.732734628022,6.974335690969341,0.1162389281828226,1.7497825361655983,6174.4,0.2174638344016877,0.33273462802208087,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.76,-2.255997456026307,1.9767392873536664,-4.232736743379974,4.232736743379974,6214.673681217158,6209.7879665943765,6.974335690969341,0.1162389281828226,1.7597682509548505,6209.4,0.23174904514955408,0.38796659437684866,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.77,-1.9563062947236176,2.191505113642961,-4.147811408366579,4.147811408366579,6249.67189306732,6244.867318415136,6.974335690969341,0.1162389281828226,1.7697490835313323,6244.4,0.25091646866770567,0.4673184151361056,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.78,-1.6466733232637123,2.3699647139537774,-4.01663803721749,4.01663803721749,6284.66028271876,6279.9829764618735,6.974335690969341,0.1162389281828226,1.7797241773034116,6279.4,0.2758226965884347,0.5829764618738409,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.79,-1.3347932696306088,2.4917695563772213,-3.82656282600783,3.82656282600783,6319.64628989033,6315.1552892664995,6.974335690969341,0.1162389281828226,1.7896927522904138,6314.4,0.3072477095862336,0.7552892664998581,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.18,0.7681574143020953,4.582369128567507,-3.814211714265411,3.814211714265411,634.6070978199301,630.7117485184976,6.974335690969341,0.1162389281828226,0.1795035844264087,629.9000000000001,0.49641557359128563,0.8117485184975521,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.9,-2.410007685784876,1.3658052504779334,-3.7758129362628097,3.7758129362628097,6708.997194854691,6704.5165476899365,6.974335690969341,0.1162389281828226,1.8999214496175285,6704.4,0.07855038247139845,0.11654768993685138,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.91,-2.11931513232048,1.629280909303816,-3.748596041624296,3.748596041624296,6744.004523593399,6739.54718967816,6.974335690969341,0.1162389281828226,1.9099088049227102,6739.4,0.09119507728971854,0.14718967816043005,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.92,-1.819511094684458,1.8773009007582004,-3.6968119954426584,3.6968119954426584,6779.0026942320565,6774.593287333755,6.974335690969341,0.1162389281828226,1.9198916266101849,6774.4,0.10837338981506406,0.19328733375550655,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.19,1.064377581169424,4.756657018189003,-3.692279437019579,3.692279437019579,669.6086447833112,665.8315782759355,6.974335690969341,0.1162389281828226,0.18948569540667692,664.9000000000001,0.5143045933230783,0.9315782759354079,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.93,-1.5068041022004763,2.101766134380341,-3.6085702365808174,3.6085702365808174,6813.988015121375,6809.6629397471825,6.974335690969341,0.1162389281828226,1.9298690315344091,6809.4,0.13096846559079722,0.262939747182827,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.7300000000000001,-2.490607498519239,1.0111307817014676,-3.5017382802207067,3.5017382802207067,2579.2411377486656,2575.459457453617,6.974335690969341,0.1162389281828226,0.7292453768967181,2574.6000000000004,0.7546231032820039,0.8594574536164146,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.7400000000000001,-2.2068657931076814,1.290778007366498,-3.497643800474179,3.497643800474179,2614.255041398563,2610.4739278750144,6.974335690969341,0.1162389281828226,0.7392337397960477,2609.6000000000004,0.7662602039524291,0.8739278750140329,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.94,-1.1937902258323447,2.2894784716545473,-3.483268697486892,3.483268697486892,6848.9727517133815,6844.769345056957,6.974335690969341,0.1162389281828226,1.9398402088616633,6844.4,0.15979113833664016,0.36934505695717235,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.7500000000000001,-1.9075832878861547,1.5661231294698157,-3.47370641735597,3.47370641735597,2649.253427177855,2645.4927003999737,6.974335690969341,0.1162389281828226,0.7492254437248386,2644.6000000000004,0.774556275161542,0.8927003999733643,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.76,-1.5991975420374729,1.8354568365707564,-3.4346543786082293,3.4346543786082293,2684.242837554904,2680.517484339935,6.974335690969341,0.1162389281828226,0.7592194869628446,2679.6000000000004,0.7805130371554281,0.9174843399346173,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.77,-1.2846981561451685,2.096716635001485,-3.3814147911466534,3.3814147911466534,2719.226183198993,2715.550342188567,6.974335690969341,0.1162389281828226,0.7692148365608917,2714.6000000000004,0.7851634391082829,0.9503421885665375,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.78,-0.96969045186097,2.347301333201358,-3.316991785062328,3.316991785062328,2754.2087966855784,2750.5938751374288,6.974335690969341,0.1162389281828226,0.7792104421303718,2749.6000000000004,0.7895578696281991,0.9938751374284038,True,False,False
