protocol_pair,Q_Ah,dt_resid_s,fp_err_DC_s,fp_err_DCAC_s,residual_reconstructed_s,reconstruction_error_s
0.3C DC vs 0.3C+0.7C 0.1tau,0.05,0.0769425004812092,0.026991800985001646,-0.04995069949620756,0.07694250048120921,-1.3877787807814457e-17
0.3C DC vs 0.3C+0.7C 0.1tau,0.06,0.1211539265150065,0.03199857535460637,-0.08915535116042861,0.12115392651503498,-2.8477220581635265e-14
0.3C DC vs 0.3C+0.7C 0.1tau,0.07,0.159641868893658,0.036775772844407584,-0.12286609604925047,0.15964186889365806,-5.551115123125783e-17
0.3C DC vs 0.3C+0.7C 0.1tau,0.08,0.1968513108252523,0.04144369886205368,-0.15540761196319863,0.1968513108252523,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.09,0.2335443792418914,0.04588427878110224,-0.18766010046078918,0.23354437924189142,-2.7755575615628914e-17
0.3C DC vs 0.3C+0.7C 0.1tau,0.1,0.2656970892485333,0.05022154966911785,-0.21547553957941545,0.2656970892485333,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.11,0.2955250930590409,0.05431741864839523,-0.24120767441064572,0.29552509305904096,-5.551115123125783e-17
0.3C DC vs 0.3C+0.7C 0.1tau,0.12,0.3184653684841692,0.05851464282369534,-0.2599507256605307,0.318465368484226,-5.684341886080802e-14
0.3C DC vs 0.3C+0.7C 0.1tau,0.13,0.3351074235063151,0.06239744599338337,-0.2727099775129318,0.33510742350631517,-5.551115123125783e-17
0.3C DC vs 0.3C+0.7C 0.1tau,0.14,0.3315512052572558,0.0663685036038828,-0.265182701653373,0.3315512052572558,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.15,0.2940982346990495,0.07009099767367388,-0.2240072370254893,0.2940982346991632,-1.1368683772161603e-13
0.3C DC vs 0.3C+0.7C 0.1tau,0.16,0.1912470432224609,0.07374855949660741,-0.11749848372585348,0.1912470432224609,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.1699999999999999,-0.0840878936381841,0.07750767477341469,0.16159556841137146,-0.08408789363795677,-2.2733204207980862e-13
0.3C DC vs 0.3C+0.7C 0.1tau,0.18,-3.814211714265411,0.08113758716706343,3.895349301432475,-3.8142117142654115,4.440892098500626e-16
0.3C DC vs 0.3C+0.7C 0.1tau,0.19,-3.692279437019579,0.08478707035612842,3.7770665073757073,-3.692279437019579,0.0
