protocol_pair,Q_Ah,dt_raw_s,dt_geom_prescribed_s,dt_resid_prescribed_s,dt_geom_fitted_s,dt_resid_fitted_s,fit_status,I0_fit_A,A_fit_A,f_meta_Hz,f_fit_Hz,f_fit_rel_error_ppm,phi_fit_rad,fit_rmse_A
0.3C DC vs 0.3C+0.7C 0.1tau,0.05,1.2420025902232794,1.1650600897420702,0.0769425004812092,-0.0030386048521506837,1.24504119507543,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.06,1.5533279134462532,1.4321739869312466,0.1211539265150065,-0.1007611098432335,1.6540890232894867,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.07,1.8649479772876134,1.7053061083939554,0.159641868893658,-0.18108582233759307,2.0460337996252065,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.08,2.1792823741582197,1.9824310633329671,0.1968513108252523,-0.24248837379900579,2.4217707479572255,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.09,2.4953891989048884,2.261844819662997,0.2335443792418914,-0.2776745090203576,2.773063707925246,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.1,2.8077160243059893,2.542018935057456,0.2656970892485333,-0.22932302121080284,3.037039045516792,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.11,3.117005464228953,2.821480371169912,0.2955250930590409,-0.16709983595194444,3.2841053001808973,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.12,3.4171644139321984,3.098699045448029,0.3184653684841692,-0.0925183203514166,3.509682734283615,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.13,3.7070745576994,3.371967134193085,0.3351074235063151,-0.007096481805319854,3.71417103950472,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.14,3.970803325066413,3.639252119809157,0.3315512052572558,0.09830261118167982,3.872500713884733,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.15,4.192097134735491,3.8979989000364417,0.2940982346990495,0.2111966761912072,3.9809004585442835,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.16,4.336089300404865,4.144842257182404,0.1912470432224609,0.323488926307391,4.012600374097474,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.1699999999999999,4.291075501575733,4.375163395213917,-0.0840878936381841,0.43388018766586356,3.8571953139098696,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.18,0.7681574143020953,4.582369128567507,-3.814211714265411,0.5410583886795166,0.22709902562257867,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.19,1.064377581169424,4.756657018189003,-3.692279437019579,0.6353385621328016,0.42903901903662245,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.2,1.3692072915006293,0.7602148380248082,0.6089924534758211,0.6908126037092188,0.6783946877914104,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.21,1.6810124032616613,1.017461199968693,0.6635512032929682,0.7308737253111985,0.9501386779504628,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.22,1.9993845533502963,1.2835033733935006,0.7158811799569094,0.7541313006148584,1.2452532527354379,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.2299999999999999,2.313682149599117,1.5559121712609567,0.7577699783383878,0.7318820834176449,1.5818000661814722,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.24,2.629834488680558,1.8327311544579743,0.7971033342225837,0.6445340071770715,1.9853004815034865,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.25,2.9408098864612384,2.112299374121335,0.8285105123399035,0.5455462459103728,2.3952636405508656,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
