protocol_pair,protocol_label_DCAC,file_name_DCAC,Q_label,Q_Ah,is_anchor,segment_label,t_DC_s,t_DCAC_s,dt_raw_s,t_geom_DC_s,t_geom_DCAC_s,dt_geom_s,dt_resid_s,geometry_phase_offset_rad,geometry_phase_offset_s,geometry_phase_reference_status,geometry_phase_fit_rmse_A,geometry_phase_fit_window_s
0.3C DC vs 0.3C+0.7C 0.1tau,0.3C+0.7C 0.1tau,MJ1_0p3C_0p7C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.05,False,A_shared_prescribed_current,176.4975800362799,175.25557744605663,1.2420025902232794,176.4705882352949,175.30552814555284,1.1650600897420702,0.07694250048120921,0.11623892818282267,0.12902521028293318,estimated_from_current_waveform,0.09254619816951276,34.87167845484671
0.3C DC vs 0.3C+0.7C 0.1tau,0.3C+0.7C 0.1tau,MJ1_0p3C_0p7C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.060000000000000005,False,A_shared_prescribed_current,211.79670445770878,210.24337654426253,1.5533279134462532,211.76470588235418,210.33253189542293,1.4321739869312466,0.12115392651500656,0.11623892818282267,0.12902521028293318,estimated_from_current_waveform,0.09254619816951276,34.87167845484671
0.3C DC vs 0.3C+0.7C 0.1tau,0.3C+0.7C 0.1tau,MJ1_0p3C_0p7C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.07,False,A_shared_prescribed_current,247.09559930225782,245.2306513249702,1.8649479772876134,247.05882352941342,245.35351742101946,1.7053061083939554,0.15964186889365806,0.11623892818282267,0.12902521028293318,estimated_from_current_waveform,0.09254619816951276,34.87167845484671
0.3C DC vs 0.3C+0.7C 0.1tau,0.3C+0.7C 0.1tau,MJ1_0p3C_0p7C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.08,False,A_shared_prescribed_current,282.3943848753347,280.2151025011765,2.1792823741582197,282.35294117647265,280.3705101131397,1.9824310633329674,0.1968513108252523,0.11623892818282267,0.12902521028293318,estimated_from_current_waveform,0.09254619816951276,34.87167845484671
0.3C DC vs 0.3C+0.7C 0.1tau,0.3C+0.7C 0.1tau,MJ1_0p3C_0p7C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.09,False,A_shared_prescribed_current,317.692943102313,315.1975539034081,2.4953891989048884,317.6470588235319,315.3852140038689,2.261844819662997,0.23354437924189142,0.11623892818282267,0.12902521028293318,estimated_from_current_waveform,0.09254619816951276,34.87167845484671
0.3C DC vs 0.3C+0.7C 0.1tau,0.3C+0.7C 0.1tau,MJ1_0p3C_0p7C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.1,False,A_shared_prescribed_current,352.9913980202603,350.1836819959543,2.8077160243059893,352.9411764705912,350.39915753553373,2.542018935057456,0.2656970892485333,0.11623892818282267,0.12902521028293318,estimated_from_current_waveform,0.09254619816951276,34.87167845484671
0.3C DC vs 0.3C+0.7C 0.1tau,0.3C+0.7C 0.1tau,MJ1_0p3C_0p7C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.11,False,A_shared_prescribed_current,388.2896115362988,385.17260607206987,3.117005464228953,388.2352941176504,385.4138137464805,2.821480371169912,0.29552509305904096,0.11623892818282267,0.12902521028293318,estimated_from_current_waveform,0.09254619816951276,34.87167845484671
0.3C DC vs 0.3C+0.7C 0.1tau,0.3C+0.7C 0.1tau,MJ1_0p3C_0p7C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.12000000000000001,False,A_shared_prescribed_current,423.5879264075334,420.1707619936012,3.4171644139321984,423.5294117647097,420.4307127192617,3.098699045448029,0.3184653684841692,0.11623892818282267,0.12902521028293318,estimated_from_current_waveform,0.09254619816951276,34.87167845484671
0.3C DC vs 0.3C+0.7C 0.1tau,0.3C+0.7C 0.1tau,MJ1_0p3C_0p7C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.13,False,A_shared_prescribed_current,458.88592685776234,455.17885230006294,3.7070745576994,458.82352941176896,455.4515622775759,3.371967134193085,0.33510742350631517,0.11623892818282267,0.12902521028293318,estimated_from_current_waveform,0.09254619816951276,34.87167845484671
0.3C DC vs 0.3C+0.7C 0.1tau,0.3C+0.7C 0.1tau,MJ1_0p3C_0p7C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.14,False,A_shared_prescribed_current,494.1840155624321,490.21321223736567,3.970803325066413,494.1176470588282,490.47839493901904,3.639252119809157,0.3315512052572558,0.11623892818282267,0.12902521028293318,estimated_from_current_waveform,0.09254619816951276,34.87167845484671
