protocol_pair,protocol_label_DCAC,file_name_DCAC,Q_label,Q_Ah,is_anchor,segment_label,t_DC_s,t_DCAC_s,dt_raw_s,t_geom_DC_s,t_geom_DCAC_s,dt_geom_s,dt_resid_s,dt_geom_fit_s,dt_resid_fit_s,geometry_phase_offset_rad,geometry_phase_offset_s,geometry_phase_reference_status,geometry_phase_fit_rmse_A,geometry_phase_fit_window_s,fit_status,I0_fit_A,A_fit_A,f_meta_Hz,f_fit_Hz,f_fit_rel_error_ppm,fit_rmse_A
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.05,False,A_shared_prescribed_current,176.4975800362799,175.28950950313146,1.208070533148458,176.4705882352949,175.39977821140596,1.0708100238889529,0.13726050925950517,0.13829218368286433,1.0697783494655937,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.060000000000000005,False,A_shared_prescribed_current,211.79670445770878,210.33537699430266,1.4613274634061213,211.76470588235418,210.46833106699688,1.2963748153572965,0.1649526480488248,0.10672460013918794,1.3546028632669334,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.07,False,A_shared_prescribed_current,247.09559930225782,245.38835976503333,1.7072395372244955,247.05882352941342,245.53887410262405,1.519949426789367,0.18729011043512855,0.06591409002811588,1.6413254471963796,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.08,False,A_shared_prescribed_current,282.3943848753347,280.4535502383152,1.9408346370195204,282.35294117647265,280.6139341168557,1.739007059616938,0.2018275774025824,0.011913067570787916,1.9289215694487325,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.09,False,A_shared_prescribed_current,317.692943102313,315.53823622416814,2.15470687814485,317.6470588235319,315.69631294870015,1.950745874831739,0.20396100331311118,-0.03750767682640799,2.192214554971258,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.1,False,A_shared_prescribed_current,352.9913980202603,350.65359268436976,2.3378053358905504,352.9411764705912,350.7892622060294,2.1519142645618103,0.18589107132874005,-0.07777086787967846,2.415576203770229,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.11,False,A_shared_prescribed_current,388.2896115362988,385.8158367998554,2.4737747364434313,388.2352941176504,385.89670753777716,2.3385865798732652,0.13518815657016603,-0.07258848571518683,2.546363222158618,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.12000000000000001,False,A_shared_prescribed_current,423.5879264075334,421.2551680275123,2.3327583800211187,423.5294117647097,421.05268119581694,2.4767305688927763,-0.14397218887165764,-0.05665612116126795,2.3894145011823866,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.13,False,A_shared_prescribed_current,458.88592685776234,459.05036420537266,-0.16443734761031692,458.82352941176896,456.4449618326929,2.378567579076048,-2.543004926686365,-0.030525875870978325,-0.1339114717393386,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.14,False,A_shared_prescribed_current,494.1840155624321,494.2221162377065,-0.03810067527439287,494.1176470588282,494.1719575152869,-0.054310456458722456,0.016209781184329586,0.014724559823150685,-0.052825235097543555,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
