protocol_pair,protocol_label_DCAC,file_name_DCAC,kappa,Q_label,Q_Ah,is_anchor,generalized_region,t_DC_s,t_DCAC_s,dt_raw_s,t_geom_DC_s,t_geom_DCAC_s,dt_geom_s,dt_resid_s,dt_geom_fit_s,dt_resid_fit_s,boundary_ordering_by_Q,boundary_ordering_by_time,protocol_mode_status_DCAC,geometry_phase_reference_status,geometry_phase_offset_rad,fit_status,I0_fit_A,A_fit_A,A_fit_ratio_to_expected,fit_rmse_A,continued_AC_after_Vmax_caveat,not_same_protocol_family_as_Day21A_Day22A
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.05,False,G0_shared_pre_boundary,132.5044749006211,128.57257204548623,3.931902855134865,132.35294117647078,120.63295063315165,11.719990543319128,-7.7880876881842624,10.383103565655702,-6.451200710520837,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.060000000000000005,False,G0_shared_pre_boundary,158.98094065568117,153.30402498908222,5.676915666598944,158.82352941176507,160.51583934064587,-1.6923099288808032,7.369225595479747,-0.8505777675055413,6.5274934341044855,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.07,False,G0_shared_pre_boundary,185.4572434672386,169.4988267298476,15.958416737391019,185.29411764705898,176.20267724596286,9.091440401096122,6.866976336294897,8.912087521399911,7.046329215991108,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.08,False,G0_shared_pre_boundary,211.93347789810122,211.64058197193393,0.2928959261672901,211.76470588235276,214.7780569695949,-3.0133510872421425,3.3062470134094326,-0.05956331481297639,0.3524592409802665,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.09,False,G0_shared_pre_boundary,238.40947013238764,228.70327010293445,9.706200029453186,238.23529411764653,236.10431272782637,2.130981389820164,7.575218639633022,2.822867349576086,6.8833326798771,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.1,False,G0_shared_pre_boundary,264.8854226727698,248.59395719368143,16.291465479088345,264.70588235294036,252.77411053638818,11.931771816552185,4.359693662536159,11.747745219167513,4.543720259920832,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.11,False,G0_shared_pre_boundary,291.36123192669174,288.5926939941563,2.7685379325354234,291.1764705882341,294.9685662021629,-3.7920956139287796,6.560633546464203,-1.7988687275247912,4.567406660060215,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.12000000000000001,False,G0_shared_pre_boundary,317.83681517874504,304.28038828139614,13.5564268973489,317.64705882352797,311.4013363480329,6.245722475495086,7.3107044218538135,6.84556811583758,6.71085878151132,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.13,False,G0_shared_pre_boundary,344.3121693121691,342.5988341336057,1.7133351785633977,344.1176470588217,334.037583429057,10.080063629764709,-8.366728451201311,10.998909565907638,-9.28557438734424,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.14,False,G0_shared_pre_boundary,370.78730140402956,364.2819773887561,6.505324015273459,370.5882352941155,371.34749792682993,-0.7592626327144103,7.264586647987869,0.8177306669695099,5.687593348303949,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
