parameter_set,pair_id,Q_Ah,Q_frac_nominal_increment,SOC_nominal_est,delta_t_model_s,delta_t_model_min,delta_t_geom_s,delta_t_geom_min,delta_t_resid_s,delta_t_resid_min,q_window_lo_Ah,q_window_hi_Ah,q_margin_Ah,dt_geom_resolution_s
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.1,0.02,0.07,125.66716753311003,2.0944527922185006,125.66733165978644,2.0944555276631074,-0.00016412667640963718,-2.7354446068272864e-06,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.13510480301535735,0.02702096060307147,0.07702096060307148,182.96557777355613,3.0494262962259358,182.96623539374698,3.0494372565624497,-0.0006576201908501389,-1.0960336514168981e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.17020960603071472,0.034041921206142946,0.08404192120614296,241.60343858422164,4.0267239764036935,241.60519783241114,4.026753297206852,-0.001759248189500795,-2.9320803158346583e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.20531440904607207,0.04106288180921441,0.09106288180921442,300.52066368144193,5.008677728024032,300.5233396857492,5.0087223280958195,-0.002676004307261337,-4.460007178768895e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.2404192120614294,0.04808384241228588,0.09808384241228588,358.7555000863521,5.979258334772535,358.7591461733881,5.979319102889802,-0.003646087036031531,-6.0768117267192184e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.27552401507678675,0.05510480301535735,0.10510480301535735,415.0922404793581,6.918204007989302,415.09680890827815,6.918280148471302,-0.004568428920038059,-7.614048200063431e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.31062881809214415,0.06212576361842883,0.11212576361842883,467.37019349813085,7.789503224968848,467.3763587471161,7.789605979118602,-0.006165248985269045,-0.00010275414975448408,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.3457336211075015,0.0691467242215003,0.1191467242215003,509.5109296968316,8.491848828280528,509.52236573775707,8.492039428962618,-0.011436040925445923,-0.00019060068209076538,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.38083842412285884,0.07616768482457177,0.12616768482457177,110.16929278535804,1.8361548797559673,110.16974221323267,1.8361623702205445,-0.00044942787462787237,-7.4904645771312065e-06,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.4159432271382162,0.08318864542764323,0.13318864542764325,166.84903865330546,2.780817310888424,166.8494945873308,2.780824909788847,-0.0004559340253535993,-7.598900422559988e-06,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.45104803015357353,0.0902096060307147,0.1402096060307147,225.23377797022954,3.753896299503826,225.2352341628133,3.7539205693802216,-0.00145619258375973,-2.42698763959955e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.4861528331689309,0.09723056663378618,0.1472305666337862,284.1678712169037,4.736131186948395,284.17044519126614,4.736174086521102,-0.00257397436246265,-4.289957270771083e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.5212576361842882,0.10425152723685764,0.15425152723685764,342.69601364255925,5.711600227375987,342.69946985126774,5.711657830854462,-0.0034562087084850646,-5.7603478474751076e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.5563624391996456,0.11127248783992912,0.16127248783992912,399.71561676918975,6.661926946153162,399.7205828935648,6.662009714892747,-0.0049661243750733775,-8.27687395845563e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.5914672422150029,0.11829344844300058,0.1682934484430006,453.45377429115183,7.557562904852531,453.4589733837978,7.55764955639663,-0.00519909264596663,-8.665154409944383e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.6265720452303603,0.12531440904607205,0.17531440904607204,499.6446736546234,8.327411227577056,499.65311106964657,8.327551851160775,-0.008437415023195172,-0.00014062358371991953,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.6616768482457176,0.13233536964914352,0.18233536964914354,498.1398934638978,8.30233155773163,498.28715023704217,8.304785837284037,-0.14725677314436325,-0.0024542795524060542,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.6967816512610749,0.139356330252215,0.189356330252215,150.86041744678255,2.514340290779709,150.86057533871804,2.5143429223119673,-0.00015789193548698677,-2.6315322581164463e-06,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.7318864542764323,0.14637729085528645,0.19637729085528643,208.90534635810104,3.4817557726350175,208.90668833073937,3.481778138845656,-0.0013419726383290254,-2.236621063881709e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.7669912572917896,0.15339825145835792,0.20339825145835794,267.78465343911944,4.463077557318657,267.7869347714925,4.463115579524875,-0.002281332373058831,-3.802220621764718e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.802096060307147,0.1604192120614294,0.21041921206142938,326.523323339492,5.442055388991533,326.5266834843869,5.442111391406448,-0.003360144894941186,-5.6002414915686434e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.8372008633225043,0.16744017266450087,0.21744017266450089,384.09662638775694,6.401610439795949,384.10162814733394,6.401693802455566,-0.005001759576998666,-8.336265961664443e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.8723056663378617,0.17446113326757234,0.22446113326757233,439.0037330843911,7.3167288847398515,439.01028595133084,7.316838099188847,-0.006552866939728119,-0.00010921444899546865,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.907410469353219,0.1814820938706438,0.23148209387064378,488.0729976079972,8.134549960133286,488.08146688563625,8.134691114760605,-0.008469277639051143,-0.00014115462731751905,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.9425152723685765,0.1885030544737153,0.23850305447371528,517.9825561454388,8.63304260242398,517.9977377921887,8.633295629869812,-0.015181646749852007,-0.00025302744583086676,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.9776200753839338,0.19552401507678677,0.24552401507678678,135.03091219600492,2.250515203266749,135.03056823755423,2.250509470625904,0.0003439584506850224,5.732640844750373e-06,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.0127248783992913,0.20254497567985824,0.25254497567985823,192.63948910834142,3.2106581518056903,192.64094250404605,3.2106823750674343,-0.0014533957046296564,-2.4223261743827606e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.0478296814146486,0.20956593628292972,0.25956593628292973,251.3908664167534,4.189847773612557,251.39282473820185,4.189880412303364,-0.0019583214484555356,-3.2638690807592256e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.082934484430006,0.2165868968860012,0.2665868968860012,310.2631604185508,5.171052673642513,310.26631647020395,5.171105274503399,-0.003156051653149916,-5.260086088583193e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.1180392874453633,0.22360785748907266,0.2736078574890727,368.27980729017963,6.13799678816966,368.28442520228054,6.1380737533713425,-0.004617912100911781,-7.696520168186302e-05,0.1,4.277471558827524,0.1,0.25
