parameter_set,pair_id,Q_Ah,Q_frac_nominal_increment,SOC_nominal_est,t_DC_s,t_DCAC_s,t_DC_min,t_DCAC_min,delta_t_full_s,delta_t_full_min,control_state_DC_Qbased,control_state_DCAC_Qbased,segment_label_Qbased,control_state_DC_timebased,control_state_DCAC_timebased,segment_label_timebased
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.1,0.02,0.07,240.0,114.33283246688997,4.0,1.9055472077814994,125.66716753311003,2.0944527922185006,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.13429512684413558,0.026859025368827116,0.07685902536882712,322.3083044259254,140.6840837316194,5.371805073765424,2.3447347288603235,181.62422069430602,3.0270703449051,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.16859025368827113,0.03371805073765423,0.08371805073765423,404.61660885185074,165.73159855574175,6.743610147530846,2.7621933092623627,238.885010296109,3.981416838268483,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.2028853805324067,0.04057707610648134,0.09057707610648134,486.92491327777606,190.47065533010988,8.115415221296267,3.174510922168498,296.4542579476662,4.940904299127769,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.23718050737654228,0.047436101475308454,0.09743610147530846,569.2332177037015,215.7930366006364,9.487220295061691,3.596550610010607,353.4401811030651,5.890669685051084,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.2714756342206779,0.05429512684413558,0.10429512684413558,651.541522129627,242.79647642384896,10.859025368827115,4.046607940397482,408.745045705778,6.812417428429634,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.3057707610648134,0.06115415221296268,0.11115415221296268,733.8498265555521,273.33466783034527,12.230830442592536,4.555577797172421,460.51515872520685,7.675252645420114,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.340065887908949,0.06801317758178979,0.1180131775817898,816.1581309814775,312.12226991632537,13.602635516357958,5.202037831938756,504.0358610651521,8.400597684419202,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.3743610147530846,0.07487220295061692,0.12487220295061692,898.4664354074031,798.4370016744163,14.974440590123384,13.307283361240271,100.02943373298683,1.6671572288831138,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.4086561415972201,0.08173122831944402,0.131731228319444,980.7747398333282,825.8791306736352,16.346245663888805,13.76465217789392,154.89560915969298,2.581593485994883,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.4429512684413557,0.08859025368827114,0.13859025368827116,1063.0830442592537,851.4003610340244,17.718050737654227,14.19000601723374,211.6826832252293,3.5280447204204886,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.4772463952854913,0.09544927905709825,0.14544927905709826,1145.391348685179,876.174804492147,19.08985581141965,14.60291340820245,269.21654419303206,4.486942403217201,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.5115415221296268,0.10230830442592535,0.15230830442592536,1227.6996531111042,901.1054085954163,20.461660885185072,15.018423476590272,326.59424451568793,5.443237408594799,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.5458366489737624,0.10916732979475248,0.15916732979475248,1310.0079575370298,927.147640453449,21.833465958950498,15.452460674224149,382.86031708358087,6.381005284726347,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.580131775817898,0.11602635516357959,0.1660263551635796,1392.3162619629552,955.6877959470205,23.20527103271592,15.928129932450341,436.6284660159347,7.277141100265578,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.6144269026620335,0.12288538053240669,0.1728853805324067,1474.6245663888803,989.5696659834823,24.57707610648134,16.492827766391372,485.05490040539803,8.084248340089967,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.6487220295061691,0.12974440590123382,0.1797444059012338,1556.9328708148057,1039.4299692582265,25.94888118024676,17.32383282097044,517.5029015565792,8.62504835927632,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.6830171563503047,0.13660343127006094,0.18660343127006096,1639.2411752407313,1510.6534826650868,27.320686254012188,25.177558044418113,128.5876925756445,2.143128209594075,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.7173122831944402,0.14346245663888804,0.19346245663888806,1721.5494796666565,1536.9049750363022,28.692491327777606,25.615082917271703,184.64450463035428,3.0774084105059045,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.7516074100385758,0.15032148200771517,0.20032148200771516,1803.8577840925818,1561.9134319383136,30.06429640154303,26.031890532305226,241.94435215426824,4.032405869237804,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
