parameter_set,pair_id,branch,t_vmax_min,Q_at_Vmax_Ah,Q_frontier_pre_Vmax_Ah,Q_frontier_minus_Q_at_Vmax_mAh,t_frontier_min
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,DC,179.71361764609452,4.492840441152363,4.492840441152363,0.0,179.71361764609452
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,DCAC,174.909051594849,4.377471558827524,4.439560443410899,62.08888458337558,169.36666666666667
Chen2020,P02_0p3DC_vs_0p3p0p7_1tau,DC,179.71361764611189,4.492840441152798,4.492840441152798,0.0,179.71361764611189
Chen2020,P02_0p3DC_vs_0p3p0p7_1tau,DCAC,159.39453812351465,3.988095461319682,3.9891560617550694,1.060600435387471,158.73333333333332
Chen2020,P03_0p3DC_vs_0p3p0p7_0p1tau,DC,179.71362166901656,4.492840541725414,4.492840541725414,0.0,179.71362166901656
Chen2020,P03_0p3DC_vs_0p3p0p7_0p1tau,DCAC,154.84985090558501,3.8717881470264106,3.8717881470264106,0.0,154.84985090558501
Ecker2015,P01_0p3DC_vs_0p3p0p7_10tau,DC,204.72782691510318,0.15994361477742436,0.15994361477742436,0.0,204.72782691510318
Ecker2015,P01_0p3DC_vs_0p3p0p7_10tau,DCAC,199.06384224216617,0.15651238910189819,0.15689851375852235,0.3861246566241594,192.6
Ecker2015,P02_0p3DC_vs_0p3p0p7_1tau,DC,204.7278269566596,0.15994361480989033,0.15994361480989033,0.0,204.7278269566596
Ecker2015,P02_0p3DC_vs_0p3p0p7_1tau,DCAC,206.8575452505556,0.16161857881173275,0.16189474091591635,0.27616210418360265,206.4
Ecker2015,P03_0p3DC_vs_0p3p0p7_0p1tau,DC,204.72782627753946,0.1599436142793277,0.1599436142793277,0.0,204.72782627753946
Ecker2015,P03_0p3DC_vs_0p3p0p7_0p1tau,DCAC,203.5388434701101,0.1590156977785266,0.15903525310854164,0.0195553300150475,203.48333333333332
ORegan2022,P01_0p3DC_vs_0p3p0p7_10tau,DC,184.54360086325107,4.6135900215812775,4.6135900215812775,0.0,184.54360086325107
ORegan2022,P01_0p3DC_vs_0p3p0p7_10tau,DCAC,120.00430261355679,3.156368044534599,3.156368044534599,0.0,120.00430261355679
ORegan2022,P02_0p3DC_vs_0p3p0p7_1tau,DC,184.5436081406633,4.6135902035165826,4.6135902035165826,0.0,184.5436081406633
ORegan2022,P02_0p3DC_vs_0p3p0p7_1tau,DCAC,182.9095077324701,4.590177431374087,4.590177431374087,0.0,182.9095077324701
ORegan2022,P03_0p3DC_vs_0p3p0p7_0p1tau,DC,184.54360793181027,4.613590198295257,4.613590198295257,0.0,184.54360793181027
ORegan2022,P03_0p3DC_vs_0p3p0p7_0p1tau,DCAC,184.25868078577253,4.607028146574186,4.607028146574186,0.0,184.25868078577253
