parameter_set,pair_id,segment,n,Q_start_Ah,Q_end_Ah,SOC_start,SOC_end,delta_t_start_min,delta_t_end_min,within_segment_delta_min,within_segment_delta_s,handover_from_previous_segment,handover_to_this_segment,handover_delta_min,handover_delta_s,prev_segment_end_delta_t_min,prev_segment_end_Q_Ah,prev_segment_end_SOC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,A_common_prescribed_CC,127,0.1,4.421185982361082,0.07,0.9342371964722164,2.0944527922185006,8.58300175067834,6.488548958459839,389.31293750759033,,A_common_prescribed_CC,,,,,
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,B_DCAC_CV__DC_CC,2,4.455481109205217,4.4897762360493525,0.9410962218410435,0.9479552472098706,0.9752008316495752,1.0799511637249453,0.1047503320753701,6.2850199245222065,A_common_prescribed_CC,B_DCAC_CV__DC_CC,-7.607800919028765,-456.4680551417259,8.58300175067834,4.421185982361082,0.9342371964722164
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,D_common_CV,11,4.524071362893488,4.8670226313348435,0.9548142725786977,1.0234045262669687,1.1025572360376523,0.15732168922152898,-0.9452355468161233,-56.7141328089674,B_DCAC_CV__DC_CC,D_common_CV,0.02260607231270706,1.3563643387624236,1.0799511637249453,4.4897762360493525,0.9479552472098706
Chen2020,P02_0p3DC_vs_0p3p0p7_1tau,A_common_prescribed_CC,114,0.1,3.9757889577871923,0.07,0.8451577915574385,0.2858735460565574,0.5869391855525767,0.30106563949601933,18.06393836976116,,A_common_prescribed_CC,,,,,
Chen2020,P02_0p3DC_vs_0p3p0p7_1tau,B_DCAC_CV__DC_CC,15,4.010087975112742,4.490274217670447,0.8520175950225485,0.9480548435340895,0.6295590173223596,6.300660988083897,5.671101970761537,340.2661182456922,A_common_prescribed_CC,B_DCAC_CV__DC_CC,0.0426198317697829,2.557189906186974,0.5869391855525767,3.9757889577871923,0.8451577915574385
Chen2020,P02_0p3DC_vs_0p3p0p7_1tau,D_common_CV,11,4.524573234995998,4.867563408251502,0.9549146469991996,1.0235126816503004,6.196545069912372,5.685979547062167,-0.5105655228502055,-30.63393137101233,B_DCAC_CV__DC_CC,D_common_CV,-0.10411591817152477,-6.246955090291486,6.300660988083897,4.490274217670447,0.9480548435340895
Chen2020,P03_0p3DC_vs_0p3p0p7_0p1tau,A_common_prescribed_CC,110,0.1,3.838664510984082,0.07,0.8177329021968164,0.026200274586746748,0.06917725223832652,0.042976977651579776,2.5786186590947864,,A_common_prescribed_CC,,,,,
Chen2020,P03_0p3DC_vs_0p3p0p7_0p1tau,B_DCAC_CV__DC_CC,19,3.87296418539678,4.490358324825343,0.824592837079356,0.9480716649650687,0.0528157835038049,8.371330254422295,8.31851447091849,499.11086825510944,A_common_prescribed_CC,B_DCAC_CV__DC_CC,-0.01636146873452162,-0.9816881240712972,0.06917725223832652,3.838664510984082,0.8177329021968164
Chen2020,P03_0p3DC_vs_0p3p0p7_0p1tau,D_common_CV,11,4.524657999238041,4.867654743365021,0.9549315998476082,1.0235309486730042,8.261820522052009,7.815468550077882,-0.4463519719741269,-26.781118318447614,B_DCAC_CV__DC_CC,D_common_CV,-0.10950973237028627,-6.570583942217176,8.371330254422295,4.490358324825343,0.9480716649650687
Ecker2015,P01_0p3DC_vs_0p3p0p7_10tau,A_common_prescribed_CC,135,0.0032461028027848207,0.15643296253721023,0.07077505793782285,1.0511709602381456,2.198088144598257,8.613874273607083,6.415786129008826,384.94716774052955,,A_common_prescribed_CC,,,,,
Ecker2015,P01_0p3DC_vs_0p3p0p7_10tau,B_DCAC_CV__DC_CC,3,0.1575761480576164,0.15986251909842872,1.058487347568745,1.0731201222299438,2.040897852480339,2.9266520051149807,0.8857541526346417,53.14524915807851,A_common_prescribed_CC,B_DCAC_CV__DC_CC,-6.572976421126744,-394.37858526760465,8.613874273607083,0.15643296253721023,1.0511709602381456
Ecker2015,P01_0p3DC_vs_0p3p0p7_10tau,D_common_CV,2,0.16100570461883487,0.16214889013924103,1.0804365095605433,1.0877528968911425,2.9289532590895457,3.0404129887330478,0.11145972964350204,6.687583778610122,B_DCAC_CV__DC_CC,D_common_CV,0.002301253974565043,0.13807523847390257,2.9266520051149807,0.15986251909842872,1.0731201222299438
Ecker2015,P02_0p3DC_vs_0p3p0p7_1tau,A_common_prescribed_CC,138,0.0032460487112093424,0.15985985265616123,0.0707747117517398,1.073103056999432,0.39325229388651195,0.7543342954812943,0.3610820015947823,21.664920095686938,,A_common_prescribed_CC,,,,,
Ecker2015,P02_0p3DC_vs_0p3p0p7_1tau,B_DC_CV__DCAC_CC,1,0.16100301910831416,0.16100301910831416,1.0804193222932106,1.0804193222932106,0.625491308110001,0.625491308110001,0.0,0.0,A_common_prescribed_CC,B_DC_CV__DCAC_CC,-0.1288429873712933,-7.730579242277598,0.7543342954812943,0.15985985265616123,1.073103056999432
Ecker2015,P02_0p3DC_vs_0p3p0p7_1tau,D_common_CV,1,0.16214618556046712,0.16214618556046712,1.0877355875869896,1.0877355875869896,1.4455428971562165,1.4455428971562165,0.0,0.0,B_DC_CV__DCAC_CC,D_common_CV,0.8200515890462156,49.20309534277293,0.625491308110001,0.16100301910831416,1.0804193222932106
Ecker2015,P03_0p3DC_vs_0p3p0p7_0p1tau,A_common_prescribed_CC,137,0.003246095653765358,0.15871898368752324,0.07077501218409829,1.0658014956001487,0.05286655059056168,0.055767481598710825,0.0029009310081491435,0.1740558604889486,,A_common_prescribed_CC,,,,,
Ecker2015,P03_0p3DC_vs_0p3p0p7_0p1tau,B_DCAC_CV__DC_CC,1,0.15986216668777145,0.15986216668777145,1.0731178668017374,1.0731178668017374,0.19202462317437796,0.19202462317437796,0.0,0.0,A_common_prescribed_CC,B_DCAC_CV__DC_CC,0.13625714157566715,8.175428494540029,0.055767481598710825,0.15871898368752324,1.0658014956001487
Ecker2015,P03_0p3DC_vs_0p3p0p7_0p1tau,D_common_CV,2,0.16100534968801966,0.1621485326882679,1.0804342380033258,1.0877506092049145,0.1743595118869962,0.1557563845591479,-0.0186031273278483,-1.116187639670898,B_DCAC_CV__DC_CC,D_common_CV,-0.01766511128738177,-1.059906677242906,0.19202462317437796,0.15986216668777145,1.0731178668017374
ORegan2022,P01_0p3DC_vs_0p3p0p7_10tau,A_common_prescribed_CC,140,0.1,3.1513680445345993,0.07,0.6802736089069199,2.0944527922185006,6.114841593316502,4.020388801098001,241.22332806588005,,A_common_prescribed_CC,,,,,
ORegan2022,P02_0p3DC_vs_0p3p0p7_1tau,A_common_prescribed_CC,140,0.1,4.585177431374087,0.07,0.9670354862748175,0.2858735460565574,0.5631906571819855,0.27731711112542806,16.639026667525684,,A_common_prescribed_CC,,,,,
ORegan2022,P03_0p3DC_vs_0p3p0p7_0p1tau,A_common_prescribed_CC,140,0.1,4.602028146574186,0.07,0.9704056293148373,0.026200274586746748,0.04477784744567544,0.01857757285892869,1.1146543715357213,,A_common_prescribed_CC,,,,,
