parameter_set,pair_id,Q_Ah,Q_frac_nominal_increment,SOC_nominal_est,t_DC_model_s,t_DCAC_model_s,delta_t_model_s,delta_t_model_min,t_DC_geom_s,t_DCAC_geom_s,delta_t_geom_s,delta_t_geom_min,delta_t_resid_s,delta_t_resid_min,q_window_lo_Ah,q_window_hi_Ah,q_margin_Ah,dt_geom_resolution_s
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.1,0.02,0.07,240.0,114.33283246688997,125.66716753311003,2.0944527922185006,240.0,114.33266834021356,125.66733165978644,2.0944555276631074,-0.00016412667640963718,-2.7354446068272864e-06,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.1351048038982513,0.02702096077965026,0.07702096077965026,324.2515293558031,141.285950119593,182.9655792362101,3.0494263206035015,324.25152935580314,141.28529249891255,182.9662368568906,3.0494372809481765,-0.000657620680499349,-1.0960344674989149e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.17020960779650257,0.03404192155930051,0.08404192155930051,408.5030587116062,166.89961716285487,241.6034415487513,4.026724025812522,408.5030587116062,166.8978579146966,241.60520079690957,4.02675334661516,-0.0017592481582653363,-2.9320802637755607e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.20531441169475387,0.04106288233895077,0.09106288233895077,492.7545880674093,192.2339199552047,300.5206681122046,5.008677801870077,492.75458806740926,192.2312439490924,300.52334411831686,5.008722401971948,-0.0026760061122672596,-4.4600101871120995e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.24041921559300516,0.04808384311860103,0.09808384311860104,577.0061174232123,218.25061155430603,358.7555058689063,5.9792584311484385,577.0061174232123,218.24696546110582,358.75915196210656,5.979319199368443,-0.0036460932002455593,-6.076822000409265e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.2755240194912565,0.0551048038982513,0.1051048038982513,661.2576467790155,246.16539942083787,415.0922473581777,6.918204122636295,661.2576467790155,246.16083097736094,415.0968158016546,6.91828026336091,-0.004568443476898665,-7.614072461497775e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.3106288233895077,0.06212576467790154,0.11212576467790154,745.5091761348184,278.1389752851909,467.3702008496275,7.789503347493792,745.5091761348185,278.1328100027282,467.3763661320903,7.789606102201505,-0.006165282462802679,-0.00010275470771337799,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.345733627287759,0.06914672545755181,0.11914672545755181,829.7607054906217,320.24977036929334,509.5109351213284,8.491848918688806,829.7607054906217,320.23833422316943,509.5223712674523,8.492039521124205,-0.01143614612391275,-0.00019060243539854583,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.38083843118601035,0.07616768623720208,0.1261676862372021,914.0122348464248,803.8429309562507,110.16930389017409,1.8361550648362348,914.0122348464248,803.842481506876,110.16975333954883,1.8361625556591472,-0.00044944937474156177,-7.490822912359363e-06,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.41594323508426156,0.08318864701685232,0.13318864701685232,998.2637642022278,831.4147124802438,166.84905172198398,2.780817528699733,998.2637642022278,831.4142565407312,166.84950766149655,2.780825127691609,-0.00045593951256250875,-7.598991876041812e-06,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.4510480389825129,0.09020960779650258,0.1402096077965026,1082.515293558031,857.281500795063,225.23379276296805,3.7538965460494675,1082.5152935580309,857.2800446003029,225.235248957728,3.7539208159621333,-0.0014561947599531777,-2.4269912665886294e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.4861528428807642,0.09723056857615284,0.14723056857615285,1166.7668229138342,882.59893540627,284.16788750756416,4.736131458459402,1166.7668229138342,882.596361430059,284.17046148377517,4.73617435806292,-0.0025739762110106312,-4.289960351684385e-05,0.1,4.2774716638919035,0.1,0.25
