parameter_set,pair_id,Q_Ah,Q_frac_nominal_increment,SOC_est,t_DC_s,t_DCAC_s,t_DC_min,t_DCAC_min,delta_t_full_s,delta_t_full_min,control_state_DC,control_state_DCAC,segment_label,control_state_DC_timebased,control_state_DCAC_timebased,segment_label_timebased,segment_label_old_Qbased,control_state_DC_old_Qbased,control_state_DCAC_old_Qbased
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.1,0.02,0.07,240.0,114.33283246688997,4.0,1.9055472077814994,125.66716753311003,2.0944527922185006,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.13429513952890848,0.026859027905781697,0.0768590279057817,322.30833486938036,140.68409316073488,5.371805581156339,2.344734886012248,181.62424170864549,3.0270706951440913,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.16859027905781693,0.03371805581156338,0.08371805581156339,404.6166697387606,165.73161686786395,6.743611162312677,2.7621936144643993,238.88505287089666,3.981417547848278,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.20288541858672537,0.04057708371734507,0.09057708371734507,486.92500460814085,190.470682946851,8.115416743469014,3.174511382447517,296.45432166128984,4.940905361021497,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.23718055811563385,0.04743611162312677,0.09743611162312676,569.2333394775212,215.79307491137018,9.487222324625353,3.5965512485228364,353.44026456615103,5.890671076102517,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.27147569764454227,0.05429513952890845,0.10429513952890845,651.5416743469015,242.79652889177615,10.85902790578169,4.046608814862936,408.74514545512534,6.812419090918755,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.30577083717345077,0.061154167434690154,0.11115416743469016,733.8500092162818,273.33474175239866,12.23083348693803,4.555579029206644,460.51526746388316,7.675254457731386,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.3400659767023593,0.06801319534047186,0.11801319534047186,816.1583440856622,312.12239253910406,13.60263906809437,5.202039875651734,504.0359515465581,8.400599192442636,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.37436111623126767,0.07487222324625353,0.12487222324625354,898.4666789550424,798.4370871520426,14.974444649250707,13.307284785867378,100.02959180299979,1.6671598633833298,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.40865625576017617,0.08173125115203524,0.13173125115203524,980.7750138244228,825.8792182393198,16.346250230407048,13.764653637321997,154.89579558510297,2.5815965930850497,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.44295139528908456,0.08859027905781691,0.1385902790578169,1063.083348693803,851.4004534991637,17.71805581156338,14.190007558319396,211.68289519463917,3.5280482532439863,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.47724653481799306,0.09544930696359862,0.14544930696359862,1145.3916835631833,876.1749050358555,19.089861392719722,14.602915083930926,269.21677852732773,4.486946308788796,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.5115416743469016,0.10230833486938032,0.15230833486938034,1227.7000184325636,901.1055209008888,20.46166697387606,15.018425348348147,326.59449753167485,5.443241625527914,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.54583681387581,0.109167362775162,0.159167362775162,1310.008353301944,927.1477701892662,21.8334725550324,15.45246283648777,382.8605831126778,6.38100971854463,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.5801319534047185,0.1160263906809437,0.16602639068094371,1392.3166881713244,955.68795334692,23.20527813618874,15.928132555782001,436.6287348244043,7.277145580406739,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.6144270929336269,0.12288541858672537,0.17288541858672538,1474.6250230407045,989.5698784851004,24.577083717345076,16.492831308085005,485.0551445556041,8.084252409260069,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.6487222324625354,0.12974444649250708,0.1797444464925071,1556.9333579100849,1039.4303927465328,25.948889298501413,17.32383987910888,517.5029651635521,8.625049419392534,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.6830173719914439,0.13660347439828877,0.18660347439828878,1639.2416927794652,1510.6536540623022,27.320694879657754,25.17756090103837,128.58803871716304,2.143133978619384,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.7173125115203522,0.14346250230407046,0.19346250230407047,1721.5500276488453,1536.9051443967096,28.692500460814088,25.61508573994516,184.64488325213574,3.077414720868929,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.7516076510492607,0.15032153020985214,0.20032153020985216,1803.8583625182257,1561.9136058049482,30.06430604197043,26.03189343008247,241.94475671327746,4.032412611887958,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.7859027905781691,0.15718055811563383,0.20718055811563385,1886.1666973876058,1586.660878907939,31.436111623126763,26.44434798179898,299.5058184796669,4.991763641327782,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC,A_common_CC,CC,AC_on_CC
