condition,feature_id,n_Q,window_valid_fraction,delta_x_inst_mean,delta_x_inst_abs_mean,delta_x_cycle_mean,delta_x_cycle_abs_mean,cycle_amp_mean,cycle_amp_max,phase_min,phase_max,cycle_count_min,cycle_count_max
DC03_AC07_0p1tau,cell_temperature_K,80,0.6625,0.0,0.0,1.5631940186722205e-14,5.2580162446247416e-14,0.0,0.0,0.14611592945721688,0.5533327122204257,68.34701134107627,1131.5241931169626
DC03_AC07_0p1tau,elyte_c_mean,80,0.6625,-0.5294319067776783,0.8049221069131149,0.10237473204550299,0.24480764901871482,3.157290291600576,3.2187842465684753,0.14611592945721688,0.5533327122204257,68.34701134107627,1131.5241931169626
DC03_AC07_0p1tau,elyte_c_range,80,0.6625,7.240531172651158,12.59173028157468,-1.5538791293574854,4.327034254178826,49.7404077708761,52.463005025068014,0.14611592945721688,0.5533327122204257,68.34701134107627,1131.5241931169626
DC03_AC07_0p1tau,eta_n_mean,80,0.6625,-0.03884919236989305,0.03999901621999018,0.016255271697260366,0.016255271697260366,0.13289612073507934,0.1657334785709615,0.14611592945721688,0.5533327122204257,68.34701134107627,1131.5241931169626
DC03_AC07_0p1tau,eta_p_mean,80,0.6625,0.006574524444726515,0.00670355853847919,-0.0008859944274687417,0.0010787153915892064,0.01755302812569578,0.020237073809099115,0.14611592945721688,0.5533327122204257,68.34701134107627,1131.5241931169626
DC03_AC07_0p1tau,j_n_mean_signed,80,0.6625,-0.7834375020920992,0.7991375917720841,0.10059858538475246,0.1253894588753785,2.0800564103997092,2.0837867070999097,0.14611592945721688,0.5533327122204257,68.34701134107627,1131.5241931169626
DC03_AC07_0p1tau,j_p_mean_signed,80,0.6625,0.8869969937722777,0.9047124913521392,-0.1139111264266917,0.14198257774694215,2.355212831049817,2.3594756084455986,0.14611592945721688,0.5533327122204257,68.34701134107627,1131.5241931169626
DC03_AC07_0p1tau,neg_avg_sto,80,0.6625,0.0002462139890702543,0.0002462139890702543,0.0001922940447591337,0.00021979624140528521,0.0006505223540673301,0.000659258005610952,0.14611592945721688,0.5533327122204257,68.34701134107627,1131.5241931169626
DC03_AC07_0p1tau,neg_avg_surface_sto,80,0.6625,0.0010352085760124531,0.0010507067896504468,7.757560972106986e-05,0.00023769493582465623,0.003388369653865029,0.003433993244321809,0.14611592945721688,0.5533327122204257,68.34701134107627,1131.5241931169626
DC03_AC07_0p1tau,neg_max_surface_sto,80,0.6625,0.007827119944227032,0.007827119944227032,0.006660598834361958,0.00666864522543785,0.004090948295357309,0.004476879524355826,0.14611592945721688,0.5533327122204257,68.34701134107627,1131.5241931169626
DC03_AC07_0p1tau,neg_min_surface_sto,80,0.6625,-0.0027116073814947026,0.0028398308615681434,-0.0035630636621447357,0.0035630636621447357,0.0030483716040406346,0.0034258027264260082,0.14611592945721688,0.5533327122204257,68.34701134107627,1131.5241931169626
DC03_AC07_0p1tau,neg_surface_minus_avg_sto,80,0.6625,0.000788994586942196,0.0008316585948753132,-0.00011471843503806298,0.0001866347271433581,0.0028179961976306845,0.0028368901451257256,0.14611592945721688,0.5533327122204257,68.34701134107627,1131.5241931169626
DC03_AC07_0p1tau,neg_surface_sto_range,80,0.6625,0.010538727325721736,0.010538727325721736,0.010223662496506686,0.010223662496506686,0.0010793058050316822,0.001535709636139082,0.14611592945721688,0.5533327122204257,68.34701134107627,1131.5241931169626
DC03_AC07_0p1tau,pos_avg_sto,80,0.6625,-0.0001643137901398535,0.0001643137901398535,-0.00012832968360167244,0.0001466835967371606,0.0004341337142188817,0.00043996355361841655,0.14611592945721688,0.5533327122204257,68.34701134107627,1131.5241931169626
DC03_AC07_0p1tau,pos_avg_surface_sto,80,0.6625,-0.0005485916869140906,0.0006695645023926333,-5.80139388956874e-05,0.00017799579557728623,0.002733228791716546,0.0027702459912156696,0.14611592945721688,0.5533327122204257,68.34701134107627,1131.5241931169626
DC03_AC07_0p1tau,pos_surface_minus_avg_sto,80,0.6625,-0.0003842778967742406,0.0005856238354255462,7.031574470600438e-05,0.00014557037135969403,0.002323699411878117,0.0023594100028418996,0.14611592945721688,0.5533327122204257,68.34701134107627,1131.5241931169626
DC03_AC07_0p1tau,total_heating_mean,80,0.6625,0.0,0.0,0.0,0.0,0.0,0.0,0.14611592945721688,0.5533327122204257,68.34701134107627,1131.5241931169626
DC03_AC07_10tau,cell_temperature_K,80,0.9875,0.0,0.0,-2.842170943040401e-14,4.831690603168681e-14,0.0,0.0,0.14485885007876678,0.5442819575165685,0.27010191775747655,11.15031695493056
DC03_AC07_10tau,elyte_c_mean,80,0.9875,-25.525452502654275,25.554293251015963,1.0685222605915272,1.3477342992906358,68.84881048440202,70.94713655937528,0.14485885007876678,0.5442819575165685,0.27010191775747655,11.15031695493056
DC03_AC07_10tau,elyte_c_range,80,0.9875,587.9031333962278,588.2270580837039,172.33297325429498,172.33297325429498,1068.8703978312556,1110.445571232443,0.14485885007876678,0.5442819575165685,0.27010191775747655,11.15031695493056
DC03_AC07_10tau,eta_n_mean,80,0.9875,-0.045575184825227696,0.04627219286220989,0.0051814360423936825,0.005262958618934191,0.13642242303020496,0.16628603510078258,0.14485885007876678,0.5442819575165685,0.27010191775747655,11.15031695493056
DC03_AC07_10tau,eta_p_mean,80,0.9875,0.005824418939688136,0.0059091167147149164,-0.00028853569734898853,0.0003413773894179378,0.017220494241970273,0.019528613617013413,0.14485885007876678,0.5442819575165685,0.27010191775747655,11.15031695493056
DC03_AC07_10tau,j_n_mean_signed,80,0.9875,-0.7926048073153741,0.8024173232024655,-0.01614209562450122,0.016677679575559816,2.0835292334005424,2.0835457632715637,0.14485885007876678,0.5442819575165685,0.27010191775747655,11.15031695493056
DC03_AC07_10tau,j_p_mean_signed,80,0.9875,0.8974019456747685,0.9085118591599791,0.0182763782282652,0.018882777826385744,2.359010658301428,2.3590293712295445,0.14485885007876678,0.5442819575165685,0.27010191775747655,11.15031695493056
DC03_AC07_10tau,neg_avg_sto,80,0.9875,6.890725222767277e-06,7.837499291988084e-06,-0.005023400390162763,0.00944717113102081,0.06516810138818092,0.06545017179840984,0.14485885007876678,0.5442819575165685,0.27010191775747655,11.15031695493056
DC03_AC07_10tau,neg_avg_surface_sto,80,0.9875,0.008713890087220741,0.008720554775137307,-0.0048618366119553644,0.009415725581582008,0.07386094023442122,0.07498246058237612,0.14485885007876678,0.5442819575165685,0.27010191775747655,11.15031695493056
DC03_AC07_10tau,neg_max_surface_sto,80,0.9875,0.04201745522707177,0.04201745522707177,0.021985995047720006,0.023693141912562162,0.09668547333470925,0.12052865689549852,0.14485885007876678,0.5442819575165685,0.27010191775747655,11.15031695493056
DC03_AC07_10tau,neg_min_surface_sto,80,0.9875,-0.007035880875212347,0.008554591118376548,-0.01753431684837032,0.018119524529678133,0.0630876982214052,0.07832471453465151,0.14485885007876678,0.5442819575165685,0.27010191775747655,11.15031695493056
DC03_AC07_10tau,neg_surface_minus_avg_sto,80,0.9875,0.008706999361997975,0.008713627115960307,0.00016156377820740041,0.0001753999474116692,0.02158382877887993,0.021589927122625002,0.14485885007876678,0.5442819575165685,0.27010191775747655,11.15031695493056
DC03_AC07_10tau,neg_surface_sto_range,80,0.9875,0.04905333610228412,0.04905333610228413,0.03952031189609033,0.03952031189609033,0.03969441221131867,0.06456458265658416,0.14485885007876678,0.5442819575165685,0.27010191775747655,11.15031695493056
DC03_AC07_10tau,pos_avg_sto,80,0.9875,-4.598606206668993e-06,5.230446973503861e-06,0.003352425102310007,0.006304680333161325,0.04349069594203054,0.04367893893490915,0.14485885007876678,0.5442819575165685,0.27010191775747655,11.15031695493056
DC03_AC07_10tau,pos_avg_surface_sto,80,0.9875,-0.020699645398153423,0.020699645398153423,0.0029568720455938197,0.006334302618060593,0.0866876613813472,0.08860308917734638,0.14485885007876678,0.5442819575165685,0.27010191775747655,11.15031695493056
DC03_AC07_10tau,pos_surface_minus_avg_sto,80,0.9875,-0.020695046791946746,0.020695046791946746,-0.000395553056716199,0.0004556923904308062,0.05308375924130726,0.05356422215169543,0.14485885007876678,0.5442819575165685,0.27010191775747655,11.15031695493056
DC03_AC07_10tau,total_heating_mean,80,0.9875,0.0,0.0,0.0,0.0,0.0,0.0,0.14485885007876678,0.5442819575165685,0.27010191775747655,11.15031695493056
DC03_AC07_1tau,cell_temperature_K,80,1.0,0.0,0.0,-3.552713678800501e-15,3.765876499528531e-14,0.0,0.0,0.14105976507572093,0.5385507846770411,6.331437561260446,112.39632655705039
DC03_AC07_1tau,elyte_c_mean,80,1.0,-7.007437341571143,7.599251091406403,0.6011511883633502,0.6036267949658125,26.37148134452541,26.935763662567524,0.14105976507572093,0.5385507846770411,6.331437561260446,112.39632655705039
DC03_AC07_1tau,elyte_c_range,80,1.0,128.99482715217835,149.23517357359847,-7.706110251729942,8.260770394052086,538.4537999985762,549.2800205047802,0.14105976507572093,0.5385507846770411,6.331437561260446,112.39632655705039
DC03_AC07_1tau,eta_n_mean,80,1.0,-0.04074948523204659,0.04151552778147729,0.01293148677826908,0.01293148677826908,0.13339763727061166,0.16602168673636303,0.14105976507572093,0.5385507846770411,6.331437561260446,112.39632655705039
DC03_AC07_1tau,eta_p_mean,80,1.0,0.006472658361701973,0.006572314837908352,-0.0005354229086427861,0.0005354229086427861,0.017488163012038437,0.020120075631752776,0.14105976507572093,0.5385507846770411,6.331437561260446,112.39632655705039
DC03_AC07_1tau,j_n_mean_signed,80,1.0,-0.7961717310379036,0.80688525774599,0.05272291492487806,0.05272291492487806,2.0827768337791435,2.08354392901076,0.14105976507572093,0.5385507846770411,6.331437561260446,112.39632655705039
DC03_AC07_1tau,j_p_mean_signed,80,1.0,0.9014354040791053,0.9135653643101695,-0.05969301457303394,0.05969301457303393,2.358159668697713,2.3590272664843037,0.14105976507572093,0.5385507846770411,6.331437561260446,112.39632655705039
DC03_AC07_1tau,neg_avg_sto,80,1.0,-0.00014598765551847773,0.00014598765551847773,-0.0006274699637098403,0.0009402438387209496,0.00651720518478517,0.006552438601068911,0.14105976507572093,0.5385507846770411,6.331437561260446,112.39632655705039
DC03_AC07_1tau,neg_avg_surface_sto,80,1.0,0.0036650139693729586,0.0036650139693729586,-0.0008457839744079621,0.001048723714900854,0.015190957810861199,0.015438246640521958,0.14105976507572093,0.5385507846770411,6.331437561260446,112.39632655705039
DC03_AC07_1tau,neg_max_surface_sto,80,1.0,0.013968415821237683,0.013968415821237683,0.008546733122547803,0.008668173639287912,0.01869834709850226,0.02115877938377786,0.14105976507572093,0.5385507846770411,6.331437561260446,112.39632655705039
DC03_AC07_1tau,neg_min_surface_sto,80,1.0,-0.00043635650600393466,0.0025374628740684134,-0.00456016340264371,0.004561859330054134,0.013655045376227488,0.01590395266936051,0.14105976507572093,0.5385507846770411,6.331437561260446,112.39632655705039
DC03_AC07_1tau,neg_surface_minus_avg_sto,80,1.0,0.00381100162489144,0.00381100162489144,-0.00021831401069811302,0.0002191098737400381,0.01012012202460497,0.010131509700009533,0.14105976507572093,0.5385507846770411,6.331437561260446,112.39632655705039
DC03_AC07_1tau,neg_surface_sto_range,80,1.0,0.014404772327241622,0.014404772327241622,0.013106896525191519,0.013106896525191519,0.005503291248438576,0.008127267286130724,0.14105976507572093,0.5385507846770411,6.331437561260446,112.39632655705039
DC03_AC07_1tau,pos_avg_sto,80,1.0,9.742657223686252e-05,9.742657223686252e-05,0.0004187494314420497,0.0006274827412509863,0.004349333232757388,0.00437284666589377,0.14105976507572093,0.5385507846770411,6.331437561260446,112.39632655705039
DC03_AC07_1tau,pos_avg_surface_sto,80,1.0,-0.004950428174571415,0.0050761712325883305,0.0006915153892821755,0.0007780081794281982,0.020202920962747607,0.020666594790416104,0.14105976507572093,0.5385507846770411,6.331437561260446,112.39632655705039
DC03_AC07_1tau,pos_surface_minus_avg_sto,80,1.0,-0.005047854746808278,0.005155358998532954,0.00027276595784012,0.00027795238931525845,0.016466901353869308,0.01679397229134605,0.14105976507572093,0.5385507846770411,6.331437561260446,112.39632655705039
DC03_AC07_1tau,total_heating_mean,80,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14105976507572093,0.5385507846770411,6.331437561260446,112.39632655705039
DC03_AC07_5tau,cell_temperature_K,80,1.0,0.0,0.0,-2.842170943040401e-15,2.5579538487363607e-14,0.0,0.0,0.1451327116854967,0.5608960474023458,1.1745867111289838,22.246022513014815
DC03_AC07_5tau,elyte_c_mean,80,1.0,-23.465487965858962,23.465487965858962,1.8770871937566653,1.8770871937566653,62.86202034532287,64.42972076859826,0.1451327116854967,0.5608960474023458,1.1745867111289838,22.246022513014815
DC03_AC07_5tau,elyte_c_range,80,1.0,527.6785935434533,527.6785935434533,123.87251334516716,123.87251334516718,998.1753294724283,1047.290722917291,0.1451327116854967,0.5608960474023458,1.1745867111289838,22.246022513014815
DC03_AC07_5tau,eta_n_mean,80,1.0,-0.044495828460179174,0.045720056318543936,0.00825093408826862,0.00825093408826862,0.13563120664975595,0.16833970519967792,0.1451327116854967,0.5608960474023458,1.1745867111289838,22.246022513014815
DC03_AC07_5tau,eta_p_mean,80,1.0,0.005900335625752248,0.0060548559077348175,-0.0005031688639892622,0.0005031688639892622,0.017220069994379854,0.01970887128766652,0.1451327116854967,0.5608960474023458,1.1745867111289838,22.246022513014815
