condition,feature_id,variable_key,status,shape,error
DC03_AC07_1tau,neg_avg_sto,Average negative particle stoichiometry,ok,"(21619,)",
DC03_AC07_1tau,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(21619,)",
DC03_AC07_1tau,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(21619,)",
DC03_AC07_1tau,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(21619,)",
DC03_AC07_1tau,pos_avg_sto,Average positive particle stoichiometry,ok,"(21619,)",
DC03_AC07_1tau,pos_avg_surface_sto,X-averaged positive particle surface stoichiometry,ok,"(21619,)",
DC03_AC07_1tau,elyte_c_mean,X-averaged electrolyte concentration [mol.m-3],ok,"(21619,)",
DC03_AC07_1tau,elyte_c_range,Electrolyte concentration [mol.m-3],ok,"(62, 21619)",
DC03_AC07_1tau,eta_n_mean,X-averaged negative electrode reaction overpotential [V],ok,"(21619,)",
DC03_AC07_1tau,eta_p_mean,X-averaged positive electrode reaction overpotential [V],ok,"(21619,)",
DC03_AC07_1tau,j_n_rms,X-averaged negative electrode interfacial current density [A.m-2],ok,"(21619,)",
DC03_AC07_1tau,j_p_rms,X-averaged positive electrode interfacial current density [A.m-2],ok,"(21619,)",
DC03_AC07_1tau,cell_temperature_K,X-averaged cell temperature [K],ok,"(21619,)",
DC03_AC07_1tau,total_heating_mean,Volume-averaged total heating [W.m-3],ok,"(21619,)",
DC03_AC07_5tau,neg_avg_sto,Average negative particle stoichiometry,ok,"(14531,)",
DC03_AC07_5tau,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(14531,)",
DC03_AC07_5tau,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(14531,)",
DC03_AC07_5tau,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(14531,)",
DC03_AC07_5tau,pos_avg_sto,Average positive particle stoichiometry,ok,"(14531,)",
DC03_AC07_5tau,pos_avg_surface_sto,X-averaged positive particle surface stoichiometry,ok,"(14531,)",
DC03_AC07_5tau,elyte_c_mean,X-averaged electrolyte concentration [mol.m-3],ok,"(14531,)",
DC03_AC07_5tau,elyte_c_range,Electrolyte concentration [mol.m-3],ok,"(62, 14531)",
DC03_AC07_5tau,eta_n_mean,X-averaged negative electrode reaction overpotential [V],ok,"(14531,)",
DC03_AC07_5tau,eta_p_mean,X-averaged positive electrode reaction overpotential [V],ok,"(14531,)",
DC03_AC07_5tau,j_n_rms,X-averaged negative electrode interfacial current density [A.m-2],ok,"(14531,)",
DC03_AC07_5tau,j_p_rms,X-averaged positive electrode interfacial current density [A.m-2],ok,"(14531,)",
DC03_AC07_5tau,cell_temperature_K,X-averaged cell temperature [K],ok,"(14531,)",
DC03_AC07_5tau,total_heating_mean,Volume-averaged total heating [W.m-3],ok,"(14531,)",
