condition,Q_Ah,t_q_s,neg_avg_sto,neg_avg_surface_sto,neg_max_surface_sto,neg_min_surface_sto,pos_avg_sto,pos_avg_surface_sto,elyte_c_mean,elyte_c_range,eta_n_mean,eta_p_mean,j_n_rms,j_p_rms,cell_temperature_K,total_heating_mean,neg_surface_minus_avg_sto,pos_surface_minus_avg_sto,neg_surface_sto_range
DC03,0.2,479.9999999999992,0.10487875974534007,0.10982824912880139,0.11282757354536864,0.10823320396342406,0.8015647773936018,0.7826530095082835,983.1285067661867,351.3687757808939,-0.04988222991147024,0.004378049242598056,-0.4464743273896474,0.50550636547448,298.15,0.0,0.004949489383461327,-0.018911767885318204,0.00459436958194458
DC03,0.23904950306674194,573.7188073601798,0.11157952886035757,0.11652922121923837,0.11960245571935549,0.11488782981636417,0.7970929406214493,0.7775072486014822,983.0905279863954,352.31319621877697,-0.048904741671291496,0.00434083741667623,-0.4464741494481392,0.5055063587432487,298.15,0.0,0.004949692358880784,-0.019585692019967037,0.004714625902991333
DC03,0.2780990061334839,667.4376147203602,0.11828029797537512,0.12323002417551131,0.12638816554956547,0.12154563343619261,0.7926211038492967,0.7725342526071531,983.0753764774842,352.7447297814978,-0.0479942360597805,0.004306611150734633,-0.4464741497741729,0.5055063587431013,298.15,0.0,0.004949726200136185,-0.0200868512421436,0.00484253211337288
DC03,0.31714850920022586,761.1564220805408,0.12498106709039201,0.12993079882366693,0.13324945305634323,0.1281721476047613,0.7881492670771455,0.7676871154921134,983.0832156522252,352.6658303406899,-0.04714278031452878,0.004274827156340559,-0.4464741494499859,0.5055063587453458,298.15,0.0,0.0049497317332749015,-0.02046215158503211,0.005077305451581905
DC03,0.3561980122669678,854.875229440721,0.13168183620542448,0.1366315688430855,0.14023481288320408,0.13474146256698102,0.7836774303049843,0.7629328061606839,983.1102248820793,352.1631759895252,-0.04634400282781847,0.004245067363740069,-0.4464741494479169,0.505506358745589,298.15,0.0,0.004949732637660993,-0.020744624144300342,0.005493350316223056
DC03,0.3952475153337097,948.5940368009022,0.13838260532043267,0.14333233810642962,0.14737714727411116,0.14123717639954858,0.7792055935328384,0.7582476591841345,983.1513440684499,351.3493810950036,-0.045592638853765535,0.004217009135655714,-0.4464741494513223,0.5055063587447991,298.15,0.0,0.004949732785996947,-0.02095793434870384,0.00613997087456258
DC03,0.43429701840045165,1042.3128441610825,0.1450833744354532,0.1500331072457281,0.15469654495046326,0.14765048695322486,0.7747337567606848,0.7536144384531643,983.2017503020805,350.3307276647558,-0.04488440887092505,0.004190403702610599,-0.44647414945244585,0.5055063587415096,298.15,0.0,0.004949732810274915,-0.021119318307520413,0.007046057997238396
DC03,0.4733465214671936,1136.0316515212633,0.15178414355041953,0.15673387636460726,0.16220051507758837,0.1539788458707162,0.7702619199885671,0.7490203773078619,983.2569655340654,349.2043046177146,-0.04421616041043147,0.004165055716433465,-0.4464741494488038,0.5055063587428255,298.15,0.0,0.004949732814187731,-0.02124154268070532,0.008221669206872163
DC03,0.5123960245339355,1229.7504588814431,0.1584849126653817,0.16343464548018727,0.16988242646589752,0.16022546543882182,0.7657900832164523,0.7444559216388501,983.3125761580794,348.06396438896917,-0.04358592531001645,0.004140805430450682,-0.44647414947273395,0.5055063587429947,298.15,0.0,0.004949732814805557,-0.02133416157760207,0.009656961027075707
DC03,0.5514455276006774,1323.4692662416244,0.16518568178038828,0.17013541459547338,0.1777203279671472,0.16639900016118656,0.7613182464443078,0.7399138908047824,983.3641517716914,347.00249637869376,-0.04299282011819688,0.0041175188700454755,-0.44647415499631093,0.5055063587875108,298.15,0.0,0.004949732815085098,-0.02140435563952539,0.011321327805960638
DC03,0.5904950306674194,1417.1880736018045,0.1718864508954877,0.17683618371052423,0.18567752330179696,0.17251300291610006,0.7568464096721021,0.7353888534372529,983.4075025873559,346.10696968571483,-0.04243662599538395,0.004095082721916848,-0.4464741457746377,0.5055063587016428,298.15,0.0,0.00494973281503652,-0.02145755623484933,0.013164520385696914
DC03,0.6295445337341613,1510.9068809619862,0.17858722001056251,0.18353695282564036,0.19370521728930623,0.17858505732707147,0.752374572899912,0.7308766739991386,983.4390473140932,345.4517706038292,-0.041917268912802626,0.004073403255930304,-0.44647415026651127,0.5055063587666623,298.15,0.0,0.004949732815077849,-0.02149789890077349,0.015120159962234753
DC03,0.6685940368009033,1604.6256883221674,0.18528798912540137,0.1902377219402897,0.20174742553618435,0.18463538416698214,0.747902736127879,0.7263742464951072,983.4560952304972,345.0933140238562,-0.04143429402968134,0.004052405391994519,-0.44647414947377867,0.5055063587425987,298.15,0.0,0.004949732814888316,-0.021528489632771906,0.017112041369202236
