condition,Q_Ah,t_q_s,neg_avg_sto,neg_avg_surface_sto,neg_max_surface_sto,neg_min_surface_sto,pos_avg_sto,pos_avg_surface_sto,elyte_c_mean,elyte_c_range,eta_n_mean,eta_p_mean,j_n_rms,j_p_rms,cell_temperature_K,total_heating_mean,neg_surface_minus_avg_sto,pos_surface_minus_avg_sto,neg_surface_sto_range
Chen2020_DFN_fine_DC03,0.2,479.9999999999992,0.10487875974534007,0.10982824912880139,0.11282757354536864,0.10823320396342406,0.8015647773936018,0.7826530095082835,983.1285067661867,351.3687757808939,-0.04988222991147024,0.004378049242598056,-0.4464743273896474,0.50550636547448,298.15,0.0,0.004949489383461327,-0.018911767885318204,0.00459436958194458
Chen2020_DFN_fine_DC03,0.2399769861697409,575.9447668073772,0.1117386819773803,0.1166883760427404,0.11976321787292817,0.11504607226420274,0.7969867279242363,0.7773873407195278,983.089890861498,352.3296343710439,-0.0488823733994397,0.004339992226634798,-0.4464741503702984,0.505506358746073,298.15,0.0,0.004949694065360111,-0.019599387204708513,0.0047171456087254345
Chen2020_DFN_fine_DC03,0.27995397233948177,671.8895336147551,0.11859860420942163,0.12354833095447318,0.12671193895075034,0.1218613631983182,0.7924086784548715,0.7723014616234766,983.0752486292271,352.75206298560977,-0.047952509907033966,0.004305049833096909,-0.44647415482107466,0.5055063587477099,298.15,0.0,0.004949726745051548,-0.020107216831395023,0.0048505757524321385
Chen2020_DFN_fine_DC03,0.3199309585092226,767.8343004221327,0.12545852644146258,0.13040825830573455,0.13374261148467173,0.12864237903610795,0.7878306289855069,0.7673455986030703,983.0845639446744,352.6427385646978,-0.04708418686611293,0.004272643893749493,-0.446474149451309,0.5055063587459222,298.15,0.0,0.004949731864271971,-0.020485030382436667,0.005100232448563785
Chen2020_DFN_fine_DC03,0.3599079446789635,863.7790672295106,0.13231844867351067,0.1372681813392045,0.14090621893252517,0.13536194832874607,0.783252579516137,0.7624850257189792,983.1136037416179,352.0974883570422,-0.046270655361640795,0.004242332893972238,-0.44647414945084773,0.5055063587431707,298.15,0.0,0.004949732665693803,-0.020767553797157813,0.005544270603779108
Chen2020_DFN_fine_DC03,0.39988493084870436,959.7238340368895,0.1391783709055491,0.14412810369716098,0.14823684454591918,0.1420032217409966,0.7786745300467734,0.7576949962012947,983.1569336574288,351.237171756978,-0.045506345526719706,0.004213777713290583,-0.4464741494552256,0.5055063587450181,298.15,0.0,0.0049497327916118794,-0.02097953384547884,0.006233622804922548
Chen2020_DFN_fine_DC03,0.43986191701844524,1055.6686008442668,0.14603829313759328,0.1509880259489795,0.15575465042344117,0.1485575072166156,0.7740964805774063,0.7529576057380835,983.2094273144844,350.1745945004688,-0.04478679548196632,0.004186718661826093,-0.44647414945381864,0.5055063587446844,298.15,0.0,0.004949732811386232,-0.021138874839322853,0.007197143206825573
Chen2020_DFN_fine_DC03,0.4798389031881861,1151.6133676516451,0.15289821536956608,0.15784794818393538,0.16346578488829278,0.1550229050757256,0.7695184311080875,0.7482596575910835,983.2663038328093,349.0131515184041,-0.04410877899216401,0.0041609516864187695,-0.44647414945273045,0.5055063587461606,298.15,0.0,0.004949732814369302,-0.021258773517004014,0.008442879812567148
Chen2020_DFN_fine_DC03,0.519815889357927,1247.5581344590228,0.15975813760157145,0.1647078704164817,0.1713606197480991,0.16140379430191892,0.7649403816387466,0.7435913401857593,983.3228209665591,347.85340660207834,-0.043470384919663214,0.004136310311509506,-0.4464741490454238,0.5055063587467034,298.15,0.0,0.004949732814910241,-0.02134904145298717,0.009956825446180186
Chen2020_DFN_fine_DC03,0.5597928755276679,1343.5029012664013,0.16661805983361375,0.1715677926486163,0.17941277682519333,0.16771040012061297,0.7603623321693809,0.7389453361400002,983.3742422936572,346.794371609976,-0.042870827260260314,0.0041126548832216645,-0.4464741638581412,0.5055063588736227,298.15,0.0,0.004949732815002551,-0.02141699602938056,0.011702376704580365
