condition,feature_id,variable_key,status,shape,error
Chen2020_DFN_fine_DC03,neg_avg_sto,Average negative particle stoichiometry,ok,"(12159,)",
Chen2020_DFN_fine_DC03,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(12159,)",
Chen2020_DFN_fine_DC03,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(12159,)",
Chen2020_DFN_fine_DC03,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(12159,)",
Chen2020_DFN_fine_DC03,pos_avg_sto,Average positive particle stoichiometry,ok,"(12159,)",
Chen2020_DFN_fine_DC03,pos_avg_surface_sto,X-averaged positive particle surface stoichiometry,ok,"(12159,)",
Chen2020_DFN_fine_DC03,elyte_c_mean,X-averaged electrolyte concentration [mol.m-3],ok,"(12159,)",
Chen2020_DFN_fine_DC03,elyte_c_range,Electrolyte concentration [mol.m-3],ok,"(62, 12159)",
Chen2020_DFN_fine_DC03,eta_n_mean,X-averaged negative electrode reaction overpotential [V],ok,"(12159,)",
Chen2020_DFN_fine_DC03,eta_p_mean,X-averaged positive electrode reaction overpotential [V],ok,"(12159,)",
Chen2020_DFN_fine_DC03,j_n_rms,X-averaged negative electrode interfacial current density [A.m-2],ok,"(12159,)",
Chen2020_DFN_fine_DC03,j_p_rms,X-averaged positive electrode interfacial current density [A.m-2],ok,"(12159,)",
Chen2020_DFN_fine_DC03,cell_temperature_K,X-averaged cell temperature [K],ok,"(12159,)",
Chen2020_DFN_fine_DC03,total_heating_mean,Volume-averaged total heating [W.m-3],ok,"(12159,)",
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,neg_avg_sto,Average negative particle stoichiometry,ok,"(18735,)",
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(18735,)",
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(18735,)",
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(18735,)",
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,pos_avg_sto,Average positive particle stoichiometry,ok,"(18735,)",
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,pos_avg_surface_sto,X-averaged positive particle surface stoichiometry,ok,"(18735,)",
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,elyte_c_mean,X-averaged electrolyte concentration [mol.m-3],ok,"(18735,)",
