frequency_mode,parameter_set,condition,dc_c,ac_c,frequency_label,tau_factor,f_Hz,kappa,period_s,tau_ref_set_s,base_condition,chem_tag
fixed_mj1_label,MJ1_label,DC03,0.3,0.0,DC,,,0.0,,11.1,DC03,MJ1 experimental label
fixed_mj1_label,MJ1_label,DC03_AC07_0p1tau,0.3,0.7,0.1tau,0.1,0.14338283161432014,2.3333333333333335,6.97433569096934,11.1,DC03_AC07_0p1tau,MJ1 experimental label
fixed_mj1_label,MJ1_label,DC03_AC07_1tau,0.3,0.7,1tau,1.0,0.014338283161432014,2.3333333333333335,69.7433569096934,11.1,DC03_AC07_1tau,MJ1 experimental label
fixed_mj1_label,MJ1_label,DC03_AC07_5tau,0.3,0.7,5tau,5.0,0.0028676566322864026,2.3333333333333335,348.71678454846705,11.1,DC03_AC07_5tau,MJ1 experimental label
fixed_mj1_label,MJ1_label,DC03_AC07_10tau,0.3,0.7,10tau,10.0,0.0014338283161432013,2.3333333333333335,697.4335690969341,11.1,DC03_AC07_10tau,MJ1 experimental label
fixed_mj1_label,MJ1_label,DC03_AC07_f000412,0.3,0.7,f=0.000412Hz,34.80165815881557,0.000412,2.3333333333333335,2427.1844660194174,11.1,DC03_AC07_f000412,MJ1 experimental label
set_tau_ref_rebased,Chen2020,Chen2020_DC03,0.3,0.0,DC,,,0.0,,36.316532231592305,DC03,LG M50 NMC811-Si
set_tau_ref_rebased,Chen2020,Chen2020_DC03_AC07_0p1tau,0.3,0.7,0p1tau,0.1,0.04382437785550572,2.3333333333333335,22.818350172525463,36.316532231592305,DC03_AC07_0p1tau,LG M50 NMC811-Si
set_tau_ref_rebased,Chen2020,Chen2020_DC03_AC07_1tau,0.3,0.7,1tau,1.0,0.004382437785550572,2.3333333333333335,228.18350172525462,36.316532231592305,DC03_AC07_1tau,LG M50 NMC811-Si
set_tau_ref_rebased,Chen2020,Chen2020_DC03_AC07_5tau,0.3,0.7,5tau,5.0,0.0008764875571101142,2.3333333333333335,1140.9175086262733,36.316532231592305,DC03_AC07_5tau,LG M50 NMC811-Si
set_tau_ref_rebased,Chen2020,Chen2020_DC03_AC07_10tau,0.3,0.7,10tau,10.0,0.0004382437785550571,2.3333333333333335,2281.8350172525465,36.316532231592305,DC03_AC07_10tau,LG M50 NMC811-Si
set_tau_ref_rebased,Chen2020,Chen2020_DC03_AC07_34p8tau_equiv,0.3,0.7,34p8tau_equiv,34.80165815881557,0.00012592612011621813,2.3333333333333335,7941.164224523814,36.316532231592305,DC03_AC07_34p8tau_equiv,LG M50 NMC811-Si
set_tau_ref_rebased,Ecker2015,Ecker2015_DC03,0.3,0.0,DC,,,0.0,,16.51765434839429,DC03,Kokam-Ecker Co-rich Mn-free
set_tau_ref_rebased,Ecker2015,Ecker2015_DC03_AC07_0p1tau,0.3,0.7,0p1tau,0.1,0.09635444581595029,2.3333333333333335,10.378348311090202,16.51765434839429,DC03_AC07_0p1tau,Kokam-Ecker Co-rich Mn-free
set_tau_ref_rebased,Ecker2015,Ecker2015_DC03_AC07_1tau,0.3,0.7,1tau,1.0,0.009635444581595029,2.3333333333333335,103.78348311090201,16.51765434839429,DC03_AC07_1tau,Kokam-Ecker Co-rich Mn-free
set_tau_ref_rebased,Ecker2015,Ecker2015_DC03_AC07_5tau,0.3,0.7,5tau,5.0,0.001927088916319006,2.3333333333333335,518.9174155545101,16.51765434839429,DC03_AC07_5tau,Kokam-Ecker Co-rich Mn-free
set_tau_ref_rebased,Ecker2015,Ecker2015_DC03_AC07_10tau,0.3,0.7,10tau,10.0,0.000963544458159503,2.3333333333333335,1037.8348311090201,16.51765434839429,DC03_AC07_10tau,Kokam-Ecker Co-rich Mn-free
set_tau_ref_rebased,Ecker2015,Ecker2015_DC03_AC07_34p8tau_equiv,0.3,0.7,34p8tau_equiv,34.80165815881557,0.00027686739918035444,2.3333333333333335,3611.837301756821,16.51765434839429,DC03_AC07_34p8tau_equiv,Kokam-Ecker Co-rich Mn-free
set_tau_ref_rebased,ORegan2022,ORegan2022_DC03,0.3,0.0,DC,,,0.0,,53.575426259434366,DC03,LG M50 NMC811-Si
set_tau_ref_rebased,ORegan2022,ORegan2022_DC03_AC07_0p1tau,0.3,0.7,0p1tau,0.1,0.029706705891839536,2.3333333333333335,33.66243310991614,53.575426259434366,DC03_AC07_0p1tau,LG M50 NMC811-Si
set_tau_ref_rebased,ORegan2022,ORegan2022_DC03_AC07_1tau,0.3,0.7,1tau,1.0,0.0029706705891839533,2.3333333333333335,336.6243310991614,53.575426259434366,DC03_AC07_1tau,LG M50 NMC811-Si
set_tau_ref_rebased,ORegan2022,ORegan2022_DC03_AC07_5tau,0.3,0.7,5tau,5.0,0.0005941341178367907,2.3333333333333335,1683.1216554958069,53.575426259434366,DC03_AC07_5tau,LG M50 NMC811-Si
set_tau_ref_rebased,ORegan2022,ORegan2022_DC03_AC07_10tau,0.3,0.7,10tau,10.0,0.00029706705891839537,2.3333333333333335,3366.2433109916137,53.575426259434366,DC03_AC07_10tau,LG M50 NMC811-Si
set_tau_ref_rebased,ORegan2022,ORegan2022_DC03_AC07_34p8tau_equiv,0.3,0.7,34p8tau_equiv,34.80165815881557,8.536003013498528e-05,2.3333333333333335,11715.084898852963,53.575426259434366,DC03_AC07_34p8tau_equiv,LG M50 NMC811-Si
