frequency_mode,parameter_set,chem_tag,condition,base_condition,dc_c,ac_c,frequency_label,tau_factor_mj1_label,tau_ref_label_s,tau_ref_set_s,f_Hz,kappa,period_s,effective_tau_factor_set,tau_factor
fixed_mj1_label,Chen2020,LG M50 NMC811-Si,Chen2020_DC03,DC03,0.3,0.0,DC,,11.1,36.316532231592305,,0.0,,,
fixed_mj1_label,Chen2020,LG M50 NMC811-Si,Chen2020_DC03_AC07_0p1tau,DC03_AC07_0p1tau,0.3,0.7,0.1tau,0.1,11.1,36.316532231592305,0.14338283161432014,2.3333333333333335,6.97433569096934,0.03056459226121799,
fixed_mj1_label,Chen2020,LG M50 NMC811-Si,Chen2020_DC03_AC07_1tau,DC03_AC07_1tau,0.3,0.7,1tau,1.0,11.1,36.316532231592305,0.014338283161432014,2.3333333333333335,69.7433569096934,0.30564592261217993,
fixed_mj1_label,Chen2020,LG M50 NMC811-Si,Chen2020_DC03_AC07_5tau,DC03_AC07_5tau,0.3,0.7,5tau,5.0,11.1,36.316532231592305,0.0028676566322864026,2.3333333333333335,348.71678454846705,1.5282296130608997,
fixed_mj1_label,Chen2020,LG M50 NMC811-Si,Chen2020_DC03_AC07_10tau,DC03_AC07_10tau,0.3,0.7,10tau,10.0,11.1,36.316532231592305,0.0014338283161432013,2.3333333333333335,697.4335690969341,3.0564592261217993,
fixed_mj1_label,Chen2020,LG M50 NMC811-Si,Chen2020_DC03_AC07_f000412,DC03_AC07_f000412,0.3,0.7,f=0.000412Hz,34.80165815881557,11.1,36.316532231592305,0.000412,2.3333333333333335,2427.1844660194174,10.636984916384883,
fixed_mj1_label,Ecker2015,Kokam-Ecker Co-rich Mn-free,Ecker2015_DC03,DC03,0.3,0.0,DC,,11.1,16.51765434839429,,0.0,,,
fixed_mj1_label,Ecker2015,Kokam-Ecker Co-rich Mn-free,Ecker2015_DC03_AC07_0p1tau,DC03_AC07_0p1tau,0.3,0.7,0.1tau,0.1,11.1,16.51765434839429,0.14338283161432014,2.3333333333333335,6.97433569096934,0.06720082504377535,
fixed_mj1_label,Ecker2015,Kokam-Ecker Co-rich Mn-free,Ecker2015_DC03_AC07_1tau,DC03_AC07_1tau,0.3,0.7,1tau,1.0,11.1,16.51765434839429,0.014338283161432014,2.3333333333333335,69.7433569096934,0.6720082504377536,
fixed_mj1_label,Ecker2015,Kokam-Ecker Co-rich Mn-free,Ecker2015_DC03_AC07_5tau,DC03_AC07_5tau,0.3,0.7,5tau,5.0,11.1,16.51765434839429,0.0028676566322864026,2.3333333333333335,348.71678454846705,3.360041252188768,
fixed_mj1_label,Ecker2015,Kokam-Ecker Co-rich Mn-free,Ecker2015_DC03_AC07_10tau,DC03_AC07_10tau,0.3,0.7,10tau,10.0,11.1,16.51765434839429,0.0014338283161432013,2.3333333333333335,697.4335690969341,6.720082504377536,
fixed_mj1_label,Ecker2015,Kokam-Ecker Co-rich Mn-free,Ecker2015_DC03_AC07_f000412,DC03_AC07_f000412,0.3,0.7,f=0.000412Hz,34.80165815881557,11.1,16.51765434839429,0.000412,2.3333333333333335,2427.1844660194174,23.38700141163842,
fixed_mj1_label,ORegan2022,LG M50 NMC811-Si,ORegan2022_DC03,DC03,0.3,0.0,DC,,11.1,53.575426259434366,,0.0,,,
fixed_mj1_label,ORegan2022,LG M50 NMC811-Si,ORegan2022_DC03_AC07_0p1tau,DC03_AC07_0p1tau,0.3,0.7,0.1tau,0.1,11.1,53.575426259434366,0.14338283161432014,2.3333333333333335,6.97433569096934,0.020718453916258563,
fixed_mj1_label,ORegan2022,LG M50 NMC811-Si,ORegan2022_DC03_AC07_1tau,DC03_AC07_1tau,0.3,0.7,1tau,1.0,11.1,53.575426259434366,0.014338283161432014,2.3333333333333335,69.7433569096934,0.20718453916258567,
fixed_mj1_label,ORegan2022,LG M50 NMC811-Si,ORegan2022_DC03_AC07_5tau,DC03_AC07_5tau,0.3,0.7,5tau,5.0,11.1,53.575426259434366,0.0028676566322864026,2.3333333333333335,348.71678454846705,1.0359226958129284,
