parameter_set,model_type,condition,base_condition,dc_c,ac_c,frequency_label,tau_factor_set,tau_ref_set_s,f_Hz,period_s,omega_tau_set,kappa
Chen2020,DFN,Chen2020_DFN_hier_DC03,DC03,0.3,0.0,DC,,36.316532231592305,,,,0.0
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,DC03_AC07_0p5tauSet,0.3,0.7,0p5tauSet,0.5,36.316532231592305,0.008764875571101144,114.09175086262731,2.0,2.3333333333333335
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,DC03_AC07_1p5tauSet,0.3,0.7,1p5tauSet,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,0.6666666666666666,2.3333333333333335
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,DC03_AC07_3p0tauSet,0.3,0.7,3p0tauSet,3.0,36.316532231592305,0.001460812595183524,684.5505051757639,0.3333333333333333,2.3333333333333335
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,DC03_AC07_5p0tauSet,0.3,0.7,5p0tauSet,5.0,36.316532231592305,0.0008764875571101142,1140.9175086262733,0.2,2.3333333333333335
Chen2020,SPMe,Chen2020_SPMe_hier_DC03,DC03,0.3,0.0,DC,,36.316532231592305,,,,0.0
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,DC03_AC07_0p5tauSet,0.3,0.7,0p5tauSet,0.5,36.316532231592305,0.008764875571101144,114.09175086262731,2.0,2.3333333333333335
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_1p5tauSet,DC03_AC07_1p5tauSet,0.3,0.7,1p5tauSet,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,0.6666666666666666,2.3333333333333335
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_3p0tauSet,DC03_AC07_3p0tauSet,0.3,0.7,3p0tauSet,3.0,36.316532231592305,0.001460812595183524,684.5505051757639,0.3333333333333333,2.3333333333333335
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_5p0tauSet,DC03_AC07_5p0tauSet,0.3,0.7,5p0tauSet,5.0,36.316532231592305,0.0008764875571101142,1140.9175086262733,0.2,2.3333333333333335
Chen2020,SPM,Chen2020_SPM_hier_DC03,DC03,0.3,0.0,DC,,36.316532231592305,,,,0.0
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,DC03_AC07_0p5tauSet,0.3,0.7,0p5tauSet,0.5,36.316532231592305,0.008764875571101144,114.09175086262731,2.0,2.3333333333333335
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,DC03_AC07_1p5tauSet,0.3,0.7,1p5tauSet,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,0.6666666666666666,2.3333333333333335
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,DC03_AC07_3p0tauSet,0.3,0.7,3p0tauSet,3.0,36.316532231592305,0.001460812595183524,684.5505051757639,0.3333333333333333,2.3333333333333335
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,DC03_AC07_5p0tauSet,0.3,0.7,5p0tauSet,5.0,36.316532231592305,0.0008764875571101142,1140.9175086262733,0.2,2.3333333333333335
