parameter_set,model_type,condition,status,source_condition,termination,t_end_s,t_end_min,Q_end_Ah,V_end_V,I_charge_min_A,I_charge_max_A,tau_factor_set,f_Hz,period_s,error
Chen2020,DFN,Chen2020_DFN_hier_DC03,ok_reused,Chen2020_DFN_fine_DC03,event: Maximum voltage [V],10782.9096067284,179.71516011214,4.4928790028035,4.2,1.5,1.5,,,,
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,ok_reused,Chen2020_DFN_fine_DC03_AC07_0p5tauSet,event: Maximum voltage [V],8816.441612064713,146.94069353441188,3.6935382425595478,4.200000000000062,-1.9999999915023556,4.9999999937810236,0.5,0.008764875571101144,114.09175086262731,
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,ok_reused,Chen2020_DFN_fine_DC03_AC07_1p5tauSet,event: Maximum voltage [V],8627.912610570569,143.79854350950947,3.6339416312270765,4.2,-1.9999999999047784,4.999999988572077,1.5,0.002921625190367048,342.27525258788194,
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,ok_reused,Chen2020_DFN_fine_DC03_AC07_3p0tauSet,event: Maximum voltage [V],8356.42236336638,139.27370605610633,3.5595987037893875,4.200000000000004,-1.9999999784300289,4.999999737084515,3.0,0.001460812595183524,684.5505051757639,
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,ok_reused,Chen2020_DFN_fine_DC03_AC07_5p0tauSet,event: Maximum voltage [V],8207.25860752117,136.78764345868615,3.5349283235889786,4.200000000000001,-1.9999989296119662,4.999999999082212,5.0,0.0008764875571101142,1140.9175086262733,
Chen2020,SPMe,Chen2020_SPMe_hier_DC03,ok,,event: Maximum voltage [V],10788.186855397327,179.8031142566221,4.495077856415553,4.200000000000019,1.5,1.5,,,,
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,ok,,event: Maximum voltage [V],8814.190389132807,146.90317315221347,3.690834504231717,4.200000000000002,-1.9999999717986054,4.999999932046604,0.5,0.008764875571101144,114.09175086262731,
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_1p5tauSet,ok,,event: Maximum voltage [V],8307.704232488892,138.4617372081482,3.5218006210518134,4.200000000000003,-1.9999999862672597,4.999999990393086,1.5,0.002921625190367048,342.27525258788194,
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_3p0tauSet,ok,,event: Maximum voltage [V],8349.702892662151,139.16171487770254,3.5505619174180287,4.200000000000001,-1.9999999876230792,4.999999737084515,3.0,0.001460812595183524,684.5505051757639,
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_5p0tauSet,ok,,event: Maximum voltage [V],8198.409097679618,136.64015162799362,3.52324921420506,4.200000000000064,-1.9999999932195847,4.999999890022419,5.0,0.0008764875571101142,1140.9175086262733,
Chen2020,SPM,Chen2020_SPM_hier_DC03,ok,,event: Maximum voltage [V],10955.733330290996,182.59555550484993,4.564888887621224,4.200000000000018,1.5,1.5,,,,
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,ok,,event: Maximum voltage [V],9953.793080082989,165.8965513347165,4.16415795793974,4.20000000000002,-1.9999995221423355,4.999999999909024,0.5,0.008764875571101144,114.09175086262731,
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,ok,,event: Maximum voltage [V],9990.06527823225,166.5010879705375,4.195128126328744,4.200000000000004,-1.9999999937856314,4.999999999406972,1.5,0.002921625190367048,342.27525258788194,
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,ok,,event: Maximum voltage [V],9721.678429109728,162.02797381849547,4.124874752904229,4.2000000000000055,-1.9999983810444766,4.9999998820113225,3.0,0.001460812595183524,684.5505051757639,
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,ok,,event: Maximum voltage [V],9377.31358132836,156.288559688806,4.049690875287196,4.200000000000016,-1.9999994468494702,4.999999980643329,5.0,0.0008764875571101142,1140.9175086262733,
