parameter_set,model_type,condition,reference_condition,feature_id,Q_Ah,tau_factor_set,omega_tau_set,period_s,phase_norm,cycle_count,delta_x_inst,x_DCAC_cycle_mean,x_DC_window_mean,delta_x_cycle_mean,x_DCAC_cycle_amp,window_valid
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_avg_sto,0.2,0.5,2.0,114.09175086262731,0.4714822434748409,3.471482243474841,-2.715046100458529e-05,0.10205603488563497,0.10487264508673853,-0.0028166102011035615,0.010579310514115758,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_avg_surface_sto,0.2,0.5,2.0,114.09175086262731,0.4714822434748409,3.471482243474841,0.0044959569129526256,0.10655899489343892,0.10982208441409703,-0.0032630895206581106,0.019371152035764644,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_max_surface_sto,0.2,0.5,2.0,114.09175086262731,0.4714822434748409,3.471482243474841,0.007017411050384226,0.11033361294439868,0.11281756959828464,-0.0024839566538859548,0.022769052528334457,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_min_surface_sto,0.2,0.5,2.0,114.09175086262731,0.4714822434748409,3.471482243474841,0.0032606025799943594,0.10461031518050307,0.1082295303328641,-0.0036192151523610355,0.017694366005296558,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,pos_avg_sto,0.2,0.5,2.0,114.09175086262731,0.4714822434748409,3.471482243474841,1.8119178233688693e-05,0.8034485558985204,0.8015688580826552,0.0018796978158651667,0.007060226814114556,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,pos_avg_surface_sto,0.2,0.5,2.0,114.09175086262731,0.4714822434748409,3.471482243474841,-0.009547550967778928,0.7854838487974802,0.78267243903038,0.002811409767100259,0.027516039454283048,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,elyte_c_mean,0.2,0.5,2.0,114.09175086262731,0.4714822434748409,3.471482243474841,-17.123072951799713,984.6508817062482,983.129627165633,1.5212545406152458,39.04049658644249,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,elyte_c_range,0.2,0.5,2.0,114.09175086262731,0.4714822434748409,3.471482243474841,379.0987838337426,345.70020661326043,351.34250845639707,-5.642301843136636,744.7588412003912,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,eta_n_mean,0.2,0.5,2.0,114.09175086262731,0.4714822434748409,3.471482243474841,-0.017481809228152838,-0.026572291826781,-0.04988777535636069,0.023315483529579694,0.1673657110246668,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,eta_p_mean,0.2,0.5,2.0,114.09175086262731,0.4714822434748409,3.471482243474841,0.0014498899102172638,0.003349549536108893,0.004378310468797664,-0.001028760932688771,0.02008956728375688,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,j_n_mean_signed,0.2,0.5,2.0,114.09175086262731,0.4714822434748409,3.471482243474841,-0.18559043991959606,-0.35887673462169967,-0.4464741534816674,0.08759741885996775,2.083539850827139,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,j_p_mean_signed,0.2,0.5,2.0,114.09175086262731,0.4714822434748409,3.471482243474841,0.21012550039012956,0.4063270454732075,0.5055063589161268,-0.0991793134429193,2.359022677102166,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,cell_temperature_K,0.2,0.5,2.0,114.09175086262731,0.4714822434748409,3.471482243474841,0.0,298.15000000000003,298.1500000000001,-5.684341886080802e-14,0.0,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,total_heating_mean,0.2,0.5,2.0,114.09175086262731,0.4714822434748409,3.471482243474841,0.0,0.0,0.0,0.0,0.0,True
