parameter_set,model_type,condition,reference_condition,Q_Ah,t_DC_geom_s,t_DCAC_geom_s,delta_t_geom_s,tau_factor_set,omega_tau_set,f_Hz,period_s
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.2,480.0,395.9776412071198,84.0223587928802,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.2399769861697409,575.9447668073782,500.8895746378214,75.05519216955679,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.27995397233948177,671.8895336147563,608.4384717703967,63.451061844359515,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.3199309585092226,767.8343004221342,716.8093240475032,51.024976374631024,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.3599079446789635,863.7790672295123,825.4367432154958,38.342324014016526,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.39988493084870436,959.7238340368905,933.9492567621202,25.77457727477031,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.43986191701844524,1055.6686008442687,971.0304709523231,84.6381298919456,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.4798389031881861,1151.6133676516467,1073.544413691173,78.06895396047366,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.519815889357927,1247.5581344590248,1180.6545231232717,66.90361133575311,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.5597928755276679,1343.502901266403,1288.8660854605798,54.63681580582306,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.5997698616974088,1439.447668073781,1397.4602762367267,41.98739183705425,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.6397468478671496,1535.392434881159,1506.043680657635,29.34875422352411,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.6797238340368905,1631.337201688537,1614.215574478295,17.121627210242195,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.7197008202066313,1727.281968495915,1646.460660480986,80.82130801492895,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.7596778063763723,1823.2267353032933,1752.9537828517484,70.27295245154482,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.799654792546113,1919.1715021106713,1860.9528495482396,58.21865256243177,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.839631778715854,2015.1162689180499,1969.4829572191686,45.63331169888124,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.8796087648855948,2111.0610357254277,2078.1058712778,32.955164447627794,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.9195857510553358,2207.005802532806,2186.4471944177753,20.558608115030438,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.9595627372250766,2302.950569340184,2219.800757404139,83.1498119360449,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,0.9995397233948176,2398.895336147562,2325.3637975961055,73.53153855145638,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,1.0395167095645583,2494.84010295494,2433.081005786032,61.75909716890783,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,1.0794936957342993,2590.784869762318,2541.5129657837765,49.27190397854156,0.5,2.0,0.008764875571101144,114.09175086262731
