model_type,condition,tau_factor_set,omega_tau_set,delta_t_raw_mean_s,delta_t_raw_min_s,delta_t_raw_max_s,delta_t_geom_mean_s,delta_t_geom_min_s,delta_t_geom_max_s,delta_t_resid_mean_s,delta_t_resid_min_s,delta_t_resid_max_s,resid_abs_mean_s,resid_max_abs_s,resid_over_raw_mean
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,0.5,2.0,53.400986897906634,15.308826699200836,84.36468040971363,54.451577482931704,15.603491721146383,84.65903714533852,-1.0505905850250585,-66.59821075530772,-0.0473887368996202,1.0505905850250585,66.59821075530772,-0.01967361740024776
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,1.5,0.6666666666666666,160.605097279565,49.24771507311743,254.19421998881342,160.62133814503596,49.254989966643734,254.21481139439163,-0.016240865470938105,-0.10575796333523613,-0.0013811468377298297,0.016240865470938105,0.10575796333523613,-0.0001011229764561436
DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,3.0,0.3333333333333333,326.8227009797692,98.33165229766746,508.41679867143307,326.82755792660464,98.3309254300284,508.4312548605076,-0.0048569468354536125,-0.044895407202602655,0.0007268676390594919,0.004889079685388964,0.044895407202602655,-1.4861106100932275e-05
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,5.0,0.2,530.9933962403567,157.4961156561517,844.8784382870554,530.9953523713131,157.49607671291187,844.8842036669985,-0.001956130956404678,-0.03035236741902736,0.0007351209872012987,0.00199582864893344,0.03035236741902736,-3.6839082562134653e-06
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,0.5,2.0,55.93381831675325,15.265545686250334,84.61110598267805,56.8279297577886,16.066200173397647,84.7295041418065,-0.8941114410353513,-67.3292121092336,0.04351331649604617,0.9026358870559754,67.3292121092336,-0.015985167255559016
SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,1.5,0.6666666666666666,158.52087493259984,48.82036040303774,254.07481445077337,158.52963798473775,48.817466510032546,254.10629957803394,-0.00876305213790971,-0.060093296816376096,0.002893893005193604,0.00892989786966183,0.060093296816376096,-5.528011463244572e-05
SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,3.0,0.3333333333333333,319.48167638214665,94.42706695952347,508.0364623013229,319.4840031624869,94.42516895120298,508.04674934084414,-0.0023267803402923447,-0.01989043704361393,0.001898008320495137,0.0026550481613305974,0.01989043704361393,-7.282985261130208e-06
SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,5.0,0.2,540.7947664785881,168.45983577165498,847.1593266184336,540.7969659368786,168.45877709637193,847.1650693515503,-0.0021994582904795836,-0.04443583163993026,0.0010586752830477053,0.0022994743813200104,0.04443583163993026,-4.067085014156969e-06
SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,0.5,2.0,53.96782568425749,16.077841573813203,84.60652197649381,53.97615897197702,16.076220619414016,84.67847424657884,-0.00833328771953461,-0.2495239282188777,0.015169143117418571,0.012910858551691717,0.2495239282188777,-0.00015441214490072454
SPMe,Chen2020_SPMe_hier_DC03_AC07_1p5tauSet,1.5,0.6666666666666666,161.9393983519367,49.809712977159506,254.16199993147427,161.94520657136385,49.80877686604981,254.19787083897495,-0.005808219427174776,-0.045484270508040936,0.0031142223460847163,0.006081415503618359,0.045484270508040936,-3.586662347943269e-05
SPMe,Chen2020_SPMe_hier_DC03_AC07_3p0tauSet,3.0,0.3333333333333333,322.9885198523167,96.89446216029228,508.3832256284586,322.9907813616473,96.89453340259479,508.39027613613416,-0.0022615093306150415,-0.013605143535642128,0.0019919537035093526,0.002488477341649542,0.013605143535642128,-7.001825735630152e-06
SPMe,Chen2020_SPMe_hier_DC03_AC07_5p0tauSet,5.0,0.2,538.7481891444082,156.7647876832898,844.6780237680738,538.7497755059351,156.76421141241917,844.6843631224099,-0.00158636152689553,-0.01316079366915801,0.0008087564729066798,0.001714760089963363,0.01316079366915801,-2.944532452934733e-06
