model_type,tau_factor_set,omega_tau_set,delta_t_raw_mean_s,delta_t_raw_min_s,delta_t_raw_max_s,elyte_c_range,eta_n_mean,neg_avg_surface_sto,neg_surface_sto_range,pos_avg_surface_sto
DFN,0.5,2.0,53.400986897906634,15.308826699200836,84.36468040971363,0.4236223906179418,0.011790717135315201,-0.001139757544418188,0.018358312791255053,0.0009729661731728567
DFN,1.5,0.6666666666666666,160.605097279565,49.24771507311743,254.19421998881342,121.85509804154154,0.00816373466059124,-0.0026221713819652133,0.03462285867245067,0.001960875404885363
DFN,3.0,0.3333333333333333,326.8227009797692,98.33165229766746,508.41679867143307,171.03812630779478,0.005199083607731136,-0.004906145026859337,0.040145951327515625,0.003008986648435151
DFN,5.0,0.2,530.9933962403567,157.4961156561517,844.8784382870554,201.0482482438199,0.002344246568704684,-0.006016605621578487,0.04187339554599357,0.0026521293758643414
SPM,0.5,2.0,55.93381831675325,15.265545686250334,84.61110598267805,0.0,0.007622126873236613,-0.0006302632443221488,0.0,0.00025469496216614095
SPM,1.5,0.6666666666666666,158.52087493259984,48.82036040303774,254.07481445077337,0.0,0.006464209190502808,-0.0011883941205930487,0.0,9.26962006821283e-05
SPM,3.0,0.3333333333333333,319.48167638214665,94.42706695952347,508.0364623013229,0.0,0.0044536908076430026,-0.003296746957409817,0.0,0.0008854649852180353
SPM,5.0,0.2,540.7947664785881,168.45983577165498,847.1593266184336,0.0,0.0027699284192039754,-0.006161982048180148,0.0,0.00175865527157881
SPMe,0.5,2.0,53.96782568425749,16.077841573813203,84.60652197649381,16.935049379398787,0.009033070205141238,-0.0006962746776587493,0.0,0.00041449335062509194
SPMe,1.5,0.6666666666666666,161.9393983519367,49.809712977159506,254.16199993147427,153.28824928749145,0.0059025894238357215,-0.0021880887416942567,0.0,0.0012870672803199194
SPMe,3.0,0.3333333333333333,322.9885198523167,96.89446216029228,508.3832256284586,198.00274046126722,0.00420707172157303,-0.004122463307620941,0.0,0.002254754996222718
SPMe,5.0,0.2,538.7481891444082,156.7647876832898,844.6780237680738,219.71432070633,0.002556867967067825,-0.006036319109500263,0.0,0.002740672755135664
