model_type,tau_factor_set,omega_tau_set,delta_t_raw_mean_s,delta_t_raw_min_s,delta_t_raw_max_s,elyte_c_range,eta_n_mean,neg_avg_surface_sto,neg_surface_sto_range,pos_avg_surface_sto,delta_t_geom_mean_s,delta_t_resid_mean_s,resid_abs_mean_s,resid_max_abs_s,resid_over_raw_mean,dt_resid_class
DFN,0.5,2.0,53.400986897906634,15.308826699200836,84.36468040971363,0.4236223906179418,0.011790717135315201,-0.001139757544418188,0.018358312791255053,0.0009729661731728567,54.451577482931704,-1.0505905850250585,1.0505905850250585,66.59821075530772,-0.01967361740024776,geometry_dominated
DFN,1.5,0.6666666666666666,160.605097279565,49.24771507311743,254.19421998881342,121.85509804154154,0.00816373466059124,-0.0026221713819652133,0.03462285867245067,0.001960875404885363,160.62133814503596,-0.016240865470938105,0.016240865470938105,0.10575796333523613,-0.0001011229764561436,geometry_dominated
DFN,3.0,0.3333333333333333,326.8227009797692,98.33165229766746,508.41679867143307,171.03812630779478,0.005199083607731136,-0.004906145026859337,0.040145951327515625,0.003008986648435151,326.82755792660464,-0.0048569468354536125,0.004889079685388964,0.044895407202602655,-1.4861106100932275e-05,geometry_dominated
DFN,5.0,0.2,530.9933962403567,157.4961156561517,844.8784382870554,201.0482482438199,0.002344246568704684,-0.006016605621578487,0.04187339554599357,0.0026521293758643414,530.9953523713131,-0.001956130956404678,0.00199582864893344,0.03035236741902736,-3.6839082562134653e-06,geometry_dominated
SPM,0.5,2.0,55.93381831675325,15.265545686250334,84.61110598267805,0.0,0.007622126873236613,-0.0006302632443221488,0.0,0.00025469496216614095,56.8279297577886,-0.8941114410353513,0.9026358870559754,67.3292121092336,-0.015985167255559016,geometry_dominated
SPM,1.5,0.6666666666666666,158.52087493259984,48.82036040303774,254.07481445077337,0.0,0.006464209190502808,-0.0011883941205930487,0.0,9.26962006821283e-05,158.52963798473775,-0.00876305213790971,0.00892989786966183,0.060093296816376096,-5.528011463244572e-05,geometry_dominated
SPM,3.0,0.3333333333333333,319.48167638214665,94.42706695952347,508.0364623013229,0.0,0.0044536908076430026,-0.003296746957409817,0.0,0.0008854649852180353,319.4840031624869,-0.0023267803402923447,0.0026550481613305974,0.01989043704361393,-7.282985261130208e-06,geometry_dominated
SPM,5.0,0.2,540.7947664785881,168.45983577165498,847.1593266184336,0.0,0.0027699284192039754,-0.006161982048180148,0.0,0.00175865527157881,540.7969659368786,-0.0021994582904795836,0.0022994743813200104,0.04443583163993026,-4.067085014156969e-06,geometry_dominated
SPMe,0.5,2.0,53.96782568425749,16.077841573813203,84.60652197649381,16.935049379398787,0.009033070205141238,-0.0006962746776587493,0.0,0.00041449335062509194,53.97615897197702,-0.00833328771953461,0.012910858551691717,0.2495239282188777,-0.00015441214490072454,geometry_dominated
SPMe,1.5,0.6666666666666666,161.9393983519367,49.809712977159506,254.16199993147427,153.28824928749145,0.0059025894238357215,-0.0021880887416942567,0.0,0.0012870672803199194,161.94520657136385,-0.005808219427174776,0.006081415503618359,0.045484270508040936,-3.586662347943269e-05,geometry_dominated
SPMe,3.0,0.3333333333333333,322.9885198523167,96.89446216029228,508.3832256284586,198.00274046126722,0.00420707172157303,-0.004122463307620941,0.0,0.002254754996222718,322.9907813616473,-0.0022615093306150415,0.002488477341649542,0.013605143535642128,-7.001825735630152e-06,geometry_dominated
SPMe,5.0,0.2,538.7481891444082,156.7647876832898,844.6780237680738,219.71432070633,0.002556867967067825,-0.006036319109500263,0.0,0.002740672755135664,538.7497755059351,-0.00158636152689553,0.001714760089963363,0.01316079366915801,-2.944532452934733e-06,geometry_dominated
