condition,feature_id,variable_key,status,shape,error
DC03,neg_avg_sto,Average negative particle stoichiometry,ok,"(12159,)",
DC03,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(12159,)",
DC03,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(12159,)",
DC03,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(12159,)",
DC03,pos_avg_sto,Average positive particle stoichiometry,ok,"(12159,)",
DC03,pos_avg_surface_sto,X-averaged positive particle surface stoichiometry,ok,"(12159,)",
DC03,elyte_c_mean,X-averaged electrolyte concentration [mol.m-3],ok,"(12159,)",
DC03,elyte_c_range,Electrolyte concentration [mol.m-3],ok,"(62, 12159)",
DC03,eta_n_mean,X-averaged negative electrode reaction overpotential [V],ok,"(12159,)",
DC03,eta_p_mean,X-averaged positive electrode reaction overpotential [V],ok,"(12159,)",
DC03,j_n_rms,X-averaged negative electrode interfacial current density [A.m-2],ok,"(12159,)",
DC03,j_p_rms,X-averaged positive electrode interfacial current density [A.m-2],ok,"(12159,)",
DC03,cell_temperature_K,X-averaged cell temperature [K],ok,"(12159,)",
DC03,total_heating_mean,Volume-averaged total heating [W.m-3],ok,"(12159,)",
DC03_AC07_0p1tau,neg_avg_sto,Average negative particle stoichiometry,ok,"(73748,)",
DC03_AC07_0p1tau,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(73748,)",
DC03_AC07_0p1tau,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(73748,)",
DC03_AC07_0p1tau,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(73748,)",
DC03_AC07_0p1tau,pos_avg_sto,Average positive particle stoichiometry,ok,"(73748,)",
DC03_AC07_0p1tau,pos_avg_surface_sto,X-averaged positive particle surface stoichiometry,ok,"(73748,)",
DC03_AC07_0p1tau,elyte_c_mean,X-averaged electrolyte concentration [mol.m-3],ok,"(73748,)",
DC03_AC07_0p1tau,elyte_c_range,Electrolyte concentration [mol.m-3],ok,"(62, 73748)",
DC03_AC07_0p1tau,eta_n_mean,X-averaged negative electrode reaction overpotential [V],ok,"(73748,)",
DC03_AC07_0p1tau,eta_p_mean,X-averaged positive electrode reaction overpotential [V],ok,"(73748,)",
DC03_AC07_0p1tau,j_n_rms,X-averaged negative electrode interfacial current density [A.m-2],ok,"(73748,)",
DC03_AC07_0p1tau,j_p_rms,X-averaged positive electrode interfacial current density [A.m-2],ok,"(73748,)",
DC03_AC07_0p1tau,cell_temperature_K,X-averaged cell temperature [K],ok,"(73748,)",
DC03_AC07_0p1tau,total_heating_mean,Volume-averaged total heating [W.m-3],ok,"(73748,)",
DC03_AC07_10tau,neg_avg_sto,Average negative particle stoichiometry,ok,"(13231,)",
DC03_AC07_10tau,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(13231,)",
DC03_AC07_10tau,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(13231,)",
DC03_AC07_10tau,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(13231,)",
DC03_AC07_10tau,pos_avg_sto,Average positive particle stoichiometry,ok,"(13231,)",
DC03_AC07_10tau,pos_avg_surface_sto,X-averaged positive particle surface stoichiometry,ok,"(13231,)",
DC03_AC07_10tau,elyte_c_mean,X-averaged electrolyte concentration [mol.m-3],ok,"(13231,)",
DC03_AC07_10tau,elyte_c_range,Electrolyte concentration [mol.m-3],ok,"(62, 13231)",
DC03_AC07_10tau,eta_n_mean,X-averaged negative electrode reaction overpotential [V],ok,"(13231,)",
DC03_AC07_10tau,eta_p_mean,X-averaged positive electrode reaction overpotential [V],ok,"(13231,)",
DC03_AC07_10tau,j_n_rms,X-averaged negative electrode interfacial current density [A.m-2],ok,"(13231,)",
DC03_AC07_10tau,j_p_rms,X-averaged positive electrode interfacial current density [A.m-2],ok,"(13231,)",
DC03_AC07_10tau,cell_temperature_K,X-averaged cell temperature [K],ok,"(13231,)",
DC03_AC07_10tau,total_heating_mean,Volume-averaged total heating [W.m-3],ok,"(13231,)",
DC03_AC07_f000412,neg_avg_sto,Average negative particle stoichiometry,ok,"(10236,)",
DC03_AC07_f000412,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(10236,)",
DC03_AC07_f000412,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(10236,)",
DC03_AC07_f000412,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(10236,)",
DC03_AC07_f000412,pos_avg_sto,Average positive particle stoichiometry,ok,"(10236,)",
DC03_AC07_f000412,pos_avg_surface_sto,X-averaged positive particle surface stoichiometry,ok,"(10236,)",
DC03_AC07_f000412,elyte_c_mean,X-averaged electrolyte concentration [mol.m-3],ok,"(10236,)",
DC03_AC07_f000412,elyte_c_range,Electrolyte concentration [mol.m-3],ok,"(62, 10236)",
DC03_AC07_f000412,eta_n_mean,X-averaged negative electrode reaction overpotential [V],ok,"(10236,)",
DC03_AC07_f000412,eta_p_mean,X-averaged positive electrode reaction overpotential [V],ok,"(10236,)",
DC03_AC07_f000412,j_n_rms,X-averaged negative electrode interfacial current density [A.m-2],ok,"(10236,)",
DC03_AC07_f000412,j_p_rms,X-averaged positive electrode interfacial current density [A.m-2],ok,"(10236,)",
DC03_AC07_f000412,cell_temperature_K,X-averaged cell temperature [K],ok,"(10236,)",
DC03_AC07_f000412,total_heating_mean,Volume-averaged total heating [W.m-3],ok,"(10236,)",
