feature_id,layer,reducer,variable_key,resolved,interpretation
neg_avg_sto,negative_solid,mean,Average negative particle stoichiometry,True,Average negative solid lithiation state
neg_avg_surface_sto,negative_solid,mean,X-averaged negative particle surface stoichiometry,True,Average negative particle surface lithiation state
neg_max_surface_sto,negative_solid,mean,Maximum negative particle surface stoichiometry,True,Maximum negative surface stoichiometry; saturation/plating-risk proxy
neg_min_surface_sto,negative_solid,mean,Minimum negative particle surface stoichiometry,True,Minimum negative surface stoichiometry; spatial heterogeneity proxy
pos_avg_sto,positive_solid,mean,Average positive particle stoichiometry,True,Average positive solid delithiation state
pos_avg_surface_sto,positive_solid,mean,X-averaged positive particle surface stoichiometry,True,Average positive particle surface stoichiometry
elyte_c_mean,electrolyte,mean,X-averaged electrolyte concentration [mol.m-3],True,Mean electrolyte concentration
elyte_c_range,electrolyte,range,Electrolyte concentration [mol.m-3],True,Spatial electrolyte concentration gradient proxy
eta_n_mean,kinetics,mean,X-averaged negative electrode reaction overpotential [V],True,Negative electrode reaction overpotential
eta_p_mean,kinetics,mean,X-averaged positive electrode reaction overpotential [V],True,Positive electrode reaction overpotential
j_n_rms,kinetics,rms_abs,X-averaged negative electrode interfacial current density [A.m-2],True,Negative electrode interfacial current density RMS
j_p_rms,kinetics,rms_abs,X-averaged positive electrode interfacial current density [A.m-2],True,Positive electrode interfacial current density RMS
cell_temperature_K,thermal,mean,X-averaged cell temperature [K],True,Cell temperature; isothermal models should remain constant
total_heating_mean,thermal,mean,Volume-averaged total heating [W.m-3],True,Total heat generation proxy
