frequency_mode,parameter_set,chem_tag,condition,base_condition,dc_c,ac_c,frequency_label,tau_factor,tau_ref_set_s,f_Hz,kappa,period_s
set_tau_ref_rebased,Chen2020,LG M50 NMC811-Si,Chen2020_DC03,DC03,0.3,0.0,DC,,36.316532231592305,,0.0,
set_tau_ref_rebased,Chen2020,LG M50 NMC811-Si,Chen2020_DC03_AC07_0p1tau,DC03_AC07_0p1tau,0.3,0.7,0p1tau,0.1,36.316532231592305,0.04382437785550572,2.3333333333333335,22.818350172525463
set_tau_ref_rebased,Chen2020,LG M50 NMC811-Si,Chen2020_DC03_AC07_1tau,DC03_AC07_1tau,0.3,0.7,1tau,1.0,36.316532231592305,0.004382437785550572,2.3333333333333335,228.18350172525462
set_tau_ref_rebased,Chen2020,LG M50 NMC811-Si,Chen2020_DC03_AC07_5tau,DC03_AC07_5tau,0.3,0.7,5tau,5.0,36.316532231592305,0.0008764875571101142,2.3333333333333335,1140.9175086262733
set_tau_ref_rebased,Chen2020,LG M50 NMC811-Si,Chen2020_DC03_AC07_10tau,DC03_AC07_10tau,0.3,0.7,10tau,10.0,36.316532231592305,0.0004382437785550571,2.3333333333333335,2281.8350172525465
set_tau_ref_rebased,Chen2020,LG M50 NMC811-Si,Chen2020_DC03_AC07_34p8tau_equiv,DC03_AC07_34p8tau_equiv,0.3,0.7,34p8tau_equiv,34.80165815881557,36.316532231592305,0.00012592612011621813,2.3333333333333335,7941.164224523814
set_tau_ref_rebased,Ecker2015,Kokam-Ecker Co-rich Mn-free,Ecker2015_DC03,DC03,0.3,0.0,DC,,16.51765434839429,,0.0,
set_tau_ref_rebased,Ecker2015,Kokam-Ecker Co-rich Mn-free,Ecker2015_DC03_AC07_0p1tau,DC03_AC07_0p1tau,0.3,0.7,0p1tau,0.1,16.51765434839429,0.09635444581595029,2.3333333333333335,10.378348311090202
set_tau_ref_rebased,Ecker2015,Kokam-Ecker Co-rich Mn-free,Ecker2015_DC03_AC07_1tau,DC03_AC07_1tau,0.3,0.7,1tau,1.0,16.51765434839429,0.009635444581595029,2.3333333333333335,103.78348311090201
set_tau_ref_rebased,Ecker2015,Kokam-Ecker Co-rich Mn-free,Ecker2015_DC03_AC07_5tau,DC03_AC07_5tau,0.3,0.7,5tau,5.0,16.51765434839429,0.001927088916319006,2.3333333333333335,518.9174155545101
set_tau_ref_rebased,Ecker2015,Kokam-Ecker Co-rich Mn-free,Ecker2015_DC03_AC07_10tau,DC03_AC07_10tau,0.3,0.7,10tau,10.0,16.51765434839429,0.000963544458159503,2.3333333333333335,1037.8348311090201
set_tau_ref_rebased,Ecker2015,Kokam-Ecker Co-rich Mn-free,Ecker2015_DC03_AC07_34p8tau_equiv,DC03_AC07_34p8tau_equiv,0.3,0.7,34p8tau_equiv,34.80165815881557,16.51765434839429,0.00027686739918035444,2.3333333333333335,3611.837301756821
set_tau_ref_rebased,ORegan2022,LG M50 NMC811-Si,ORegan2022_DC03,DC03,0.3,0.0,DC,,53.575426259434366,,0.0,
set_tau_ref_rebased,ORegan2022,LG M50 NMC811-Si,ORegan2022_DC03_AC07_0p1tau,DC03_AC07_0p1tau,0.3,0.7,0p1tau,0.1,53.575426259434366,0.029706705891839536,2.3333333333333335,33.66243310991614
set_tau_ref_rebased,ORegan2022,LG M50 NMC811-Si,ORegan2022_DC03_AC07_1tau,DC03_AC07_1tau,0.3,0.7,1tau,1.0,53.575426259434366,0.0029706705891839533,2.3333333333333335,336.6243310991614
set_tau_ref_rebased,ORegan2022,LG M50 NMC811-Si,ORegan2022_DC03_AC07_5tau,DC03_AC07_5tau,0.3,0.7,5tau,5.0,53.575426259434366,0.0005941341178367907,2.3333333333333335,1683.1216554958069
set_tau_ref_rebased,ORegan2022,LG M50 NMC811-Si,ORegan2022_DC03_AC07_10tau,DC03_AC07_10tau,0.3,0.7,10tau,10.0,53.575426259434366,0.00029706705891839537,2.3333333333333335,3366.2433109916137
set_tau_ref_rebased,ORegan2022,LG M50 NMC811-Si,ORegan2022_DC03_AC07_34p8tau_equiv,DC03_AC07_34p8tau_equiv,0.3,0.7,34p8tau_equiv,34.80165815881557,53.575426259434366,8.536003013498528e-05,2.3333333333333335,11715.084898852963
